(-12.0383005344+0j),(-11.3412466908+0j),(-6.76583585886+0j),(14.645657579+0j),(-1.48381037947+0j),(-5.6460025037+0j),(-5.07198329301+0j),(5.26875140156+0j),(-1.68916426549+0j),(5.59783472871+0j),(3.44475819054+0j),(1.91458366806+0j),(-0.894039266943+0j),(0.85276501822+0j),(3.11446682908+0j),(2.69197734795+0j),(-3.53415937002+0j),(2.33862106121+0j),(-1.10993584304+0j),(0.382239329548+0j),(-3.62745244699+0j),(-0.123989512798+0j),(1.08428636939+0j),(-2.10261394048+0j),(-1.08236648026+0j),(0.325191568185+0j),(1.31604461572+0j),(0.0163663786191+0j),(-0.27058190302+0j),(0.183820018192+0j),(0.178277882472+0j),(-0.586958457687+0j),(0.0184032680322+0j),(1.12347424289+0j),(-0.261202791232+0j),(0.387997124942+0j),(0.669678528553+0j),(0.732675366932+0j),(-1.04557405168+0j),(-0.0462216159931+0j),(-0.31309709828+0j),(-0.5127321936+0j),(-0.771623726223+0j),(0.35517679002+0j),(1.41924680406+0j),(-0.0263420955367+0j),(1.03576223248+0j),(3.17055409704e-14+0j),(-1.87905246918e-14+0j),(2.82031342724e-14+0j),(-1.02723385353e-13+0j),(9.29811783124e-14+0j),(3.28348459533e-14+0j),(-5.50991544057e-14+0j),(6.07847105982e-15+0j),(-3.27654570142e-14+0j),(2.40363284831e-14+0j),(-4.83502127224e-14+0j),(2.59514632006e-14+0j),(-3.1558089475e-14+0j),(3.44724249146e-14+0j),(2.91433543964e-16+2.40640840588e-14j),(2.91433543964e-16-2.40640840588e-14j),(-2.08305594995e-14-5.34121358253e-15j),(-2.08305594995e-14+5.34121358253e-15j),(7.69523333943e-15-7.65706942296e-15j),(7.69523333943e-15+7.65706942296e-15j),(6.28663787694e-15-2.22738494315e-14j),(6.28663787694e-15+2.22738494315e-14j),(1.26530730338e-14+0j),(-6.22765727876e-15+3.65679708736e-15j),(-6.22765727876e-15-3.65679708736e-15j),(-4.02455846427e-15-7.58074159002e-15j),(-4.02455846427e-15+7.58074159002e-15j),(-8.08381139805e-15-1.45716771982e-16j)
(-12.5731180281+0j),(-10.6060478316+0j),(-6.2749355758+0j),(14.926628147+0j),(-2.00120496084+0j),(-5.59617570241+0j),(-5.31317260164+0j),(4.52436726957+0j),(-1.46602567152+0j),(7.44112131769+0j),(3.60809125921+0j),(2.13226722066+0j),(-1.55119606551+0j),(0.313187176572+0j),(1.71838188582+0j),(2.38954848339+0j),(-3.74406590816+0j),(2.32093001359+0j),(-1.64777946813+0j),(1.20681219699+0j),(-2.87322879564+0j),(-0.693432335644+0j),(-0.0190610905746+0j),(-2.4317922322+0j),(-0.706077321713+0j),(1.12991068288+0j),(1.85925351853+0j),(-0.684965531741+0j),(-0.236999693123+0j),(-0.103520032403+0j),(0.103861960077+0j),(-0.934714954747+0j),(0.375425128043+0j),(0.137313382434+0j),(0.281614505923+0j),(0.200203890387+0j),(0.935608908889+0j),(0.0755444764127+0j),(-0.322929978717+0j),(-0.117856570417+0j),(-0.383242022377+0j),(0.892595403557+0j),(0.213256760574+0j),(-0.961368432534+0j),(-0.389656775186+0j),(-0.4984997919+0j),(-1.33020717761+0j),(1.90212429141e-14+0j),(7.85829734617e-15+0j),(-4.06029376787e-14+0j),(-2.48689957516e-14+0j),(-2.60069743518e-14+0j),(6.85007606194e-14+0j),(-5.87203896618e-16+0j),(2.05668815312e-14+0j),(-9.43828348809e-14+0j),(9.34807786734e-14+0j),(5.02375918643e-14+0j),(-2.93098878501e-14+0j),(7.86870568703e-14+0j),(-6.99440505514e-14+0j),(-2.8019253584e-14-1.83464354819e-14j),(-2.8019253584e-14+1.83464354819e-14j),(4.92661467177e-15+5.49039980147e-15j),(4.92661467177e-15-5.49039980147e-15j),(-2.10595429984e-14+1.5380058338e-14j),(-2.10595429984e-14-1.5380058338e-14j),(-2.24126273096e-14+1.45716771982e-14j),(-2.24126273096e-14-1.45716771982e-14j),(-4.13315215386e-14+0j),(-2.64718802434e-15-3.89271948009e-15j),(-2.64718802434e-15+3.89271948009e-15j),(-9.15933995316e-16-5.24927323831e-15j),(-9.15933995316e-16+5.24927323831e-15j),(6.75848266241e-15-1.02869102125e-14j)
(-52.4812841073+0j),(24.6729801644+0j),(12.761167901+0j),(4.00481247204+0j),(-3.91528861011+0j),(0.650245193963+0j),(3.59178185358+0j),(4.55737031769+0j),(6.59065972015+0j),(2.2633410616+0j),(-9.87123754252+0j),(0.788620623007+0j),(9.44762649762+0j),(1.99414579421+0j),(4.00683937983+0j),(-1.32409543894+0j),(-0.552962657521+0j),(0.308536476088+0j),(0.396703359524+0j),(1.03212316184+0j),(1.05157549136+0j),(-0.943258988936+0j),(5.10651155563+0j),(0.114292585893+0j),(0.595840921301+0j),(-0.336139909727+0j),(0.888134136849+0j),(-0.73737422182+0j),(0.162126406931+0j),(0.151385285659+0j),(0.0791912103899+0j),(-0.855356425462+0j),(-0.799445837375+0j),(1.69751564532+0j),(-0.315755267528+0j),(-1.1314431158+0j),(0.640631846472+0j),(-1.87575464462+0j),(1.42307686316+0j),(-1.51474268198+0j),(-0.954874226311+0j),(0.43082121081+0j),(0.385814592439+0j),(-0.217379891628+0j),(0.087414477932+0j),(0.0770395612816+0j),(0.186574532213+0j),(-3.25069832163e-14+0j),(-3.66373598126e-15+0j),(-1.36939071194e-14+0j),(-2.83523204914e-14+0j),(-2.68396416203e-14+0j),(-4.70734562441e-14+0j),(-7.35956434683e-15+0j),(-3.34593464046e-14+0j),(2.66314748032e-14+0j),(-2.80331313718e-14+0j),(-7.49400541622e-15+0j),(1.29896093881e-14+0j),(-7.77156117238e-15+0j),(1.22957199977e-14+0j),(2.80331313718e-15+4.63518112781e-15j),(2.80331313718e-15-4.63518112781e-15j),(2.82412981889e-14-9.09515518455e-15j),(2.82412981889e-14+9.09515518455e-15j),(1.89639970394e-14+1.56992474576e-14j),(1.89639970394e-14-1.56992474576e-14j),(-9.75608482889e-15+0j),(-9.75608482889e-15+0j),(1.30138955168e-14+0j),(-1.11681497383e-14+8.76382300063e-15j),(-1.11681497383e-14-8.76382300063e-15j),(-1.38500322322e-14-1.19383669617e-14j),(-1.38500322322e-14+1.19383669617e-14j),(-2.24126273096e-15-4.1737446832e-15j)
(-36.5203344739+0j),(5.43676158357+0j),(-6.81559317671+0j),(-5.00435771245+0j),(6.08254472981+0j),(-0.331069796782+0j),(-12.0071763925+0j),(-7.82082314291+0j),(-2.96288203449+0j),(5.0045435679+0j),(1.94899611997+0j),(0.824096208372+0j),(3.79175997194+0j),(-0.409113008125+0j),(-0.630014536386+0j),(4.30435961461+0j),(-0.150631686919+0j),(-0.618753334139+0j),(-3.09981277208+0j),(-0.503968020364+0j),(0.594647010492+0j),(0.614652325494+0j),(1.18661879091+0j),(0.810165207366+0j),(4.50269470618+0j),(1.37817454184+0j),(-0.0471285700205+0j),(-0.572619452554+0j),(1.47973253541+0j),(-1.00810192095+0j),(-0.792130700456+0j),(1.46808835543+0j),(1.14195692425+0j),(-1.08831725198+0j),(0.258917993911+0j),(-0.278508192373+0j),(2.06119469055+0j),(-0.763670544529+0j),(0.247003666173+0j),(1.30553840902+0j),(-1.57674786446+0j),(-0.889581153333+0j),(-0.154562821568+0j),(0.830965829491+0j),(-0.651275074557+0j),(0.129094647225+0j),(0.0309144803358+0j),(-2.87461027204e-14+0j),(1.00856822893e-14+0j),(-4.96651331172e-14+0j),(-4.06619182769e-15+0j),(-9.82547376793e-14+0j),(3.08086889333e-14+0j),(4.21451068489e-15+0j),(-1.35308431126e-14+0j),(-1.05054853705e-14+0j),(-1.66533453694e-16+0j),(-3.44169137634e-15+0j),(1.98174809896e-14+0j),(3.45001804902e-14+0j),(-2.33701946684e-14+0j),(-9.47852907274e-15-1.83464354819e-14j),(-9.47852907274e-15+1.83464354819e-14j),(2.33840724562e-14-1.10380454776e-14j),(2.33840724562e-14+1.10380454776e-14j),(1.39679934286e-14+1.18967335982e-14j),(1.39679934286e-14-1.18967335982e-14j),(1.2781442571e-14-9.72139035937e-15j),(1.2781442571e-14+9.72139035937e-15j),(1.1556727797e-14+0j),(-1.65943647712e-14-2.22738494315e-15j),(-1.65943647712e-14+2.22738494315e-15j),(-5.77315972805e-15-1.42004463743e-14j),(-5.77315972805e-15+1.42004463743e-14j),(-3.85108611667e-15-4.63865057476e-15j)
(51.2628968045+0j),(17.7230535651+0j),(-0.592612036588+0j),(-4.92239789647+0j),(-2.89252719886+0j),(-16.1655628549+0j),(-3.84714329114+0j),(-4.28582158463+0j),(11.4323186314+0j),(0.376551925077+0j),(7.17824132659+0j),(-2.87529570986+0j),(2.57168140094+0j),(-5.36727945023+0j),(1.35532609545+0j),(-1.34418090517+0j),(-3.75977942913+0j),(3.40024240775+0j),(0.474848880075+0j),(-0.337628028818+0j),(4.15128240564+0j),(5.43313873727+0j),(3.809742778+0j),(-0.0486409678203+0j),(-1.21883699265+0j),(-0.0601946600726+0j),(-0.256625945282+0j),(1.0709011856+0j),(-0.936216833486+0j),(-1.06093919565+0j),(1.73410699146+0j),(-0.740921953039+0j),(-0.564952114994+0j),(-1.83965913043+0j),(1.10664231863+0j),(0.200818072804+0j),(-1.36505465199+0j),(0.0487832613388+0j),(0.0275478525596+0j),(0.114578932457+0j),(0.0433084466353+0j),(-0.0897631764893+0j),(-0.017846831925+0j),(0.0697294452064+0j),(-0.0114389357502+0j),(-0.0184114058981+0j),(-0.032076444053+0j),(-2.96360158636e-14+0j),(1.3211653993e-14+0j),(4.21884749358e-14+0j),(6.51700915455e-14+0j),(7.64943663967e-14+0j),(8.50430836863e-14+0j),(3.23630011678e-14+0j),(9.39526234589e-15+0j),(1.08801856413e-14+0j),(-1.63619118254e-14+0j),(2.22044604925e-16+0j),(5.21804821574e-15+0j),(-8.32667268469e-15+0j),(1.2490009027e-15+0j),(8.99280649946e-15-1.36002320517e-15j),(8.99280649946e-15+1.36002320517e-15j),(-1.08524300657e-14+6.18949336229e-15j),(-1.08524300657e-14-6.18949336229e-15j),(-9.88098491916e-15-4.10782519111e-15j),(-9.88098491916e-15+4.10782519111e-15j),(2.27595720048e-15-2.88657986403e-15j),(2.27595720048e-15+2.88657986403e-15j),(-7.1054273576e-15+0j),(5.55111512313e-16+3.49720252757e-15j),(5.55111512313e-16-3.49720252757e-15j),(-3.16413562018e-15+5.10702591328e-15j),(-3.16413562018e-15-5.10702591328e-15j),(-4.82947015712e-15+3.05311331772e-16j)
(62.6272328223+0j),(38.2680112905+0j),(-19.1301579051+0j),(1.59049501902+0j),(0.709141140191+0j),(-3.60147394103+0j),(3.49003727967+0j),(-5.27452645756+0j),(4.29371185656+0j),(2.56450821317+0j),(-1.77685056028+0j),(-9.65295893935+0j),(-4.48113296993+0j),(16.9500661067+0j),(-1.37852839157+0j),(3.62151504684+0j),(0.40141525728+0j),(-0.684121081745+0j),(0.186675656661+0j),(1.96012011455+0j),(-0.301772761399+0j),(-0.0502832341511+0j),(-0.0208917477541+0j),(0.0998652769672+0j),(0.0986049722846+0j),(0.0295487741104+0j),(-0.180224529448+0j),(-0.00913235544001+0j),(-0.0516151514003+0j),(-0.190711544018+0j),(0.957770591878+0j),(0.143435064473+0j),(0.097642854007+0j),(-0.0927228748067+0j),(-0.000375331913286+0j),(-0.320020331465+0j),(0.0736377906776+0j),(0.0661570828742+0j),(-0.0192160927948+0j),(0.144092881302+0j),(0.055081682965+0j),(0.00173601341288+0j),(0.00531120937366+0j),(-0.00783290954152+0j),(0.0123706998871+0j),(-0.00783225079806+0j),(-0.00535328788559+0j),(4.50334214364e-14+0j),(-3.63598040565e-14+0j),(-4.95159468983e-14+0j),(-1.20459198172e-14+0j),(3.99680288865e-14+0j),(2.81996648255e-14+0j),(-3.39173134023e-14+0j),(1.11022302463e-14+0j),(-2.29816166097e-14+0j),(2.45359288442e-14+0j),(-1.6320278462e-14+0j),(-3.88578058619e-16+0j),(-2.3758772727e-14+0j),(1.09912079438e-14+0j),(1.21014309684e-14+3.99680288865e-15j),(1.21014309684e-14-3.99680288865e-15j),(-9.43689570931e-16+1.11022302463e-15j),(-9.43689570931e-16-1.11022302463e-15j),(5.55111512313e-15-7.52176099184e-15j),(5.55111512313e-15+7.52176099184e-15j),(3.83026943496e-15+5.77315972805e-15j),(3.83026943496e-15-5.77315972805e-15j),(2.04281036531e-14+0j),(1.72084568817e-15+5.44009282066e-15j),(1.72084568817e-15-5.44009282066e-15j),(-4.77395900589e-15+1.49880108324e-15j),(-4.77395900589e-15-1.49880108324e-15j),(4.21884749358e-15+5.3290705182e-15j)
(66.193803353+0j),(52.0351122756+0j),(-31.470937177+0j),(10.6453956336+0j),(4.13543040835+0j),(13.0137465058+0j),(2.41958837369+0j),(2.74984112625+0j),(-6.55471142976+0j),(-0.47808817107+0j),(-2.4863070238+0j),(3.39050717579+0j),(1.3896018754+0j),(-5.6345538713+0j),(0.671978635428+0j),(-2.48528439377+0j),(-0.00762100732649+0j),(0.642589306392+0j),(0.461846166183+0j),(-2.45535234282+0j),(-0.313789391638+0j),(0.71725500228+0j),(-0.784646078736+0j),(-1.24485171531+0j),(0.591768217913+0j),(-0.247360167403+0j),(-1.31897139397+0j),(-1.91760299254+0j),(0.0309097622324+0j),(-0.543104034811+0j),(5.31171492015+0j),(1.02705697757+0j),(0.295299415593+0j),(0.679683160613+0j),(-0.367939820409+0j),(-0.993413103317+0j),(1.05447331396+0j),(-0.0667257667448+0j),(-0.146930529432+0j),(0.363286594423+0j),(0.156695213395+0j),(0.0612351839478+0j),(0.0380778154736+0j),(-0.0656925409552+0j),(0.0284745266419+0j),(-0.0132797688044+0j),(6.94101296592e-05+0j),(-7.90478793533e-14+0j),(4.55191440096e-15+0j),(-2.81719092499e-14+0j),(-4.21884749358e-15+0j),(6.2172489379e-15+0j),(-2.26485497024e-14+0j),(2.49245069028e-14+0j),(1.5598633496e-14+0j),(-3.15303338994e-14+0j),(3.66373598126e-14+0j),(-3.21964677141e-14+0j),(1.20042864538e-14+0j),(-1.97619698383e-14+0j),(6.43929354283e-15+0j),(4.88498130835e-15+5.66213742559e-15j),(4.88498130835e-15-5.66213742559e-15j),(-1.50990331349e-14+6.60582699652e-15j),(-1.50990331349e-14-6.60582699652e-15j),(-3.88578058619e-15-7.93809462607e-15j),(-3.88578058619e-15+7.93809462607e-15j),(-3.10862446895e-15-1.29063426613e-15j),(-3.10862446895e-15+1.29063426613e-15j),(8.881784197e-16+0j),(1.33226762955e-15+1.05471187339e-14j),(1.33226762955e-15-1.05471187339e-14j),(-3.49720252757e-15+3.10862446895e-15j),(-3.49720252757e-15-3.10862446895e-15j),(-1.7763568394e-15+2.77555756156e-15j)
(65.4654889967+0j),(50.0330151491+0j),(-29.4114049281+0j),(10.1348229741+0j),(3.2501606618+0j),(10.5005607587+0j),(0.529114455837+0j),(1.71190277339+0j),(-4.19557296728+0j),(0.891408126535+0j),(0.371838643939+0j),(2.99861014674+0j),(0.774299661566+0j),(-3.19944625541+0j),(0.00814870081264+0j),(0.0867026498875+0j),(0.213416625576+0j),(-0.615893955687+0j),(-0.607750724364+0j),(1.06232114063+0j),(0.848073146066+0j),(-0.32132714264+0j),(0.878062703545+0j),(1.07128610853+0j),(-0.84992489718+0j),(0.156759812389+0j),(1.49462278922+0j),(2.06431554444+0j),(-0.0946755449326+0j),(0.606865472343+0j),(-6.36007772171+0j),(-1.32217320201+0j),(-0.497242900052+0j),(-0.849827714614+0j),(0.484809039392+0j),(1.32610539522+0j),(-1.315977092+0j),(-0.00984169940182+0j),(0.165502993027+0j),(-0.499120561661+0j),(-0.202514006136+0j),(-0.075963902457+0j),(-0.0471232385085+0j),(0.0848350751131+0j),(-0.0411357327678+0j),(0.0185841310716+0j),(0.00163882373783+0j),(2.90878432452e-14+0j),(-2.1010970741e-14+0j),(8.318346012e-14+0j),(1.1046719095e-14+0j),(1.88737914186e-14+0j),(2.6645352591e-15+0j),(3.83026943496e-15+0j),(3.10862446895e-15+0j),(1.44328993201e-15+0j),(-4.55191440096e-15+0j),(1.65423230669e-14+0j),(-2.79498646449e-14+0j),(-3.24185123191e-14+0j),(3.20021786848e-14+0j),(3.05311331772e-14+1.45439216226e-14j),(3.05311331772e-14-1.45439216226e-14j),(4.30211422042e-15+2.50494069931e-15j),(4.30211422042e-15-2.50494069931e-15j),(4.35762537165e-15-2.58126853225e-15j),(4.35762537165e-15+2.58126853225e-15j),(-1.66533453694e-15+5.46784839628e-15j),(-1.66533453694e-15-5.46784839628e-15j),(1.0325074129e-14+0j),(-3.88578058619e-15+8.32667268469e-16j),(-3.88578058619e-15-8.32667268469e-16j),(3.33066907388e-16-2.72004641033e-15j),(3.33066907388e-16+2.72004641033e-15j),(1.22402088465e-14+4.48252546192e-15j)
(33.1512453871+0j),(-5.93314904121+0j),(21.5769219167+0j),(-1.86316183079+0j),(7.99503338427+0j),(2.77509559535+0j),(-7.74667664335+0j),(8.20377815798+0j),(-0.982044937991+0j),(1.40174119807+0j),(-4.42755214327+0j),(-0.943901826307+0j),(0.709838726459+0j),(1.58345581015+0j),(-3.42015006924+0j),(0.56377689626+0j),(4.36108752075+0j),(5.4857140722+0j),(-1.56508431515+0j),(-1.52713294789+0j),(-0.753489469135+0j),(-0.30639913052+0j),(0.0108314572831+0j),(-1.13790721242+0j),(-1.22755820993+0j),(2.40522628777+0j),(-0.948561460026+0j),(-2.652890747+0j),(-0.655164371358+0j),(-0.548793505131+0j),(0.66985956154+0j),(-1.51613496231+0j),(-1.29252586721+0j),(-0.731183410186+0j),(-0.5953749361+0j),(1.84241671771+0j),(-1.36936291767+0j),(1.48839342355+0j),(-0.811357565926+0j),(-0.95263375855+0j),(-0.704620647378+0j),(0.428082245788+0j),(-0.0583885983375+0j),(0.274864408845+0j),(-1.01681253205+0j),(0.453781162011+0j),(0.363600914731+0j),(-2.47492998318e-14+0j),(4.62477278695e-15+0j),(6.3688637697e-14+0j),(1.00509878198e-13+0j),(-2.08166817117e-14+0j),(-9.2648111405e-14+0j),(7.02727806501e-14+0j),(9.56179579958e-15+0j),(6.40737463087e-14+0j),(-5.66768854071e-14+0j),(-1.15463194561e-14+0j),(2.22877272194e-14+0j),(-4.9321657869e-14+0j),(5.24580379135e-14+0j),(4.08978406696e-14+1.01307850997e-14j),(4.08978406696e-14-1.01307850997e-14j),(-2.10526041045e-14+8.08554612153e-15j),(-2.10526041045e-14-8.08554612153e-15j),(-2.68535194081e-15-1.41102407536e-14j),(-2.68535194081e-15+1.41102407536e-14j),(2.44665399052e-14-9.32587340685e-15j),(2.44665399052e-14+9.32587340685e-15j),(1.37077849072e-14+0j),(-3.3653635434e-16+9.51322354226e-15j),(-3.3653635434e-16-9.51322354226e-15j),(-1.12410081243e-14+6.41847686111e-16j),(-1.12410081243e-14-6.41847686111e-16j),(-5.18335374622e-15-1.42594269725e-15j)
(32.8924707765+0j),(-7.88305516557+0j),(18.7976629619+0j),(-0.186022194741+0j),(2.05410284881+0j),(6.22662759184+0j),(-4.77662426216+0j),(7.64790867879+0j),(-1.14330719446+0j),(-1.22164262671+0j),(-1.19103435184+0j),(-1.17550541584+0j),(2.80480149388+0j),(0.171563187933+0j),(-1.81229534427+0j),(3.16876296873+0j),(3.14941209753+0j),(5.5619169257+0j),(1.42745443861+0j),(2.53691375278+0j),(-0.337705659674+0j),(1.22899244395+0j),(0.748935327228+0j),(1.66316991022+0j),(0.579976887727+0j),(2.43125615406+0j),(-1.5323164615+0j),(-1.00679039147+0j),(-0.0959253621637+0j),(0.428976654748+0j),(-0.967914478801+0j),(2.65243424194+0j),(1.77587238139+0j),(-1.70856973778+0j),(-1.77454947846+0j),(-0.210647014488+0j),(-1.1005851901+0j),(-1.88220195404+0j),(0.791250585873+0j),(1.06147571811+0j),(1.00668587713+0j),(-0.157104564502+0j),(0.0506742992468+0j),(-0.430193763402+0j),(0.93475682918+0j),(-0.419579772896+0j),(-0.19500131002+0j),(4.78315304031e-14+0j),(1.85736842573e-14+0j),(5.45848088951e-14+0j),(9.20791221048e-14+0j),(7.92699239582e-14+0j),(3.15858450506e-14+0j),(7.32313515384e-15+0j),(1.44745326836e-14+0j),(-6.67521593556e-15+0j),(1.21846976953e-14+0j),(-7.16093850883e-15+0j),(1.14491749414e-14+0j),(-1.20181642416e-14+0j),(1.40443212615e-14+0j),(1.33643096589e-14+8.07687250415e-15j),(1.33643096589e-14-8.07687250415e-15j),(-1.71668235183e-14+5.89285564789e-15j),(-1.71668235183e-14-5.89285564789e-15j),(-3.32373017997e-15-1.25004173679e-14j),(-3.32373017997e-15+1.25004173679e-14j),(1.58623114643e-14+8.60422844084e-16j),(1.58623114643e-14-8.60422844084e-16j),(5.2423343444e-15+0j),(1.00648656076e-14-1.43635103811e-15j),(1.00648656076e-14+1.43635103811e-15j),(-2.24126273096e-15+8.17054757185e-15j),(-2.24126273096e-15-8.17054757185e-15j),(1.03389519168e-15+1.25247034966e-15j)
(44.255514358+0j),(8.90260979085+0j),(13.1016637946+0j),(-10.9041435696+0j),(-4.68861646323+0j),(-11.9763859413+0j),(-4.89188543675+0j),(6.93350652378+0j),(-3.51867403008+0j),(-3.24026961979+0j),(-1.63941669543+0j),(9.2545100604+0j),(2.67326583283+0j),(3.51105297839+0j),(0.538222778432+0j),(-1.16088552683+0j),(0.850615264552+0j),(-6.76116124331+0j),(-0.174327913696+0j),(2.83076188778+0j),(1.39181562506+0j),(5.1353689186+0j),(-3.03454740629+0j),(-4.85149366867+0j),(1.07450129977+0j),(-1.24218015857+0j),(-1.49674988373+0j),(-1.34049794357+0j),(-0.992883467454+0j),(-1.04964900468+0j),(-1.70974025983+0j),(-0.177988405625+0j),(0.390472786238+0j),(0.406004523593+0j),(-1.09988113255+0j),(-0.732161510901+0j),(0.506234276861+0j),(0.129442616476+0j),(-0.250625690732+0j),(-0.135188512066+0j),(0.10050139573+0j),(0.0207476427904+0j),(-0.017227448583+0j),(-0.0564169197977+0j),(0.0269982078559+0j),(-0.0279227806423+0j),(0.00413735722534+0j),(1.58428825614e-13+0j),(-2.30093721854e-14+0j),(5.98410210273e-14+0j),(-1.92401650168e-13+0j),(1.04249942012e-13+0j),(-1.01585406753e-14+0j),(-3.18009507616e-14+0j),(3.31956684363e-14+0j),(-2.03170813506e-14+0j),(2.81996648255e-14+0j),(1.49880108324e-14+0j),(-3.63042929052e-14+0j),(-2.68673971959e-14+0j),(3.33066907388e-14+0j),(4.24105195407e-14+5.66213742559e-15j),(4.24105195407e-14-5.66213742559e-15j),(-5.3290705182e-15+7.82707232361e-15j),(-5.3290705182e-15-7.82707232361e-15j),(5.88418203051e-15-1.23789867246e-14j),(5.88418203051e-15+1.23789867246e-14j),(1.82631687551e-14+2.22044604925e-16j),(1.82631687551e-14-2.22044604925e-16j),(1.32394095687e-14+0j),(4.91273688397e-15+7.1054273576e-15j),(4.91273688397e-15-7.1054273576e-15j),(-8.43769498715e-15-6.10622663544e-16j),(-8.43769498715e-15+6.10622663544e-16j),(-1.80411241502e-15-3.46944695195e-16j)
