(45.7237437159+0j),(12.8338112691+0j),(4.83272240865+0j),(4.0178786054+0j),(2.95030807568+0j),(7.03490237791+0j),(-2.25932169096+0j),(5.97234583394+0j),(-4.74236099106+0j),(8.81086749443+0j),(-0.154681571284+0j),(-2.14336437425+0j),(2.25005122251+0j),(0.225427091858+0j),(4.88628374545+0j),(4.12976889007+0j),(3.11013526712+0j),(2.29590643447+0j),(-1.50427369204+0j),(-2.79665925962+0j),(1.01796227403+0j),(0.688756755118+0j),(-1.57433530457+0j),(-0.516946950616+0j),(0.119515444999+0j),(-0.704550216751+0j),(-1.23090221079+0j),(-2.27580441781+0j),(-3.99097887155+0j),(2.90425071287+0j),(-0.513938740143+0j),(-0.0195273971779+0j),(2.56015630628+0j),(-2.45588465984+0j),(-1.10877405576+0j),(-1.30143404695+0j),(-0.0080383194826+0j),(-1.65848558945+0j),(-0.386404408304+0j),(-1.70274926756+0j),(0.00753122023905+0j),(1.04423328173+0j),(2.53617312611+0j),(0.826052617947+0j),(0.230411355873+0j),(0.248576770626+0j),(0.00604378463408+0j),(8.88525364395e-14+0j),(4.57966997658e-14+0j),(-2.77139422522e-14+0j),(-1.34094124693e-14+0j),(4.10088629721e-15-1.04222186437e-14j),(4.10088629721e-15+1.04222186437e-14j),(1.11369247158e-14+1.04222186437e-14j),(1.11369247158e-14-1.04222186437e-14j),(-3.09231806828e-14+0j),(9.46465128493e-15+0j),(-1.26842980563e-14+4.08353906245e-15j),(-1.26842980563e-14-4.08353906245e-15j),(-2.94209101526e-15+0j),(1.38777878078e-15+0j),(-3.80251385934e-15+0j),(2.47579734491e-14+0j),(2.30926389122e-14+0j),(-2.35089725464e-14-1.67921232475e-15j),(-2.35089725464e-14+1.67921232475e-15j),(5.68642355425e-15+0j),(4.85722573274e-16+0j),(-7.66053886991e-15+0j),(-1.18238752123e-14+7.51829154488e-15j),(-1.18238752123e-14-7.51829154488e-15j),(2.32452945781e-15+0j),(1.54910806405e-14+5.4227455859e-15j),(1.54910806405e-14-5.4227455859e-15j),(1.45439216226e-14+0j)
(43.9318689121+0j),(11.5323770209+0j),(3.59169851387+0j),(7.9371908107+0j),(5.90447688539+0j),(4.46836188917+0j),(-2.31942808606+0j),(1.24696524556+0j),(-4.03362720091+0j),(4.51665228926+0j),(-8.54618614065+0j),(-5.96473154849+0j),(2.52825738728+0j),(-1.42438877603+0j),(2.90398122108+0j),(3.33939022656+0j),(4.82247204998+0j),(-0.509739406482+0j),(-0.245452543581+0j),(0.747682483835+0j),(0.374230172497+0j),(3.06851591733+0j),(0.888254713035+0j),(1.74259291725+0j),(2.44336481543+0j),(1.20336391825+0j),(-2.71564569275+0j),(0.604881065278+0j),(3.07860235033+0j),(-1.65034233068+0j),(-0.272336202384+0j),(-0.446361609389+0j),(0.666402825335+0j),(1.48158369709+0j),(-2.84563999368+0j),(2.02880172166+0j),(-0.316936721182+0j),(0.551834932495+0j),(3.45337904537+0j),(-1.47208331075+0j),(0.733600358001+0j),(-0.102656270914+0j),(-1.54887836915+0j),(-0.0627614463733+0j),(0.701157500381+0j),(0.230662562454+0j),(0.00318651293421+0j),(-9.62424584472e-15+0j),(3.53328477587e-14+0j),(-2.85604873085e-14+0j),(5.54417622922e-15+0j),(-4.35068647775e-15-8.81239525796e-16j),(-4.35068647775e-15+8.81239525796e-16j),(-1.93386973102e-14+7.1054273576e-15j),(-1.93386973102e-14-7.1054273576e-15j),(1.49533163629e-15+0j),(-1.63480340376e-14+0j),(6.82787160144e-15+8.2538142987e-15j),(6.82787160144e-15-8.2538142987e-15j),(8.14626144319e-15+0j),(1.12687636999e-14+0j),(1.75970349403e-14+0j),(-6.10622663544e-15+0j),(-2.7075564013e-14+0j),(2.33424390927e-14-3.78516662458e-15j),(2.33424390927e-14+3.78516662458e-15j),(-7.02563007771e-15+0j),(-8.61810622865e-15+0j),(1.33226762955e-14+0j),(3.16413562018e-15+7.26849136434e-15j),(3.16413562018e-15-7.26849136434e-15j),(1.1844691894e-14+0j),(5.12437314804e-15+6.86603551792e-15j),(5.12437314804e-15-6.86603551792e-15j),(-1.62092561595e-14+0j)
(41.7948783243+0j),(9.47936674164+0j),(2.71653874677+0j),(10.548349574+0j),(6.3603520081+0j),(3.99533827822+0j),(-1.03423009921+0j),(0.495162205582+0j),(-2.76508126387+0j),(5.03611327186+0j),(-8.45886133468+0j),(-7.67532491251+0j),(-0.121899467525+0j),(-2.72285734506+0j),(2.43403378144+0j),(4.01030326397+0j),(2.69087172907+0j),(1.59745536794+0j),(-3.13614537445+0j),(-2.73531543301+0j),(-0.515024777608+0j),(2.67142335+0j),(3.25831930865+0j),(1.76820513629+0j),(-1.54548681902+0j),(-0.82851776531+0j),(1.09470433008+0j),(1.84077115158+0j),(2.65411247689+0j),(-0.230553320867+0j),(1.81630843884+0j),(0.567620572196+0j),(-2.89987676201+0j),(-0.628453267255+0j),(3.29324434272+0j),(0.600083098158+0j),(2.28869617125+0j),(0.575038722862+0j),(-2.90775600825+0j),(0.947133297623+0j),(-0.290721824188+0j),(-0.0684141471456+0j),(0.266840014772+0j),(0.162023219289+0j),(-0.936183411088+0j),(-0.113078813029+0j),(-0.00825944113835+0j),(-3.74908437628e-14+0j),(-1.4294121442e-14+0j),(1.07414077632e-14+0j),(-8.74300631892e-16+0j),(-1.05263020522e-14+6.50174358796e-15j),(-1.05263020522e-14-6.50174358796e-15j),(7.32747196253e-15-6.31439345256e-15j),(7.32747196253e-15+6.31439345256e-15j),(1.55396528978e-14+0j),(-5.13478148889e-15+0j),(2.23432383706e-14-7.76115283152e-15j),(2.23432383706e-14+7.76115283152e-15j),(6.06459327201e-15+0j),(-2.8088642523e-14+0j),(4.11545797441e-14+0j),(3.27515792264e-15+0j),(2.07750483483e-14+0j),(1.55431223448e-15+3.87329057716e-14j),(1.55431223448e-15-3.87329057716e-14j),(1.3287981826e-15+0j),(7.33094140948e-15+0j),(-1.29896093881e-14+0j),(3.05866443284e-14-1.98209504365e-14j),(3.05866443284e-14+1.98209504365e-14j),(4.04884459293e-14+0j),(6.47051856539e-15-2.08513761812e-15j),(6.47051856539e-15+2.08513761812e-15j),(-3.23074900166e-14+0j)
(46.9020710377+0j),(15.1848679665+0j),(5.74319175228+0j),(1.42304243224+0j),(1.35649882829+0j),(9.54584930675+0j),(-2.89779763018+0j),(4.35040063022+0j),(-5.6195363059+0j),(0.0879141442405+0j),(0.809420344963+0j),(5.80349060779+0j),(1.07649957124+0j),(1.63947183983+0j),(0.432664785141+0j),(-3.31468326355+0j),(0.76779368309+0j),(1.81867707116+0j),(-0.83578701913+0j),(-2.63003020792+0j),(0.984937866707+0j),(-1.55866893964+0j),(0.620910634607+0j),(-2.5179876903+0j),(-2.70784578176+0j),(-1.92739661159+0j),(1.35277079199+0j),(3.08296988422+0j),(-0.849861779728+0j),(2.81397341524+0j),(0.988150131698+0j),(2.42215681055+0j),(-1.92109149869+0j),(-1.04250748555+0j),(1.66893852341+0j),(-1.01833652207+0j),(-0.687857026301+0j),(-1.23716420157+0j),(2.51027088937+0j),(1.69956949364+0j),(2.0184947645+0j),(-0.148900120037+0j),(-1.32620548587+0j),(-1.06871296465+0j),(1.5139809786+0j),(-0.054603502095+0j),(-0.027326053266+0j),(-2.74086309204e-15+0j),(1.79301018477e-14+0j),(-1.96787031115e-14+0j),(2.57675825122e-14+0j),(1.67782454596e-14+1.79023462721e-15j),(1.67782454596e-14-1.79023462721e-15j),(-2.25860996572e-14+3.05311331772e-15j),(-2.25860996572e-14-3.05311331772e-15j),(2.33875419031e-14+0j),(-2.36755060001e-14+0j),(2.90045765183e-15+9.49240686055e-15j),(2.90045765183e-15-9.49240686055e-15j),(1.26079702234e-14+0j),(2.04003480775e-14+0j),(-2.73392419814e-15+0j),(-2.3037127761e-14+0j),(-2.5271451598e-14+0j),(2.75335310107e-14-1.11161080341e-14j),(2.75335310107e-14+1.11161080341e-14j),(2.87964097012e-16+0j),(-1.17961196366e-15+0j),(2.17603712827e-14+0j),(-1.03805852802e-14+1.21257170971e-14j),(-1.03805852802e-14-1.21257170971e-14j),(-1.21083698623e-14+0j),(-7.32400251557e-15+6.79664657888e-15j),(-7.32400251557e-15-6.79664657888e-15j),(-1.69309011255e-14+0j)
(-17.0987211896+0j),(-21.239697598+0j),(-3.83220473236+0j),(-4.61074523976+0j),(11.6002758926+0j),(-0.696039982791+0j),(-8.11916629494+0j),(-0.17529893731+0j),(3.94984414227+0j),(-8.69997816331+0j),(-6.84227536918+0j),(4.52292911807+0j),(-0.232781334434+0j),(-3.26345633233+0j),(4.82503070067+0j),(2.34935091883+0j),(0.531415569936+0j),(5.68188775509+0j),(-1.77218212355+0j),(6.21247251114+0j),(4.61219847061+0j),(-1.95352733263+0j),(1.36622650186+0j),(-2.40344610374+0j),(-1.35996409094+0j),(2.57861584052+0j),(2.27043216992+0j),(-2.34526406214+0j),(-3.89494055775+0j),(-0.598439910708+0j),(2.22042914369+0j),(-1.06454916142+0j),(-1.05851441608+0j),(0.114764740216+0j),(0.930383085411+0j),(1.68451635875+0j),(1.42580180085+0j),(1.58638172026+0j),(1.17354290012+0j),(-0.836560336655+0j),(0.0146629649737+0j),(0.056037366161+0j),(0.128840955092+0j),(0.173836065157+0j),(0.188691851992+0j),(0.0750481457646+0j),(0.00365258353613+0j),(-2.35922392733e-16+0j),(3.60822483003e-16+0j),(1.38777878078e-16+0j),(-1.59386392973e-14+0j),(-1.10536579889e-14+4.49640324973e-15j),(-1.10536579889e-14-4.49640324973e-15j),(4.47558656802e-15-2.6645352591e-15j),(4.47558656802e-15+2.6645352591e-15j),(2.13128126259e-14+0j),(-1.21846976953e-14+0j),(6.67521593556e-15+4.11823353197e-15j),(6.67521593556e-15-4.11823353197e-15j),(1.81799020282e-15+0j),(-2.26485497024e-14+0j),(-1.1407541578e-14+0j),(1.83186799063e-14+0j),(1.86656246015e-14+0j),(-2.16493489802e-14+3.4590386111e-15j),(-2.16493489802e-14-3.4590386111e-15j),(-1.7767037841e-14+0j),(-7.48012762841e-15+0j),(-1.71390679427e-14+0j),(1.77080572428e-14+4.07660016855e-15j),(1.77080572428e-14-4.07660016855e-15j),(-2.5347779431e-14+0j),(-9.82200432098e-15-1.30798150089e-15j),(-9.82200432098e-15+1.30798150089e-15j),(2.18436380095e-14+0j)
(-36.8542204703+0j),(-11.2993871689+0j),(10.8906353319+0j),(-12.0969337615+0j),(10.0615804723+0j),(4.41759321692+0j),(7.58403936133+0j),(-11.9709593045+0j),(-11.0561664248+0j),(-1.0924214249+0j),(-2.81952556348+0j),(-0.536175300985+0j),(-1.08794596597+0j),(-0.796856705272+0j),(-2.31262694947+0j),(3.04285998224+0j),(0.429559440274+0j),(2.69065253331+0j),(7.30780012526+0j),(-1.7959182269+0j),(1.50770737034+0j),(-1.18971412246+0j),(-1.84264711818+0j),(0.393714747854+0j),(1.1088621754+0j),(1.35365604262+0j),(-0.175490309796+0j),(1.30413733073+0j),(1.00994500543+0j),(-0.82104183163+0j),(-2.71321975921+0j),(-1.12660641004+0j),(2.03086329558+0j),(-0.860328072875+0j),(4.87292503998+0j),(-0.132419797238+0j),(-0.923749239014+0j),(-0.176514184827+0j),(1.03874812586+0j),(-1.27474382513+0j),(0.346697886089+0j),(-0.873556182894+0j),(0.527800273959+0j),(-0.20157393484+0j),(-0.294400755331+0j),(0.0470506809056+0j),(-0.0120299098115+0j),(3.52287643501e-14+0j),(-7.85482789922e-15+0j),(1.77080572428e-14+0j),(-1.02071129326e-14+0j),(-2.33077446232e-14+9.56873469349e-15j),(-2.33077446232e-14-9.56873469349e-15j),(-1.73958070171e-14-1.35447209004e-14j),(-1.73958070171e-14+1.35447209004e-14j),(1.75380543421e-14+0j),(-1.8124390877e-14+0j),(8.18789480661e-15-2.46365428058e-14j),(8.18789480661e-15+2.46365428058e-14j),(4.87249129932e-14+0j),(-2.78665979181e-14+0j),(3.31817906485e-14+0j),(-1.16295861829e-14+0j),(8.56259507742e-15+0j),(-4.02455846427e-15+2.84390566652e-14j),(-4.02455846427e-15-2.84390566652e-14j),(-2.83453815975e-15+0j),(-5.62050406216e-15+0j),(-3.64153152077e-14+0j),(3.43891581878e-14-8.12197531452e-15j),(3.43891581878e-14+8.12197531452e-15j),(3.51801920928e-15+0j),(-1.45959633269e-14+4.68375338514e-16j),(-1.45959633269e-14-4.68375338514e-16j),(5.21804821574e-15+0j)
(-49.9775913121+0j),(1.86542882906+0j),(13.9959482582+0j),(0.429726597089+0j),(-0.0254241040204+0j),(-6.37913171522+0j),(12.8365864103+0j),(9.75433722505+0j),(0.884813719812+0j),(-8.70792125819+0j),(-9.11833063678+0j),(-1.39272076+0j),(5.89312997404+0j),(3.00573864634+0j),(-0.510584772285+0j),(-1.04508780541+0j),(-0.129478294107+0j),(-3.42306542044+0j),(-4.05648872009+0j),(3.6383359812+0j),(1.1001597597+0j),(1.71146560225+0j),(1.83778960611+0j),(2.57648838089+0j),(1.17665336972+0j),(1.01594857311+0j),(-0.857408398273+0j),(3.6724308333+0j),(-3.73505010485+0j),(0.442246353447+0j),(-1.99723636392+0j),(1.93245120008+0j),(2.35333063309+0j),(-0.571007137023+0j),(0.856912878149+0j),(0.900220442292+0j),(-0.744147691823+0j),(-1.85755352745+0j),(-1.06385629116+0j),(0.35180363015+0j),(0.0411989091787+0j),(0.758968759208+0j),(-1.11927579604+0j),(-0.0678915282001+0j),(-0.597410859829+0j),(-0.0060570170908+0j),(0.00411126832843+0j),(5.69683189511e-15+0j),(1.00197627972e-14+0j),(-1.01862962509e-14+0j),(1.92554305833e-14+0j),(-2.6575963652e-15-1.06581410364e-14j),(-2.6575963652e-15+1.06581410364e-14j),(1.92207361138e-15+1.78607129087e-14j),(1.92207361138e-15-1.78607129087e-14j),(-2.84806900286e-14+0j),(-9.10382880193e-15+0j),(1.80411241502e-15-9.92608772954e-15j),(1.80411241502e-15+9.92608772954e-15j),(3.57908147564e-14+0j),(1.62647673108e-14+0j),(3.07531777821e-14+0j),(-3.33066907388e-14+0j),(-3.595734821e-14+0j),(4.16611189991e-14+7.09501901675e-15j),(4.16611189991e-14-7.09501901675e-15j),(2.77208811461e-15+0j),(-1.17961196366e-15+0j),(-8.881784197e-16+0j),(2.07334149849e-14-1.39090128304e-14j),(2.07334149849e-14+1.39090128304e-14j),(1.88390969491e-14+0j),(1.82111270508e-14-3.02882718906e-15j),(1.82111270508e-14+3.02882718906e-15j),(5.05151476204e-15+0j)
(-36.6821904334+0j),(-10.4018097703+0j),(9.70378872658+0j),(-10.9476195691+0j),(5.94302722378+0j),(5.95435646308+0j),(9.01560363586+0j),(-11.2160394234+0j),(-9.10877171814+0j),(-4.74793808763+0j),(-4.72478244174+0j),(-0.584501789059+0j),(3.37288808315+0j),(0.681058480418+0j),(-1.21587176418+0j),(-0.496098531057+0j),(0.654099289331+0j),(-0.272524267491+0j),(8.29380269639+0j),(-3.70306516379+0j),(-2.66212874054+0j),(-0.227213195011+0j),(3.77093073665+0j),(-0.167471467042+0j),(-0.604900087684+0j),(-2.0878560813+0j),(1.20564555923+0j),(-0.534584643375+0j),(-2.19275497579+0j),(0.445062149935+0j),(4.10611639189+0j),(0.594734264648+0j),(-0.494934451875+0j),(0.570255084846+0j),(-3.64385769135+0j),(0.114054290135+0j),(0.363569401038+0j),(-0.326802932275+0j),(-1.17420946813+0j),(0.0552744816078+0j),(-0.650243868875+0j),(0.931868873291+0j),(-0.614989495919+0j),(0.0784573976538+0j),(0.062437127963+0j),(0.102959583615+0j),(0.00928819051251+0j),(-4.87040963115e-14+0j),(1.61259894327e-14+0j),(-1.61815005839e-14+0j),(-8.63892291036e-15+0j),(2.17395546009e-14-1.33365540833e-14j),(2.17395546009e-14+1.33365540833e-14j),(4.58591498109e-14+2.58681964738e-14j),(4.58591498109e-14-2.58681964738e-14j),(-6.56176502023e-14+0j),(3.0114799543e-14+0j),(-2.02476924116e-14+9.17668718792e-15j),(-2.02476924116e-14-9.17668718792e-15j),(-2.18020046461e-14+0j),(2.18158824339e-14+0j),(-2.31481500634e-14+0j),(-9.60342916301e-15+0j),(-3.80667719568e-14+0j),(4.19109191796e-15-2.99239799606e-14j),(4.19109191796e-15+2.99239799606e-14j),(9.26689280867e-15+0j),(4.48252546192e-15+0j),(2.55351295664e-15+0j),(-7.1054273576e-15+5.20417042793e-17j),(-7.1054273576e-15-5.20417042793e-17j),(6.95971058562e-15+0j),(1.47694356745e-14-5.9431626287e-15j),(1.47694356745e-14+5.9431626287e-15j),(1.04916075827e-14+0j)
(-36.9338181316+0j),(7.51696755189+0j),(17.1789383196+0j),(7.77635685581+0j),(15.1130817958+0j),(-8.16662603033+0j),(7.60555639952+0j),(8.4741776102+0j),(6.89242768246+0j),(-0.407586011983+0j),(9.05985622795+0j),(-8.23302759391+0j),(6.55896709726+0j),(2.47176298906+0j),(1.38425031496+0j),(-3.2107612419+0j),(2.6583360393+0j),(1.39316792518+0j),(2.44255935065+0j),(0.271129731876+0j),(-3.5844342523+0j),(-0.925027092017+0j),(2.12282631779+0j),(0.123170654117+0j),(2.93446267712+0j),(-3.12894717652+0j),(2.60822796819+0j),(-1.92329615019+0j),(-0.300028897651+0j),(0.574119494301+0j),(-2.15029311768+0j),(1.36110526843+0j),(-2.48152531913+0j),(-0.453124396787+0j),(0.8368957066+0j),(0.692275564702+0j),(-0.615888855805+0j),(2.68709551311+0j),(1.45125273136+0j),(-0.120743452677+0j),(-0.239014735232+0j),(0.127244373221+0j),(1.04459627938+0j),(-0.183885149435+0j),(0.0831625186594+0j),(0.220945122814+0j),(-0.000391972240067+0j),(3.45626305354e-14+0j),(1.01307850997e-14+0j),(-9.52016243616e-15+0j),(-2.94833601977e-14+0j),(-3.12180836737e-14+8.23646706394e-15j),(-3.12180836737e-14-8.23646706394e-15j),(-9.29117893733e-15-8.04911692853e-15j),(-9.29117893733e-15+8.04911692853e-15j),(-1.12167219957e-14+0j),(5.24580379135e-15+0j),(-9.5895513752e-15+1.07795716797e-14j),(-9.5895513752e-15-1.07795716797e-14j),(-2.69922972862e-14+0j),(-1.15185638805e-14+0j),(-8.520961714e-15+0j),(-5.35682609382e-15+0j),(-2.28567165195e-14+0j),(4.24660306919e-15+3.54230533794e-15j),(4.24660306919e-15-3.54230533794e-15j),(-2.90913126921e-14+0j),(-8.45157277496e-15+0j),(3.12250225676e-15+0j),(1.00475183729e-14-5.16947595841e-16j),(1.00475183729e-14+5.16947595841e-16j),(-2.25722218694e-14+0j),(-1.28612398509e-14-9.69016533681e-15j),(-1.28612398509e-14+9.69016533681e-15j),(3.73034936274e-14+0j)
(-36.860218166+0j),(4.58296883284+0j),(17.134650239+0j),(2.56389088403+0j),(13.7536468941+0j),(-6.19971736204+0j),(12.3119082339+0j),(9.45505753411+0j),(4.02025335981+0j),(-6.81431886956+0j),(5.86938847406+0j),(-2.70191301468+0j),(4.30258354454+0j),(-0.628501021986+0j),(-2.43601166707+0j),(3.82840591266+0j),(-0.933848477379+0j),(2.42156572904+0j),(-0.570303106901+0j),(-0.0948540335198+0j),(1.97535759305+0j),(-1.67704763287+0j),(-2.11507998243+0j),(-0.261375452751+0j),(-1.21850825341+0j),(1.23165315602+0j),(-2.51090894364+0j),(-1.05372343433+0j),(3.29149045166+0j),(-1.51177085015+0j),(3.20860034858+0j),(-0.980355840684+0j),(1.13177639261+0j),(-1.37488006837+0j),(-1.20922608832+0j),(-2.2901064226+0j),(1.24775462922+0j),(-0.561330414379+0j),(-1.13701037217+0j),(0.178593390927+0j),(2.57069313842+0j),(-1.34282005007+0j),(-0.0747142440733+0j),(0.239916666175+0j),(0.709005084292+0j),(-0.340714556777+0j),(-0.0108526256881+0j),(6.10969608239e-14+0j),(7.82984788117e-14+0j),(-5.65242297412e-14+0j),(-1.71598846244e-14+0j),(-2.6575963652e-15-1.43496325933e-14j),(-2.6575963652e-15+1.43496325933e-14j),(2.2960799928e-14+3.5527136788e-15j),(2.2960799928e-14-3.5527136788e-15j),(-2.91468238434e-14+0j),(2.72420974667e-14+0j),(1.90542026601e-14-2.14099571405e-14j),(1.90542026601e-14+2.14099571405e-14j),(-4.45476988631e-15+0j),(-9.99200722163e-15+0j),(1.75970349403e-14+0j),(2.77555756156e-15+0j),(2.77694534034e-14+0j),(-2.53963516883e-14-5.89459037137e-15j),(-2.53963516883e-14+5.89459037137e-15j),(1.8342966035e-14+0j),(1.83603132697e-14+0j),(-1.81521464526e-14+0j),(-1.87072579649e-14-5.58580959265e-16j),(-1.87072579649e-14+5.58580959265e-16j),(-1.31353261601e-14+0j),(-1.33192068485e-14-1.22471477404e-15j),(-1.33192068485e-14+1.22471477404e-15j),(1.75970349403e-14+0j)
(-14.2823231863+0j),(-13.6841665485+0j),(4.90857584294+0j),(-4.97215592607+0j),(19.0692610635+0j),(-0.374618240562+0j),(-5.75540275631+0j),(-2.37753335789+0j),(5.30215064215+0j),(5.48281546951+0j),(8.09067650074+0j),(-2.32397043044+0j),(-0.953150671576+0j),(-3.57716992089+0j),(5.73370291334+0j),(6.05413819006+0j),(3.19683892278+0j),(-2.27812194429+0j),(0.985681679897+0j),(3.61630825578+0j),(-0.725100611713+0j),(-1.60624951485+0j),(1.1320315582+0j),(-0.632513272486+0j),(0.692723421147+0j),(-0.499557131286+0j),(-0.0839603237923+0j),(1.45329976052+0j),(-0.317917107553+0j),(3.39946994031+0j),(-0.247881924295+0j),(-3.0427746732+0j),(1.3347200326+0j),(3.14650665139+0j),(-0.121982702+0j),(-0.607180256996+0j),(-0.404417530122+0j),(-2.01307524018+0j),(-0.500336615771+0j),(2.18266822679+0j),(-1.18006850746+0j),(-0.885529775902+0j),(-0.67732742001+0j),(-1.25803417352+0j),(-0.230873524471+0j),(-0.177956790491+0j),(0.0119423416495+0j),(-1.15053799821e-13+0j),(-9.12880881998e-14+0j),(6.28108676182e-14+0j),(5.43246003737e-14+0j),(5.20208875976e-14+5.40539835114e-15j),(5.20208875976e-14-5.40539835114e-15j),(2.53269627493e-15-7.35522753814e-16j),(2.53269627493e-15+7.35522753814e-16j),(4.14078493716e-14+0j),(-2.47302178735e-14+0j),(3.92741394961e-15+2.06432093641e-15j),(3.92741394961e-15-2.06432093641e-15j),(1.79717352111e-14+0j),(7.96585020169e-15+0j),(-1.57096557984e-14+0j),(2.72004641033e-15+0j),(1.01169073119e-14+0j),(2.47024622979e-15-2.00221783597e-14j),(2.47024622979e-15+2.00221783597e-14j),(1.35690070291e-14+0j),(1.52516888008e-14+0j),(1.99840144433e-15+0j),(-9.82547376793e-15+1.60635393875e-15j),(-9.82547376793e-15-1.60635393875e-15j),(4.51721993144e-15+0j),(-3.07739944638e-15-2.86229373536e-15j),(-3.07739944638e-15+2.86229373536e-15j),(-6.10622663544e-15+0j)
