(32.3719950493+0j),(-0.985344283613+0j),(11.8565605563+0j),(-4.96309382895+0j),(3.08573086955+0j),(1.43381221046+0j),(-3.03770603055+0j),(-3.78096814381+0j),(0.870247269559+0j),(-0.820527884284+0j),(-0.0692404703138+0j),(-1.07529466413+0j),(7.8640860567+0j),(-0.541900028973+0j),(2.82140084957+0j),(1.03368229621+0j),(2.24729142488+0j),(-5.08991853318+0j),(3.26463730084+0j),(2.84426361492+0j),(-0.623129237297+0j),(1.46080534307+0j),(0.0620960408311+0j),(-0.311842254538+0j),(0.263294230757+0j),(0.578575938175+0j),(0.199834623757+0j),(1.04116969212+0j),(-1.82684960459+0j),(-0.823929713582+0j),(-0.286557871116+0j),(0.282790773386+0j),(-1.47896857872+0j),(0.40795801736+0j),(-0.972450710115+0j),(1.35626714688+0j),(1.01534660166+0j),(2.01050637989+0j),(0.103989018971+0j),(1.84666658671+0j),(-0.259388337399+0j),(0.715168705495+0j),(-0.599071185436+0j),(-0.991117923091+0j),(0.119768462078+0j),(-0.412373610021+0j),(0.160342079973+0j),(3.8635761257e-14+0j),(-6.88338275268e-15+0j),(-3.46667139439e-14+2.79221090693e-14j),(-3.46667139439e-14-2.79221090693e-14j),(3.33066907388e-15+0j),(-2.06779038336e-14+4.77395900589e-15j),(-2.06779038336e-14-4.77395900589e-15j),(8.65280069817e-15+1.11022302463e-16j),(8.65280069817e-15-1.11022302463e-16j),(1.18238752123e-14+2.73392419814e-15j),(1.18238752123e-14-2.73392419814e-15j),(-8.49320613838e-15+0j),(-2.44249065418e-15+7.82707232361e-15j),(-2.44249065418e-15-7.82707232361e-15j),(4.38538094727e-15+0j),(-1.05471187339e-15+0j),(-6.43929354283e-15+0j),(9.52016243616e-15+7.57727214307e-15j),(9.52016243616e-15-7.57727214307e-15j),(-5.73152636463e-15+1.52655665886e-16j),(-5.73152636463e-15-1.52655665886e-16j),(4.10782519111e-15+4.13558076673e-15j),(4.10782519111e-15-4.13558076673e-15j),(-2.70616862252e-15+0j),(-5.3290705182e-15+6.75848266241e-15j),(-5.3290705182e-15-6.75848266241e-15j),(6.88338275268e-15+1.96891114523e-15j),(6.88338275268e-15-1.96891114523e-15j)
(-30.8651612151+0j),(2.37524341399+0j),(-10.179086617+0j),(-8.56458278684+0j),(6.57682659046+0j),(4.60142634661+0j),(-5.51162261829+0j),(3.79376512707+0j),(2.06035225963+0j),(0.830010322307+0j),(1.68337735678+0j),(-4.19056893961+0j),(0.684507052201+0j),(-0.805902828888+0j),(-5.85308855317+0j),(-4.12959801453+0j),(0.956644037364+0j),(-1.52716702153+0j),(-2.43834947395+0j),(-1.9201619264+0j),(2.60482181896+0j),(0.512879059169+0j),(0.457017441471+0j),(-2.31966091957+0j),(0.390012702951+0j),(1.27451379619+0j),(2.37992132733+0j),(0.971542796297+0j),(1.55128070016+0j),(1.64353314064+0j),(1.86076057552+0j),(-0.84875165755+0j),(1.48885487427+0j),(-0.0510431007079+0j),(-0.509398899092+0j),(1.87093077476+0j),(0.695023910024+0j),(-0.205142629545+0j),(1.56785941585+0j),(1.10508797976+0j),(1.30342625033+0j),(-0.458205514981+0j),(0.309637586402+0j),(-0.309962466301+0j),(0.695764809004+0j),(0.158628916236+0j),(0.0780708039136+0j),(6.66133814775e-14+0j),(1.33226762955e-14+0j),(7.21644966006e-16+5.64548408022e-14j),(7.21644966006e-16-5.64548408022e-14j),(4.1522341121e-14+0j),(1.99840144433e-15+1.31006316906e-14j),(1.99840144433e-15-1.31006316906e-14j),(2.33146835171e-15+8.60422844084e-16j),(2.33146835171e-15-8.60422844084e-16j),(1.07691633389e-14+3.49720252757e-15j),(1.07691633389e-14-3.49720252757e-15j),(2.05391259556e-15+0j),(-1.487698853e-14-5.66213742559e-15j),(-1.487698853e-14+5.66213742559e-15j),(2.88657986403e-15+0j),(3.77475828373e-15+0j),(-1.09912079438e-14+0j),(3.10862446895e-15-5.3290705182e-15j),(3.10862446895e-15+5.3290705182e-15j),(2.6645352591e-15+1.37737043993e-15j),(2.6645352591e-15-1.37737043993e-15j),(2.05391259556e-15-2.05391259556e-15j),(2.05391259556e-15+2.05391259556e-15j),(-8.21565038223e-15+0j),(2.22044604925e-15+2.39391839685e-15j),(2.22044604925e-15-2.39391839685e-15j),(-1.11022302463e-16+2.15105711021e-16j),(-1.11022302463e-16-2.15105711021e-16j)
(-14.6753706771+0j),(15.4023539678+0j),(-12.6196026842+0j),(-2.94093495912+0j),(3.73838290136+0j),(-7.82858747639+0j),(-9.06600311301+0j),(-4.27567442754+0j),(-4.108113818+0j),(-4.36123049566+0j),(-0.596485218485+0j),(-6.04703203933+0j),(-2.93876396812+0j),(-4.72769135388+0j),(2.34690298237+0j),(-1.47750413287+0j),(1.75995858538+0j),(1.88939224927+0j),(1.34683872367+0j),(1.24541481915+0j),(-1.12453183198+0j),(-2.99257319699+0j),(-1.6753759317+0j),(-0.220268828309+0j),(-1.89842770053+0j),(-0.567886225235+0j),(3.74384005967+0j),(3.71386196056+0j),(2.25183596301+0j),(-1.85259958836+0j),(0.159351028055+0j),(-0.222135325902+0j),(-1.87201823715+0j),(1.48403855674+0j),(0.615038908627+0j),(-1.16754581717+0j),(-0.87549309505+0j),(0.00190937331341+0j),(-0.408589221565+0j),(-0.12136642199+0j),(-0.463159640093+0j),(-0.00345577560406+0j),(-0.103115157592+0j),(-0.0986343005943+0j),(-0.0671480696559+0j),(-0.0782181850113+0j),(-0.0347979404259+0j),(-2.57571741713e-14+0j),(-5.15143483426e-14+0j),(-2.69229083472e-15-3.85802501057e-14j),(-2.69229083472e-15+3.85802501057e-14j),(1.11022302463e-15+0j),(9.74220704109e-15-1.33781874467e-14j),(9.74220704109e-15+1.33781874467e-14j),(-1.32185928869e-14+8.60422844084e-16j),(-1.32185928869e-14-8.60422844084e-16j),(-1.19348975147e-14-1.27259314198e-14j),(-1.19348975147e-14+1.27259314198e-14j),(-7.77156117238e-16+0j),(1.04360964315e-14+1.56541446472e-14j),(1.04360964315e-14-1.56541446472e-14j),(-1.94289029309e-15+0j),(2.83106871279e-15+0j),(-1.94289029309e-15+0j),(-1.66533453694e-15+4.82947015712e-15j),(-1.66533453694e-15-4.82947015712e-15j),(4.48252546192e-15+9.85322934355e-16j),(4.48252546192e-15-9.85322934355e-16j),(4.21884749358e-15+8.520961714e-15j),(4.21884749358e-15-8.520961714e-15j),(7.21644966006e-16+0j),(-4.52415882535e-15-2.41473507856e-15j),(-4.52415882535e-15+2.41473507856e-15j),(1.66533453694e-15+2.49626708193e-15j),(1.66533453694e-15-2.49626708193e-15j)
(9.67534801909+0j),(19.2705456148+0j),(1.14581072714+0j),(9.94731174288+0j),(0.305440828384+0j),(3.16679623955+0j),(5.70494756875+0j),(2.28095239047+0j),(-1.6786976122+0j),(4.48129768178+0j),(-1.15577091092+0j),(-7.80684667675+0j),(5.71042861261+0j),(-2.17792162102+0j),(-0.517582227688+0j),(-1.31607683707+0j),(-2.39045457881+0j),(-2.90451284597+0j),(3.41235968135+0j),(3.14190048257+0j),(0.873189060478+0j),(-0.153095230118+0j),(3.62340942425+0j),(2.59411690769+0j),(-1.79445178687+0j),(0.255218810542+0j),(-1.37941293902+0j),(2.18512071082+0j),(0.702745205765+0j),(1.86302388949+0j),(1.62094991017+0j),(-2.15679180686+0j),(0.184975328657+0j),(-1.08712281052+0j),(-0.631653319017+0j),(-0.529123447071+0j),(0.892097222747+0j),(-1.31990887976+0j),(-1.58777641086+0j),(-0.816047793252+0j),(0.377221001814+0j),(-0.282890285252+0j),(-0.0165168057693+0j),(0.190892040463+0j),(-0.357758298353+0j),(-0.119080124484+0j),(0.0274039579319+0j),(-3.10862446895e-14+0j),(-7.32747196253e-15+0j),(4.65461003074e-14-5.43454170554e-14j),(4.65461003074e-14+5.43454170554e-14j),(-7.54951656745e-14+0j),(4.82947015712e-15-1.3433698598e-14j),(4.82947015712e-15+1.3433698598e-14j),(9.45771239103e-15+1.88737914186e-15j),(9.45771239103e-15-1.88737914186e-15j),(9.38138455808e-15+3.48332473976e-15j),(9.38138455808e-15-3.48332473976e-15j),(4.55191440096e-15+0j),(-2.88657986403e-15-1.04916075827e-14j),(-2.88657986403e-15+1.04916075827e-14j),(1.42663658664e-14+0j),(1.18793863635e-14+0j),(-7.54951656745e-15+0j),(7.49400541622e-15-4.77395900589e-15j),(7.49400541622e-15+4.77395900589e-15j),(-8.32667268469e-16-4.85722573274e-16j),(-8.32667268469e-16+4.85722573274e-16j),(-1.72084568817e-15-2.96984659087e-15j),(-1.72084568817e-15+2.96984659087e-15j),(-3.49720252757e-15+0j),(-3.46944695195e-15+4.59354776439e-15j),(-3.46944695195e-15-4.59354776439e-15j),(1.38777878078e-15+1.39992184511e-15j),(1.38777878078e-15-1.39992184511e-15j)
(-14.0097230016+0j),(20.3791871798+0j),(-6.4163886994+0j),(-3.4162566293+0j),(-1.89494283844+0j),(-7.38013969815+0j),(-4.83175388422+0j),(-5.17040115638+0j),(-4.04547682293+0j),(-3.37899917351+0j),(-3.68608883631+0j),(-0.0305956038628+0j),(-4.33495675758+0j),(-6.1186174024+0j),(2.71026491984+0j),(0.572231272446+0j),(-0.96932492454+0j),(-1.41215140627+0j),(2.02106931214+0j),(1.352501486+0j),(-1.99098374585+0j),(-2.60763673791+0j),(1.18927320341+0j),(0.505236786885+0j),(-0.473076042727+0j),(-1.56281087184+0j),(0.775038590459+0j),(-5.04770382662+0j),(-0.601334846542+0j),(2.00336542968+0j),(-1.76453439681+0j),(0.313900285139+0j),(2.41820084846+0j),(-1.9296958059+0j),(-0.182211424337+0j),(0.772574672816+0j),(1.25729661288+0j),(-0.274591618571+0j),(-0.277335340836+0j),(0.958920800179+0j),(0.499750724618+0j),(0.0986495211696+0j),(-0.120963473618+0j),(0.145663752099+0j),(0.0379224469052+0j),(0.0585648920374+0j),(0.00526214559139+0j),(-1.1768364061e-14+0j),(5.77315972805e-15+0j),(2.41751063612e-14+1.03805852802e-14j),(2.41751063612e-14-1.03805852802e-14j),(3.15303338994e-14+0j),(9.68669588985e-15-1.38777878078e-15j),(9.68669588985e-15+1.38777878078e-15j),(1.54251611484e-14+1.91513471748e-15j),(1.54251611484e-14-1.91513471748e-15j),(1.94844140822e-14+2.37310171514e-15j),(1.94844140822e-14-2.37310171514e-15j),(-1.66533453694e-15+0j),(-1.24344978758e-14-4.4408920985e-15j),(-1.24344978758e-14+4.4408920985e-15j),(1.65978342181e-14+0j),(1.12132525487e-14+0j),(-8.10462807976e-15+0j),(1.23234755733e-14-7.77156117238e-16j),(1.23234755733e-14+7.77156117238e-16j),(-9.89486270697e-15-1.70696790036e-15j),(-9.89486270697e-15+1.70696790036e-15j),(-7.66053886991e-15+2.02615701994e-15j),(-7.66053886991e-15-2.02615701994e-15j),(-5.10702591328e-15+0j),(-5.52335954751e-15+5.66213742559e-15j),(-5.52335954751e-15-5.66213742559e-15j),(5.55111512313e-15+1.13624387676e-15j),(5.55111512313e-15-1.13624387676e-15j)
(-38.6368974424+0j),(-3.41989221204+0j),(-4.18437569293+0j),(-5.46790614897+0j),(5.04829127022+0j),(5.40106749483+0j),(5.74247464384+0j),(-1.67983389254+0j),(-0.94005472759+0j),(2.2188194828+0j),(2.37449044643+0j),(5.34553921182+0j),(-0.332869355002+0j),(-4.53689872368+0j),(5.20007297553+0j),(2.26654878857+0j),(-0.549236709983+0j),(2.11806958354+0j),(-0.788090137405+0j),(1.93929498613+0j),(4.31881191872+0j),(-0.561992897759+0j),(3.17567193119+0j),(-0.727913015567+0j),(-0.629737434196+0j),(0.278804054151+0j),(0.127285953957+0j),(-0.17606858652+0j),(-0.752481288364+0j),(-1.63287206297+0j),(1.60042005829+0j),(-0.435454663457+0j),(1.05696657844+0j),(0.00729748028085+0j),(-2.26581922694+0j),(0.905204463905+0j),(-2.55043945701+0j),(-0.230713590429+0j),(-0.438902729697+0j),(0.774174369076+0j),(-1.12481879644+0j),(-0.635049200559+0j),(-0.531835378295+0j),(-0.0551335994066+0j),(0.0475551018437+0j),(0.687541214642+0j),(0.00722679766622+0j),(-5.77315972805e-15+0j),(2.84217094304e-14+0j),(2.79776202206e-14+2.28705943073e-14j),(2.79776202206e-14-2.28705943073e-14j),(5.55111512313e-15+0j),(1.93733917797e-14+5.55111512313e-15j),(1.93733917797e-14-5.55111512313e-15j),(-5.19723153403e-15+1.33226762955e-15j),(-5.19723153403e-15-1.33226762955e-15j),(2.77555756156e-15-2.16493489802e-15j),(2.77555756156e-15+2.16493489802e-15j),(-6.66133814775e-15+0j),(-3.5527136788e-15-7.28930804605e-15j),(-3.5527136788e-15+7.28930804605e-15j),(3.99680288865e-15+0j),(7.24420523568e-15+0j),(2.35922392733e-15+0j),(-5.27355936697e-15-5.19029264012e-15j),(-5.27355936697e-15+5.19029264012e-15j),(-1.49880108324e-15+0j),(-1.49880108324e-15+0j),(-8.99280649946e-15+2.22044604925e-16j),(-8.99280649946e-15-2.22044604925e-16j),(-2.27595720048e-15+0j),(3.17801340799e-15+3.83026943496e-15j),(3.17801340799e-15-3.83026943496e-15j),(4.05231403988e-15+3.81639164715e-16j),(4.05231403988e-15-3.81639164715e-16j)
(-37.0368214828+0j),(2.81222610762+0j),(-7.2573412988+0j),(-10.1245785+0j),(6.31558555538+0j),(6.51405812195+0j),(-2.43623978204+0j),(2.96513037414+0j),(-0.341250437282+0j),(7.46702911658+0j),(-1.49069749534+0j),(6.26175868398+0j),(1.67106853106+0j),(-4.73541270736+0j),(-1.76731507493+0j),(-3.47516993582+0j),(0.384260383823+0j),(-5.26647064841+0j),(-2.94516441663+0j),(-3.00681727341+0j),(-3.1193344518+0j),(0.562880839739+0j),(-4.0435765249+0j),(-0.647611001268+0j),(-0.0888013657796+0j),(0.484418516899+0j),(-0.0895759050383+0j),(0.0639010526418+0j),(-0.452390563907+0j),(2.57701116181+0j),(0.0461316118478+0j),(-0.230056737101+0j),(-0.435905365658+0j),(-0.571971589829+0j),(-0.204285983182+0j),(-1.24827680539+0j),(-0.47891012602+0j),(0.586242886732+0j),(-1.04891114296+0j),(-0.203930749636+0j),(-1.36969883813+0j),(0.297902061272+0j),(-0.244011634765+0j),(0.223722794027+0j),(-0.765612868253+0j),(-0.0344332780276+0j),(-0.0810300083655+0j),(7.54951656745e-15+0j),(7.32747196253e-15+0j),(6.38378239159e-15-1.62092561595e-14j),(6.38378239159e-15+1.62092561595e-14j),(-3.61932706028e-14+0j),(9.10382880193e-15-1.1990408666e-14j),(9.10382880193e-15+1.1990408666e-14j),(-1.4155343564e-14+2.44249065418e-15j),(-1.4155343564e-14-2.44249065418e-15j),(-1.14352971536e-14-8.27116153346e-15j),(-1.14352971536e-14+8.27116153346e-15j),(6.2172489379e-15+0j),(3.99680288865e-15+5.77315972805e-15j),(3.99680288865e-15-5.77315972805e-15j),(-1.66533453694e-15+0j),(4.4408920985e-16+0j),(-1.72639680329e-14+0j),(2.27595720048e-15-8.79851747015e-15j),(2.27595720048e-15+8.79851747015e-15j),(1.11022302463e-14+1.44328993201e-15j),(1.11022302463e-14-1.44328993201e-15j),(-2.16493489802e-15-3.69149155688e-15j),(-2.16493489802e-15+3.69149155688e-15j),(2.22044604925e-16+0j),(1.27675647832e-15+2.56739074445e-15j),(1.27675647832e-15-2.56739074445e-15j),(1.7763568394e-15+1.36696209907e-15j),(1.7763568394e-15-1.36696209907e-15j)
(-39.4635432145+0j),(-9.03640758466+0j),(2.51033657448+0j),(-0.00780803491682+0j),(5.16549185722+0j),(2.74734576519+0j),(10.1112042443+0j),(-6.19612674485+0j),(-4.52813919913+0j),(-2.90803261044+0j),(-0.394608665249+0j),(-0.652209053228+0j),(-0.089728462528+0j),(-0.726384906016+0j),(-1.55375260995+0j),(2.90104231923+0j),(0.226422540259+0j),(-0.31094888431+0j),(-2.11529301776+0j),(-0.278185473298+0j),(-2.42518197817+0j),(0.732647839874+0j),(-0.0065692051555+0j),(-0.876614615039+0j),(-1.63170816913+0j),(0.959542835975+0j),(-0.304597897129+0j),(-0.287545782396+0j),(0.886530280941+0j),(-0.231153756495+0j),(-0.605923032605+0j),(0.115279979192+0j),(0.222183665003+0j),(-0.407011729514+0j),(-0.712775364301+0j),(-1.20684512859+0j),(-0.459892597786+0j),(-0.607080072023+0j),(-0.334725268125+0j),(-0.371508083212+0j),(0.721380399639+0j),(1.13649319178+0j),(1.66199756475+0j),(-1.54974910992+0j),(-0.024388321262+0j),(0.457623165833+0j),(0.144027062657+0j),(5.6399329651e-14+0j),(3.99680288865e-14+0j),(4.32986979604e-15+2.25375273999e-14j),(4.32986979604e-15-2.25375273999e-14j),(-2.50910403565e-14+0j),(-8.07687250415e-15+7.54951656745e-15j),(-8.07687250415e-15-7.54951656745e-15j),(-3.0184188482e-15+1.99840144433e-15j),(-3.0184188482e-15-1.99840144433e-15j),(-7.21644966006e-15+4.21884749358e-15j),(-7.21644966006e-15-4.21884749358e-15j),(9.99200722163e-15+0j),(2.22044604925e-15-7.43849426499e-15j),(2.22044604925e-15+7.43849426499e-15j),(-3.21964677141e-15+0j),(-9.99200722163e-16+0j),(-1.98729921408e-14+0j),(-2.83106871279e-15-1.16018306073e-14j),(-2.83106871279e-15+1.16018306073e-14j),(1.40998324127e-14+3.42781358853e-15j),(1.40998324127e-14-3.42781358853e-15j),(7.1054273576e-15-5.10702591328e-15j),(7.1054273576e-15+5.10702591328e-15j),(-6.96664947952e-15+0j),(1.09912079438e-14-9.02056207508e-16j),(1.09912079438e-14+9.02056207508e-16j),(-5.10702591328e-15-2.44942954808e-15j),(-5.10702591328e-15+2.44942954808e-15j)
(-1.67759098379+0j),(23.8610084462+0j),(-4.54122222639+0j),(5.61375152988+0j),(-2.17924102044+0j),(-5.83824753218+0j),(1.74686530182+0j),(0.111265342304+0j),(-1.63631330472+0j),(1.06151071023+0j),(3.90044426722+0j),(1.89016814119+0j),(3.37493165701+0j),(4.80117868485+0j),(2.11100161853+0j),(1.6743394694+0j),(3.74618612693+0j),(1.21547486258+0j),(-3.38227235989+0j),(-1.54883862763+0j),(1.6144650093+0j),(0.406475200862+0j),(-1.05042480317+0j),(0.573719490128+0j),(-1.95257770885+0j),(-0.560617539087+0j),(0.121555991036+0j),(-1.12241721637+0j),(0.221667333025+0j),(1.38757213975+0j),(-0.118970468422+0j),(-0.983837657981+0j),(0.0291558416649+0j),(-0.519733911542+0j),(-0.195306711617+0j),(-1.61062272913+0j),(0.414380941076+0j),(-1.98986356198+0j),(1.5233960148+0j),(-0.203271974036+0j),(-0.670478639407+0j),(0.32016583623+0j),(-1.4676502063+0j),(-0.89304792631+0j),(0.56729748841+0j),(-0.445656227259+0j),(-0.313006957451+0j),(7.88258347484e-15+0j),(-2.74225087082e-14+0j),(-3.92463839205e-14+1.26010313295e-14j),(-3.92463839205e-14-1.26010313295e-14j),(-1.55431223448e-15+0j),(-6.43929354283e-15-3.27515792264e-15j),(-6.43929354283e-15+3.27515792264e-15j),(4.65599780952e-15-8.32667268469e-17j),(4.65599780952e-15+8.32667268469e-17j),(1.36002320517e-14-8.1740170188e-15j),(1.36002320517e-14+8.1740170188e-15j),(-1.04916075827e-14+0j),(-5.66213742559e-15+2.53408405371e-14j),(-5.66213742559e-15-2.53408405371e-14j),(1.34892097492e-14+0j),(1.21569421196e-14+0j),(5.21804821574e-15+0j),(-1.27675647832e-15+1.9567680809e-14j),(-1.27675647832e-15-1.9567680809e-14j),(-1.11022302463e-16+8.881784197e-16j),(-1.11022302463e-16-8.881784197e-16j),(1.35447209004e-14+1.285083151e-14j),(1.35447209004e-14-1.285083151e-14j),(3.27515792264e-15+0j),(-4.10782519111e-15-3.0253577421e-15j),(-4.10782519111e-15+3.0253577421e-15j),(4.10782519111e-15+3.3219954565e-16j),(4.10782519111e-15-3.3219954565e-16j)
(4.53490593998+0j),(20.4538939353+0j),(-1.80946300533+0j),(9.34208645157+0j),(5.89583337406+0j),(-2.8539530993+0j),(5.0187603141+0j),(0.286683777663+0j),(6.06350069295+0j),(0.665733341344+0j),(4.51505959394+0j),(0.220846566351+0j),(1.62650552206+0j),(-3.9362643864+0j),(-5.75937967773+0j),(-1.86027603121+0j),(-8.17375051987+0j),(1.25133272363+0j),(-0.538236443688+0j),(0.747840115685+0j),(-0.239447298644+0j),(-1.25311042605+0j),(-2.18251114846+0j),(-0.911297057837+0j),(0.809213842303+0j),(-2.6795417758+0j),(-2.06065342028+0j),(0.122286203111+0j),(-0.342657481005+0j),(-1.39587676329+0j),(-0.257470132386+0j),(0.944896550815+0j),(0.24586120006+0j),(0.444096368867+0j),(1.96660644688+0j),(0.742266193182+0j),(-1.68628967762+0j),(-0.33479059552+0j),(-0.32521153304+0j),(0.830547788727+0j),(0.410366617658+0j),(0.920344403922+0j),(-0.65083678719+0j),(-0.222920786448+0j),(0.328881941189+0j),(-0.229267990607+0j),(0.145574156336+0j),(-1.84297022088e-14+0j),(1.64313007645e-14+0j),(2.07334149849e-14+1.0325074129e-14j),(2.07334149849e-14-1.0325074129e-14j),(2.91988655476e-14+0j),(2.23432383706e-14+2.22044604925e-15j),(2.23432383706e-14-2.22044604925e-15j),(-1.07552855511e-15-3.24740234703e-15j),(-1.07552855511e-15+3.24740234703e-15j),(5.21804821574e-15-6.9250161161e-15j),(5.21804821574e-15+6.9250161161e-15j),(-5.16253706451e-15+0j),(-4.66293670343e-15+3.83026943496e-15j),(-4.66293670343e-15-3.83026943496e-15j),(9.9364960704e-15+0j),(1.2490009027e-14+0j),(4.55191440096e-15+0j),(7.38298311376e-15-2.74780198595e-15j),(7.38298311376e-15+2.74780198595e-15j),(-5.62050406216e-15+9.57567358739e-16j),(-5.62050406216e-15-9.57567358739e-16j),(-4.71844785466e-15-1.2490009027e-15j),(-4.71844785466e-15+1.2490009027e-15j),(3.44169137634e-15+0j),(-3.66373598126e-15+8.00748356511e-15j),(-3.66373598126e-15-8.00748356511e-15j),(5.66213742559e-15+1.06685493773e-15j),(5.66213742559e-15-1.06685493773e-15j)
(-21.152999522+0j),(10.4645454097+0j),(-12.1367318304+0j),(-5.98506705385+0j),(3.63476550006+0j),(-1.05381761905+0j),(-6.87677406553+0j),(2.5305012121+0j),(-3.93307982876+0j),(-1.75124667848+0j),(-3.4274217808+0j),(-5.05798871734+0j),(0.324046806008+0j),(5.32584922172+0j),(1.86358627245+0j),(2.69431561467+0j),(-1.76549701498+0j),(4.08237110156+0j),(3.99963553953+0j),(-0.16617264351+0j),(0.100058109246+0j),(2.71242504932+0j),(-5.54894563117+0j),(-0.961274950255+0j),(-2.00646172312+0j),(1.23426137884+0j),(-4.39875588105+0j),(1.03959324052+0j),(-1.3421114643+0j),(0.4161025681+0j),(0.920772284211+0j),(1.22340034266+0j),(1.1460993637+0j),(-1.43038260987+0j),(-0.780586197646+0j),(1.26682230801+0j),(-0.470471374998+0j),(0.175828810236+0j),(-0.0243779722287+0j),(-0.35179250455+0j),(-0.295217366212+0j),(-0.0565367783978+0j),(0.218170677391+0j),(0.0545869375362+0j),(-0.000853286279936+0j),(0.0819556247557+0j),(-0.00045449660556+0j),(-2.74225087082e-14+0j),(5.92303983638e-14+0j),(3.06976666309e-14+1.54321000423e-14j),(3.06976666309e-14-1.54321000423e-14j),(-9.68669588985e-15+0j),(1.23234755733e-14+8.881784197e-16j),(1.23234755733e-14-8.881784197e-16j),(4.60742555219e-15+3.0253577421e-15j),(4.60742555219e-15-3.0253577421e-15j),(-4.4408920985e-15+4.59354776439e-15j),(-4.4408920985e-15-4.59354776439e-15j),(-6.43929354283e-15+0j),(1.26565424807e-14-1.26842980563e-14j),(1.26565424807e-14+1.26842980563e-14j),(3.66373598126e-15+0j),(5.88418203051e-15+0j),(-1.01307850997e-14+0j),(-4.27435864481e-15-9.47852907274e-15j),(-4.27435864481e-15+9.47852907274e-15j),(1.59872115546e-14+2.65586164172e-15j),(1.59872115546e-14-2.65586164172e-15j),(-5.5094817597e-15-1.02869102125e-14j),(-5.5094817597e-15+1.02869102125e-14j),(1.29063426613e-15+0j),(8.881784197e-16-1.60982338571e-15j),(8.881784197e-16+1.60982338571e-15j),(-4.01761957036e-15+2.10942374679e-15j),(-4.01761957036e-15-2.10942374679e-15j)
