(58.5869558766+0j),(-23.4652100264+0j),(-9.12213382923+0j),(6.87479299054+0j),(5.19195649558+0j),(-11.6769205798+0j),(7.82426793743+0j),(-0.814317381299+0j),(-2.17061715297+0j),(-1.4224022632+0j),(5.77135867737+0j),(-2.48025113383+0j),(0.240318766301+0j),(10.7268085996+0j),(-2.95984966488+0j),(-10.9789015338+0j),(0.762949924579+0j),(4.38780978755+0j),(-0.644999182228+0j),(2.21691351706+0j),(-3.7336974159+0j),(0.182043009335+0j),(-1.79423234513+0j),(2.06943403872+0j),(-1.32250759006+0j),(-0.776460341031+0j),(0.0394522219138+0j),(0.265473326871+0j),(-0.0865548371062+0j),(0.351124811257+0j),(0.493930354899+0j),(0.236267235401+0j),(0.468082853116+0j),(-0.271314837493+0j),(-0.15624758752+0j),(0.0848439064434+0j),(0.168281079345+0j),(0.18234189571+0j),(0.0377427437877+0j),(-0.0252977914976+0j),(-0.107058984828+0j),(0.0243642086699+0j),(0.00838923180669+0j),(-0.0562603500783+0j),(-0.0379827989678+0j),(-0.00818912097586+0j),(-0.0325343531761+0j),(-1.75415237891e-14+0j),(-1.40998324127e-14+0j),(8.881784197e-16-8.95117313604e-16j),(8.881784197e-16+8.95117313604e-16j),(1.44328993201e-14+0j),(7.54951656745e-15+0j),(-8.881784197e-16+0j),(4.4408920985e-16+0j),(-1.68337566109e-14+0j),(6.99440505514e-15+5.55111512313e-15j),(6.99440505514e-15-5.55111512313e-15j),(9.10382880193e-15+6.88338275268e-15j),(9.10382880193e-15-6.88338275268e-15j),(5.10702591328e-15+0j),(-1.73194791842e-14+0j),(6.55031584529e-15-5.88418203051e-15j),(6.55031584529e-15+5.88418203051e-15j),(1.0325074129e-14-5.27355936697e-15j),(1.0325074129e-14+5.27355936697e-15j),(3.71924713249e-15-2.88657986403e-15j),(3.71924713249e-15+2.88657986403e-15j),(-3.94129173742e-15-9.90874049478e-15j),(-3.94129173742e-15+9.90874049478e-15j),(2.88657986403e-15+0j),(8.881784197e-16+0j),(9.99200722163e-15-3.66373598126e-15j),(9.99200722163e-15+3.66373598126e-15j),(8.27116153346e-15-1.66533453694e-15j)
(46.4238830029+0j),(-0.768734108814+0j),(6.47860911872+0j),(-7.07771808626+0j),(5.72331766008+0j),(-8.11072616425+0j),(-6.25608993272+0j),(-1.94208115728+0j),(2.50438023294+0j),(-1.58938353214+0j),(-6.75638201096+0j),(-3.04636788749+0j),(6.43385587758+0j),(-1.19004952907+0j),(-7.55856200796+0j),(1.44165906871+0j),(-1.2948554357+0j),(2.03609059527+0j),(3.5037893545+0j),(2.19261315962+0j),(-0.0464156879984+0j),(-0.618494079042+0j),(0.61496547118+0j),(-1.59972366223+0j),(-0.885470999686+0j),(2.08819375068+0j),(0.47417762822+0j),(-0.621999924743+0j),(0.243491257414+0j),(-1.00742914998+0j),(-0.0453979147329+0j),(1.28650348348+0j),(0.281779648469+0j),(0.86119902389+0j),(1.82953044597+0j),(-1.63648106779+0j),(0.804020420929+0j),(-0.403712843249+0j),(0.813787677341+0j),(0.759472718573+0j),(-0.1074310174+0j),(-0.422514540191+0j),(0.330687711152+0j),(0.536102049209+0j),(-0.568681646968+0j),(0.256040224934+0j),(-0.443151166281+0j),(-1.67921232475e-14+0j),(-4.1522341121e-14+0j),(-7.51620987671e-14-1.70696790036e-15j),(-7.51620987671e-14+1.70696790036e-15j),(7.34655392076e-15+0j),(-2.72004641033e-15+0j),(1.01030295241e-14+0j),(-1.48214773787e-14+0j),(2.32036612147e-14+0j),(-3.3723024373e-14+6.2241878318e-15j),(-3.3723024373e-14-6.2241878318e-15j),(-1.74305014866e-14+1.32671651443e-14j),(-1.74305014866e-14-1.32671651443e-14j),(6.32827124036e-15+0j),(-1.55431223448e-14+0j),(2.18436380095e-14+1.10189635194e-14j),(2.18436380095e-14-1.10189635194e-14j),(7.40379979547e-15+2.27630414518e-14j),(7.40379979547e-15-2.27630414518e-14j),(1.91513471748e-14+1.75137682135e-14j),(1.91513471748e-14-1.75137682135e-14j),(1.84401105496e-14+1.66672231572e-14j),(1.84401105496e-14-1.66672231572e-14j),(4.8017145815e-15+0j),(-1.7763568394e-15+0j),(-6.82787160144e-15+1.12514164652e-14j),(-6.82787160144e-15-1.12514164652e-14j),(-2.81719092499e-15-4.19456136491e-15j)
(41.2135324635+0j),(5.52520537029+0j),(9.57434814629+0j),(-6.14976539601+0j),(1.21733919694+0j),(1.94449573872+0j),(-9.51788046169+0j),(-2.37808144609+0j),(-0.798071984037+0j),(-2.17708984245+0j),(-1.54712891341+0j),(2.35063632427+0j),(-0.357716273618+0j),(5.02217941894+0j),(-0.230830536581+0j),(-1.92903646925+0j),(-0.41324118344+0j),(-2.12520589263+0j),(0.576555636964+0j),(-3.43705239815+0j),(3.71237960112+0j),(4.31711776954+0j),(-0.406676532231+0j),(-0.213115967517+0j),(-2.24568702794+0j),(-2.10986422001+0j),(-0.0482857577687+0j),(-0.679159892162+0j),(1.02847330873+0j),(-0.0946722190515+0j),(0.769672925543+0j),(-0.576309225281+0j),(-0.933690175362+0j),(-0.45378502233+0j),(-0.144290436257+0j),(-0.0653749796824+0j),(0.441115833334+0j),(-0.29055833154+0j),(-0.894667627344+0j),(0.343471831578+0j),(0.0586774687487+0j),(-0.141483340567+0j),(0.0521053881164+0j),(0.309732717329+0j),(0.161498787072+0j),(1.26911101808+0j),(0.72636202005+0j),(-1.88182802674e-14+0j),(-6.08402217495e-14+0j),(-1.4155343564e-14+1.81382686648e-14j),(-1.4155343564e-14-1.81382686648e-14j),(-4.80310236028e-14+0j),(-6.12843109593e-14+0j),(-2.86437540353e-14+0j),(4.17443857259e-14+0j),(-8.99280649946e-15+0j),(-6.20059559253e-14+4.60048665829e-15j),(-6.20059559253e-14-4.60048665829e-15j),(-3.68160363307e-14+2.16493489802e-14j),(-3.68160363307e-14-2.16493489802e-14j),(-3.95100618888e-14+0j),(8.27116153346e-15+0j),(2.55351295664e-15-3.56659146661e-15j),(2.55351295664e-15+3.56659146661e-15j),(3.08086889333e-15-1.6681100945e-14j),(3.08086889333e-15+1.6681100945e-14j),(4.27435864481e-15-8.68749516769e-15j),(4.27435864481e-15+8.68749516769e-15j),(-1.45439216226e-14-1.51545442861e-14j),(-1.45439216226e-14+1.51545442861e-14j),(-8.32667268469e-16+0j),(-1.07691633389e-14+0j),(4.60742555219e-15-1.21430643318e-14j),(4.60742555219e-15+1.21430643318e-14j),(3.76088049592e-15+2.47024622979e-15j)
(41.0676887903+0j),(6.14359899497+0j),(9.91528475415+0j),(-5.09318600002+0j),(1.85031651441+0j),(1.52561329164+0j),(-9.94214594365+0j),(-2.18573738109+0j),(-2.21681073755+0j),(-2.38252266667+0j),(-2.41658479519+0j),(1.3013473247+0j),(-1.09222720323+0j),(4.31266217058+0j),(-0.446760528962+0j),(-2.15427310738+0j),(-0.872374614521+0j),(-2.06356885726+0j),(0.422822795405+0j),(-2.79267703968+0j),(4.75951314529+0j),(3.75907928723+0j),(-0.294105024843+0j),(-0.545973568064+0j),(-1.33671834196+0j),(-1.86442748905+0j),(0.451391415301+0j),(0.153306445444+0j),(0.910132453162+0j),(-0.821806611821+0j),(0.744264345432+0j),(-0.43909378154+0j),(-0.606741976355+0j),(-0.313662507869+0j),(-0.239879944004+0j),(0.413778160878+0j),(0.282113301992+0j),(0.566392476095+0j),(0.351042415847+0j),(-0.317720963287+0j),(0.00942381368498+0j),(0.256663947241+0j),(-0.114428922809+0j),(-0.310818300327+0j),(-0.13964221877+0j),(-1.39522812514+0j),(-0.703302429695+0j),(1.3433698598e-14+0j),(2.14828155265e-14+0j),(-1.6320278462e-14-2.08166817117e-14j),(-1.6320278462e-14+2.08166817117e-14j),(5.4373172631e-14+0j),(1.49880108324e-14+0j),(2.87547763378e-14+0j),(-3.0975222387e-14+0j),(-2.05391259556e-14+0j),(6.66688926287e-14+1.78884684843e-14j),(6.66688926287e-14-1.78884684843e-14j),(2.29920249506e-14-1.52100554374e-14j),(2.29920249506e-14+1.52100554374e-14j),(7.32747196253e-15+0j),(-1.42663658664e-14+0j),(2.07472927727e-15-4.91273688397e-15j),(2.07472927727e-15+4.91273688397e-15j),(-1.66533453694e-14+9.27036225562e-15j),(-1.66533453694e-14-9.27036225562e-15j),(-5.28743715478e-15-6.28663787694e-15j),(-5.28743715478e-15+6.28663787694e-15j),(5.30131494259e-15+2.72282196789e-14j),(5.30131494259e-15-2.72282196789e-14j),(-1.36557432029e-14+0j),(2.58681964738e-14+0j),(-1.33781874467e-14+6.94583279781e-15j),(-1.33781874467e-14-6.94583279781e-15j),(1.01446628875e-14-4.64905891562e-15j)
(-28.4973524789+0j),(8.30085187275+0j),(-10.4528696549+0j),(6.11796294357+0j),(8.8000202183+0j),(-0.472186513874+0j),(-0.655680468019+0j),(5.89628338434+0j),(-0.124928071536+0j),(3.95352977283+0j),(-1.18130652268+0j),(-0.366659626593+0j),(2.9793165982+0j),(7.454059283+0j),(-3.3121645205+0j),(0.27795479659+0j),(1.00930966784+0j),(-5.09715039863+0j),(0.364143931969+0j),(-2.22432810987+0j),(2.75721791818+0j),(-4.77899928006+0j),(0.115079995431+0j),(0.0143478804234+0j),(-0.246055380415+0j),(1.49343433264+0j),(-0.128940514306+0j),(2.51496233371+0j),(-0.410352528061+0j),(-0.0438864580778+0j),(-1.54389271263+0j),(1.05516380313+0j),(-1.01496195014+0j),(-0.0536484698937+0j),(0.163099067729+0j),(-0.00412984998486+0j),(-0.720787036336+0j),(-0.45256798006+0j),(0.940468425628+0j),(0.283885935585+0j),(0.692180496721+0j),(-0.534091871289+0j),(0.350501384286+0j),(0.289568258865+0j),(1.07270205826+0j),(-0.301934366703+0j),(0.347515828718+0j),(-2.39808173319e-14+0j),(1.20459198172e-13+0j),(7.14983627859e-14-9.18102399661e-15j),(7.14983627859e-14+9.18102399661e-15j),(-5.99520433298e-15+0j),(2.35922392733e-14+0j),(-5.09037256791e-14+0j),(5.32351940308e-14+0j),(-3.05311331772e-15+0j),(-5.21804821574e-15-2.07611705605e-14j),(-5.21804821574e-15+2.07611705605e-14j),(-5.92408067046e-15-1.04638520071e-14j),(-5.92408067046e-15+1.04638520071e-14j),(-3.14193115969e-14+0j),(1.84019466332e-14+0j),(-2.90878432452e-14-5.05151476204e-15j),(-2.90878432452e-14+5.05151476204e-15j),(-3.88578058619e-15-2.51465515078e-14j),(-3.88578058619e-15+2.51465515078e-14j),(-1.81799020282e-14-7.93809462607e-15j),(-1.81799020282e-14+7.93809462607e-15j),(-2.46747067223e-14-1.93178806285e-14j),(-2.46747067223e-14+1.93178806285e-14j),(2.31203944878e-14+0j),(-8.38218383592e-15+0j),(1.09183495578e-14-2.02060590482e-14j),(1.09183495578e-14+2.02060590482e-14j),(4.66293670343e-15+6.89379109353e-15j)
(-15.9102166767+0j),(18.0592765109+0j),(-12.1078244035+0j),(11.9234835455+0j),(-6.39287053751+0j),(-8.78032322372+0j),(-2.47350087148+0j),(-6.57916571972+0j),(3.23510208607+0j),(6.50023926762+0j),(0.366564492324+0j),(-2.17829280064+0j),(-1.71439095915+0j),(2.93593138957+0j),(-0.256353880248+0j),(0.568517076271+0j),(-1.81529209387+0j),(-1.99841553085+0j),(1.05429676152+0j),(-0.687215828906+0j),(0.772792690615+0j),(0.100767581663+0j),(0.263373923648+0j),(0.355711898849+0j),(1.12561125526+0j),(-0.339792424397+0j),(0.794256233891+0j),(-0.419988285379+0j),(-0.55709480504+0j),(0.803145108139+0j),(-1.31723024106+0j),(-0.811347669459+0j),(-0.821083970004+0j),(0.480251248158+0j),(0.84652917461+0j),(-2.39501371427+0j),(-2.06382209904+0j),(1.30811877668+0j),(-1.02381413474+0j),(-0.0379120826534+0j),(-1.0710960375+0j),(-0.330197837454+0j),(-0.589682960671+0j),(-0.582335142795+0j),(-0.378367464359+0j),(-0.0423342711663+0j),(0.102730034063+0j),(1.8124390877e-14+0j),(-4.52901605108e-14+0j),(-1.85407245112e-14+1.18099974245e-14j),(-1.85407245112e-14-1.18099974245e-14j),(-2.84772205816e-14+0j),(3.71924713249e-14+0j),(-2.11497486191e-14+0j),(2.1371793224e-14+0j),(3.24185123191e-14+0j),(-1.4155343564e-15-1.01862962509e-14j),(-1.4155343564e-15+1.01862962509e-14j),(2.28983498829e-14-1.22124532709e-15j),(2.28983498829e-14+1.22124532709e-15j),(4.04121180964e-14+0j),(-4.77395900589e-15+0j),(8.99280649946e-15+6.2172489379e-15j),(8.99280649946e-15-6.2172489379e-15j),(-4.05231403988e-15+9.70057367766e-15j),(-4.05231403988e-15-9.70057367766e-15j),(6.38378239159e-15+8.27116153346e-15j),(6.38378239159e-15-8.27116153346e-15j),(6.10622663544e-16+1.46965772885e-14j),(6.10622663544e-16-1.46965772885e-14j),(7.77156117238e-16+0j),(3.16413562018e-15+0j),(-1.47104550763e-15+2.58126853225e-15j),(-1.47104550763e-15-2.58126853225e-15j),(-3.52148865623e-15+2.44249065418e-15j)
(-18.3904547458+0j),(19.0584216519+0j),(-14.3334945267+0j),(9.55831854471+0j),(-5.17529281419+0j),(-12.9388607327+0j),(-2.71346695471+0j),(-4.92513707626+0j),(-0.161530244935+0j),(1.40424862974+0j),(0.0582469162724+0j),(-1.09963709845+0j),(-4.66963182699+0j),(-0.971793457015+0j),(-0.764362099322+0j),(1.35525886527+0j),(-4.04187949611+0j),(-1.07949355595+0j),(1.95785098682+0j),(-1.65597783804+0j),(0.758730361505+0j),(-0.786241288228+0j),(1.63020580998+0j),(0.949531743366+0j),(0.355643123577+0j),(-2.50106829848+0j),(-0.525059566583+0j),(0.859110858474+0j),(-1.13580618336+0j),(2.04615459515+0j),(-0.0662698537506+0j),(1.18751422093+0j),(2.17973131379+0j),(0.310384471042+0j),(-0.376833656615+0j),(1.03842050235+0j),(0.867085462104+0j),(1.01736247212+0j),(0.211235933526+0j),(-0.982830205049+0j),(0.461795420949+0j),(0.658448184427+0j),(0.122994228633+0j),(1.1580008503+0j),(0.120430383155+0j),(0.390164754751+0j),(-0.469620997407+0j),(-5.19029264012e-14+0j),(-8.97892871166e-14+0j),(-9.53681578153e-14+4.23272528138e-16j),(-9.53681578153e-14-4.23272528138e-16j),(-1.42386102908e-14+0j),(2.72004641033e-14+0j),(3.46944695195e-14+0j),(-5.02931030155e-14+0j),(-4.16333634234e-15+0j),(-1.36557432029e-14+2.83106871279e-15j),(-1.36557432029e-14-2.83106871279e-15j),(-2.86159984597e-14+1.55431223448e-14j),(-2.86159984597e-14-1.55431223448e-14j),(-4.88498130835e-14+0j),(1.20459198172e-14+0j),(5.10702591328e-15+1.66533453694e-14j),(5.10702591328e-15-1.66533453694e-14j),(7.04991620637e-15+7.99707522425e-15j),(7.04991620637e-15-7.99707522425e-15j),(9.38138455808e-15+1.72917236085e-14j),(9.38138455808e-15-1.72917236085e-14j),(5.66213742559e-15-3.35842464949e-15j),(5.66213742559e-15+3.35842464949e-15j),(1.58761892521e-14+0j),(-1.08107967023e-14+0j),(4.24660306919e-15-1.38777878078e-16j),(4.24660306919e-15+1.38777878078e-16j),(-6.03336824945e-15+3.52495810318e-15j)
(30.7001590499+0j),(17.3673417276+0j),(15.0724828994+0j),(2.81940864542+0j),(0.345339884696+0j),(1.66935874635+0j),(3.92859893718+0j),(-0.20915829013+0j),(-4.21956368422+0j),(5.13831763381+0j),(-1.23606629258+0j),(-4.48228729892+0j),(-8.06492756986+0j),(0.894189597133+0j),(-3.15246873515+0j),(1.86854447984+0j),(-0.0512809403725+0j),(-1.19117693586+0j),(-2.49066311401+0j),(-0.874803990606+0j),(-3.98713689855+0j),(-3.05355458869+0j),(1.45998465801+0j),(-1.79868365933+0j),(-0.570118002888+0j),(-2.28799816536+0j),(1.63078618698+0j),(-0.338366892374+0j),(2.51278208514+0j),(-3.82913601081+0j),(0.686863418351+0j),(-1.67258539133+0j),(1.05843472862+0j),(2.29786115572+0j),(-0.00147974793226+0j),(0.637064796249+0j),(-0.41059826511+0j),(-0.214763816307+0j),(0.131607737686+0j),(0.292784545696+0j),(0.17708961448+0j),(0.0141316006254+0j),(-0.150753611384+0j),(0.0574720274243+0j),(0.0313039907511+0j),(0.0680898685355+0j),(0.0580003689591+0j),(-5.20417042793e-14+0j),(-1.94289029309e-15+0j),(5.30686605771e-14+8.3544282603e-15j),(5.30686605771e-14-8.3544282603e-15j),(-7.21644966006e-15+0j),(-6.97220059465e-14+0j),(-9.27036225562e-15+0j),(2.38767339233e-14+0j),(3.33066907388e-15+0j),(-5.10702591328e-14+1.16018306073e-14j),(-5.10702591328e-14-1.16018306073e-14j),(-4.21884749358e-14+1.92623694772e-14j),(-4.21884749358e-14-1.92623694772e-14j),(-3.53744811221e-14+0j),(1.82909243307e-14+0j),6.66133814775e-16j,-6.66133814775e-16j,(6.66133814775e-16-5.93969318174e-15j),(6.66133814775e-16+5.93969318174e-15j),(4.10782519111e-15-1.27675647832e-15j),(4.10782519111e-15+1.27675647832e-15j),(-2.35922392733e-15-2.50667542279e-15j),(-2.35922392733e-15+2.50667542279e-15j),(-1.01030295241e-14+0j),(1.07691633389e-14+0j),(-5.31519273039e-15-1.66533453694e-16j),(-5.31519273039e-15+1.66533453694e-16j),(3.59434704222e-15+5.56499291093e-15j)
(-36.9459674578+0j),(10.4464799346+0j),(-3.10598937635+0j),(-1.29569836147+0j),(12.6228644321+0j),(-2.10222083729+0j),(4.26521559781+0j),(3.2932393421+0j),(-6.14959142493+0j),(-4.99455393566+0j),(-3.68092415972+0j),(-4.09498441286+0j),(-4.30267247555+0j),(-4.60583581833+0j),(1.98358664233+0j),(-2.12842317395+0j),(-4.31614828158+0j),(-0.185571306114+0j),(1.06198102379+0j),(0.0479930357553+0j),(-1.70917523245+0j),(2.5854054379+0j),(2.5376722755+0j),(0.263647010327+0j),(-2.89196711969+0j),(0.669213556954+0j),(-1.46566168677+0j),(1.03885632344+0j),(1.45996416306+0j),(0.959381526348+0j),(-1.38850973895+0j),(0.0676085823858+0j),(0.225331769808+0j),(-0.506221051398+0j),(0.281259083544+0j),(-0.977881599557+0j),(-0.0444022210193+0j),(-0.0347237346389+0j),(0.945675586933+0j),(-0.223169836845+0j),(-0.31263111835+0j),(0.816443082263+0j),(0.369657287803+0j),(-0.0189253606416+0j),(-0.371137856313+0j),(-0.444456712283+0j),(0.905959781938+0j),(-2.11358708313e-14+0j),(7.58282325819e-14+0j),(7.55784324014e-14-2.63677968348e-16j),(7.55784324014e-14+2.63677968348e-16j),(-4.48530101949e-14+0j),(-4.48530101949e-14+0j),(-5.55666623825e-14+0j),(7.12208070297e-14+0j),(-4.50750547998e-14+0j),(4.89885909616e-15-2.48273623882e-14j),(4.89885909616e-15+2.48273623882e-14j),(2.42583730881e-14-4.05231403988e-15j),(2.42583730881e-14+4.05231403988e-15j),(8.49320613838e-15+0j),(2.55351295664e-15+0j),(-1.77774461818e-14-9.22178999829e-15j),(-1.77774461818e-14+9.22178999829e-15j),(-4.62130334e-15-2.34534613952e-14j),(-4.62130334e-15+2.34534613952e-14j),(-1.34059430223e-14-1.4873519083e-14j),(-1.34059430223e-14+1.4873519083e-14j),(-2.17048601314e-14-1.54182222545e-14j),(-2.17048601314e-14+1.54182222545e-14j),(1.42386102908e-14+0j),(-7.88258347484e-15+0j),(1.11022302463e-14-2.65898414398e-14j),(1.11022302463e-14+2.65898414398e-14j),(1.39888101103e-14+5.77315972805e-15j)
(-22.5535127109+0j),(16.8287406274+0j),(-11.4162602795+0j),(7.02109306897+0j),(3.62088317992+0j),(-7.91889142156+0j),(-0.252858294303+0j),(5.98528447149+0j),(-7.15279583969+0j),(-3.89720879902+0j),(-2.38212746137+0j),(3.23124201334+0j),(0.0447739429494+0j),(-4.36882529695+0j),(-1.95336199241+0j),(-1.26754540148+0j),(5.82058846758+0j),(-0.736241875172+0j),(-1.00124256433+0j),(0.35827552238+0j),(-1.55129596824+0j),(1.36293959082+0j),(0.407368300156+0j),(-1.44655738987+0j),(-1.35493333743+0j),(-2.59141793678+0j),(-0.392872713577+0j),(-2.85272416746+0j),(-0.443684878041+0j),(1.37448258366+0j),(-3.34392952856+0j),(-1.56409499003+0j),(0.0759874179621+0j),(-0.455983699539+0j),(-0.810139759313+0j),(-0.152369446077+0j),(0.171944015007+0j),(-0.682872597424+0j),(-0.0491440473283+0j),(1.00001719187+0j),(0.0385026289351+0j),(-0.429810598025+0j),(-0.00248156860266+0j),(-0.475845235296+0j),(0.457293533824+0j),(0.208156307983+0j),(-0.610386095002+0j),(2.50702236748e-14+0j),(7.58100179854e-14+0j),(-2.16771045558e-14-7.6327832943e-16j),(-2.16771045558e-14+7.6327832943e-16j),(6.45039577307e-14+0j),(-1.04360964315e-14+0j),(2.68673971959e-14+0j),(-3.87467835594e-14+0j),(5.13478148889e-14+0j),(9.95731275211e-16+1.86378690259e-14j),(9.95731275211e-16-1.86378690259e-14j),(-1.66533453694e-15-5.66213742559e-15j),(-1.66533453694e-15+5.66213742559e-15j),(-1.86517468137e-14+0j),(-1.25455201783e-14+0j),(-1.00267016911e-14+2.79637424327e-15j),(-1.00267016911e-14-2.79637424327e-15j),(-1.43721839985e-14+1.17197918037e-14j),(-1.43721839985e-14-1.17197918037e-14j),(-8.00748356511e-15+5.45397060847e-15j),(-8.00748356511e-15-5.45397060847e-15j),(-1.72084568817e-15+2.08999484386e-14j),(-1.72084568817e-15-2.08999484386e-14j),(-1.45716771982e-15+0j),(7.54951656745e-15+0j),(-1.09079412169e-14+5.60662627436e-15j),(-1.09079412169e-14-5.60662627436e-15j),(-3.46944695195e-15+9.43689570931e-16j)
(-48.2255782711+0j),(-12.5704365188+0j),(21.2737639211+0j),(7.77063387738+0j),(-2.24689614014+0j),(-11.5446322235+0j),(2.52174127321+0j),(3.30871464559+0j),(-6.9219689963+0j),(0.00129577752079+0j),(-0.788545339862+0j),(-4.17663815052+0j),(-1.33154122703+0j),(0.113102421237+0j),(4.09237949928+0j),(3.12666207234+0j),(0.290073639781+0j),(1.19239364282+0j),(0.409822660835+0j),(1.63975424983+0j),(3.2094473287+0j),(-1.20042196747+0j),(-0.456040532645+0j),(0.459989533388+0j),(-0.245467086613+0j),(0.339124962663+0j),(1.24944181499+0j),(0.702984001493+0j),(0.959137189014+0j),(-2.59443000517+0j),(0.0662802038148+0j),(2.44321098568+0j),(0.425453112702+0j),(-3.56105868799+0j),(-0.182614562748+0j),(0.022033956679+0j),(-0.677285308273+0j),(0.231777362513+0j),(-0.92101032687+0j),(0.712368466498+0j),(0.253188170555+0j),(0.435235780571+0j),(0.144299634041+0j),(-0.351427436326+0j),(-0.0796585905889+0j),(0.272614158967+0j),(-0.265780886633+0j),(4.61297666732e-14+0j),(3.27515792264e-14+0j),(3.07531777821e-14-2.35922392733e-15j),(3.07531777821e-14+2.35922392733e-15j),(1.79301018477e-14+0j),(-2.44249065418e-15+0j),(1.00475183729e-14+0j),(-1.03805852802e-14+0j),(1.94289029309e-15+0j),(2.69229083472e-15+1.58206781009e-15j),(2.69229083472e-15-1.58206781009e-15j),(1.88182802674e-14-6.10622663544e-15j),(1.88182802674e-14+6.10622663544e-15j),(1.36557432029e-14+0j),(-8.32667268469e-15+0j),(3.95516952523e-16+3.66373598126e-15j),(3.95516952523e-16-3.66373598126e-15j),(-2.1371793224e-15+9.63118473862e-15j),(-2.1371793224e-15-9.63118473862e-15j),(1.6028844918e-15+5.91193760613e-15j),(1.6028844918e-15-5.91193760613e-15j),(7.89646126265e-15+4.75314232418e-15j),(7.89646126265e-15-4.75314232418e-15j),(6.99440505514e-15+0j),(-8.32667268469e-16+0j),(-3.51108031538e-15+2.67494359996e-15j),(-3.51108031538e-15-2.67494359996e-15j),(-6.49480469406e-15+3.46944695195e-15j)
