(45.1189953981+0j),(-10.170237374+0j),(0.87711117006+0j),(-0.627236477429+0j),(-2.73435461392+0j),(-4.29944582405+0j),(-0.581349562015+0j),(3.10664826017+0j),(1.51416995737+0j),(1.74495892164+0j),(5.8502230803+0j),(-7.12295218095+0j),(-3.5393491385+0j),(-4.39995459227+0j),(-0.85311269033+0j),(-8.49484485293+0j),(1.66202280625+0j),(-1.03147331372+0j),(-0.296654772045+0j),(-5.84893709074+0j),(0.856756326066+0j),(-2.61673592694+0j),(2.08253764962+0j),(0.480531736557+0j),(0.565841407073+0j),(2.07364433716+0j),(0.762324225772+0j),(0.283731848222+0j),(-0.490319439992+0j),(-1.82788635013+0j),(0.559481379734+0j),(0.750846059181+0j),(-0.0599491048887+0j),(-1.36771158352+0j),(-1.44323113519+0j),(-0.375337782476+0j),(0.746385121058+0j),(0.278304395377+0j),(0.417295565406+0j),(-0.879039476263+0j),(-0.0125200949304+0j),(0.546090895119+0j),(0.611206295449+0j),(0.159745643941+0j),(0.248016046204+0j),(-0.150978161588+0j),(0.292582309159+0j),(-5.04457586814e-15+0j),(3.31679128607e-14+0j),(-1.30589983272e-14+0j),(1.77288739245e-15+0j),(-7.58421103697e-15-2.20656826144e-15j),(-7.58421103697e-15+2.20656826144e-15j),(-1.07969189145e-14+3.09995085157e-15j),(-1.07969189145e-14-3.09995085157e-15j),(8.881784197e-15+0j),(1.59178226156e-14-3.12250225676e-15j),(1.59178226156e-14+3.12250225676e-15j),(-4.45476988631e-15+0j),(-9.13158437754e-15+0j),(1.31977762052e-14-2.98372437868e-15j),(1.31977762052e-14+2.98372437868e-15j),(1.45907591564e-14-2.77555756156e-15j),(1.45907591564e-14+2.77555756156e-15j),(-1.08107967023e-14+0j),(-1.06303854608e-14-7.49400541622e-15j),(-1.06303854608e-14+7.49400541622e-15j),(-2.70478084374e-14-1.69309011255e-15j),(-2.70478084374e-14+1.69309011255e-15j),(5.61356516826e-15-4.64905891562e-15j),(5.61356516826e-15+4.64905891562e-15j),(-2.78249645547e-15-1.07275299754e-14j),(-2.78249645547e-15+1.07275299754e-14j),(4.40619762898e-15-2.62290189568e-15j),(4.40619762898e-15+2.62290189568e-15j)
(50.8798559063+0j),(-17.7320484655+0j),(9.22287334957+0j),(-7.38255542935+0j),(6.36098634968+0j),(2.95084673047+0j),(-2.83584722512+0j),(-3.1626634538+0j),(-3.05779497803+0j),(-0.710788318995+0j),(2.74990731025+0j),(4.8361230895+0j),(0.123594096144+0j),(4.06915615072+0j),(-2.51832737607+0j),(2.00554670732+0j),(-4.0603980006+0j),(1.59024867929+0j),(0.63353303036+0j),(2.25390552896+0j),(1.22263913763+0j),(-0.947474895932+0j),(-2.27840599189+0j),(0.233945991215+0j),(-0.328893776145+0j),(-0.986491859096+0j),(6.31892607485+0j),(-2.30387004155+0j),(0.838320682656+0j),(-2.3733503129+0j),(0.800441621668+0j),(-1.30910480493+0j),(-1.56094207963+0j),(-1.65719456542+0j),(-0.43748561048+0j),(0.278034962461+0j),(-0.245593308065+0j),(0.504141124889+0j),(0.29188914754+0j),(-0.642182845825+0j),(-0.301224491961+0j),(-0.084100735409+0j),(-0.0240128478274+0j),(0.0695423080324+0j),(-0.0413231426395+0j),(-0.130545218527+0j),(0.0543718996143+0j),(3.54785645307e-14+0j),(8.881784197e-16+0j),(-2.63677968348e-16+0j),(1.71494762835e-14+0j),(2.6138813336e-14+6.00908212078e-15j),(2.6138813336e-14-6.00908212078e-15j),(-1.66255897938e-14+1.41466699466e-14j),(-1.66255897938e-14-1.41466699466e-14j),(2.70616862252e-14+0j),(6.53643805748e-15-9.67281810205e-15j),(6.53643805748e-15+9.67281810205e-15j),(-1.32255317808e-14+0j),(-9.68669588985e-15+0j),(1.39888101103e-14+2.59514632006e-15j),(1.39888101103e-14-2.59514632006e-15j),(1.94202293136e-14+2.22044604925e-15j),(1.94202293136e-14-2.22044604925e-15j),(-7.59114993087e-15+0j),(-3.1918911958e-15-6.17561557448e-15j),(-3.1918911958e-15+6.17561557448e-15j),(-2.47440956613e-14-8.60422844084e-15j),(-2.47440956613e-14+8.60422844084e-15j),(1.61676227961e-15-6.5780714209e-15j),(1.61676227961e-15+6.5780714209e-15j),(-1.40165656859e-15-7.56339435526e-15j),(-1.40165656859e-15+7.56339435526e-15j),(9.31893451295e-15-1.56819002228e-15j),(9.31893451295e-15+1.56819002228e-15j)
(52.0022338426+0j),(-19.7231744088+0j),(10.9246506363+0j),(-7.92039123587+0j),(7.4845218196+0j),(6.07098881313+0j),(5.77903203591+0j),(-4.24464848583+0j),(-4.51643117102+0j),(-6.34982917314+0j),(-1.82637204381+0j),(-3.86535429111+0j),(-4.52492085677+0j),(1.05556913064+0j),(-3.2861181928+0j),(-2.56271343935+0j),(0.120565707288+0j),(1.47834066267+0j),(2.23633768828+0j),(-1.02298451152+0j),(1.55559130957+0j),(-1.75669203772+0j),(-0.368873740254+0j),(-0.972332256196+0j),(0.93025661033+0j),(0.961388834895+0j),(-0.886066898655+0j),(-1.63595664383+0j),(0.779282296846+0j),(0.985965500233+0j),(-0.273968718877+0j),(0.398468798737+0j),(0.637804883093+0j),(0.412661975179+0j),(1.90047596274+0j),(-1.60217819659+0j),(-0.407037825093+0j),(-0.100239585979+0j),(-2.07905923356+0j),(0.438350668922+0j),(0.653553914486+0j),(-0.608274005076+0j),(0.424924673133+0j),(0.199491490069+0j),(0.214895237025+0j),(0.105064445827+0j),(-0.532061330941+0j),(-1.11785580792e-14+0j),(5.23192600355e-15+0j),(3.17940118677e-14+0j),(-2.10421957636e-14+0j),(-2.28289609439e-15+1.83325576941e-14j),(-2.28289609439e-15-1.83325576941e-14j),(1.97897254139e-14-1.04170144732e-14j),(1.97897254139e-14+1.04170144732e-14j),(2.89490653671e-14+0j),(2.42861286637e-15+3.07254222065e-14j),(2.42861286637e-15-3.07254222065e-14j),(-2.66592303788e-14+0j),(-1.41275879884e-14+0j),(6.35602681598e-15+7.48706652232e-15j),(6.35602681598e-15-7.48706652232e-15j),(1.22731685925e-14+4.89885909616e-15j),(1.22731685925e-14-4.89885909616e-15j),(-3.20576898361e-15+0j),(1.15463194561e-14-8.38218383592e-15j),(1.15463194561e-14+8.38218383592e-15j),(5.70377078901e-15-5.55111512313e-17j),(5.70377078901e-15+5.55111512313e-17j),(-4.60048665829e-15+4.69069227904e-15j),(-4.60048665829e-15-4.69069227904e-15j),(-5.24580379135e-15-6.41153796721e-15j),(-5.24580379135e-15+6.41153796721e-15j),(1.26981758442e-15+5.89805981832e-15j),(1.26981758442e-15-5.89805981832e-15j)
(48.016216657+0j),(-14.4917136281+0j),(4.4688824663+0j),(-4.69599099405+0j),(3.07186981307+0j),(-4.61717208788+0j),(-6.58758650189+0j),(-0.624975472588+0j),(1.56448186159+0j),(3.2406917623+0j),(6.06051114406+0j),(5.56428805434+0j),(0.954630074961+0j),(0.75644006878+0j),(-0.543935754506+0j),(-0.570569690983+0j),(-5.62552928969+0j),(0.8231877528+0j),(-1.41939755166+0j),(1.34824884005+0j),(1.43680614953+0j),(-1.87844878948+0j),(-1.20341620112+0j),(0.495854875852+0j),(-0.959085319137+0j),(1.69855644691+0j),(-3.27082974537+0j),(0.610240771403+0j),(-1.85567437184+0j),(-0.590928034026+0j),(0.0386606139387+0j),(0.85473907882+0j),(0.288519052022+0j),(0.294955837409+0j),(0.0998387340435+0j),(0.211336441833+0j),(0.985842681464+0j),(-0.104210767807+0j),(0.263815262477+0j),(0.234362755398+0j),(0.834927687893+0j),(-0.176225788781+0j),(-0.685788873723+0j),(0.116274721736+0j),(-0.0222127732434+0j),(1.30400825624+0j),(0.157105593116+0j),(-3.51177420477e-14+0j),(-7.46069872548e-14+0j),(-1.22818422099e-14+0j),(-4.74655037497e-14+0j),(-3.85733112118e-14+3.56381590905e-14j),(-3.85733112118e-14-3.56381590905e-14j),(3.99957844621e-14-2.20466006562e-14j),(3.99957844621e-14+2.20466006562e-14j),(1.21014309684e-14+0j),(1.23095977855e-14+3.6179392815e-14j),(1.23095977855e-14-3.6179392815e-14j),(-3.43197692487e-14+0j),(-1.93456362041e-14+0j),(8.57647286523e-15+3.15025783237e-15j),(8.57647286523e-15-3.15025783237e-15j),(4.43221848112e-15+1.22124532709e-15j),(4.43221848112e-15-1.22124532709e-15j),(-1.6611712006e-14+0j),(-7.85482789922e-15-1.04811992419e-14j),(-7.85482789922e-15+1.04811992419e-14j),(1.87350135405e-15+1.79856129989e-14j),(1.87350135405e-15-1.79856129989e-14j),(1.03875241741e-14-8.60422844084e-15j),(1.03875241741e-14+8.60422844084e-15j),(-1.48908663178e-14-1.26565424807e-14j),(-1.48908663178e-14+1.26565424807e-14j),(-5.22498710964e-15+1.76247905159e-15j),(-5.22498710964e-15-1.76247905159e-15j)
(-22.622487849+0j),(3.01881977316+0j),(10.7573934601+0j),(-9.76687734363+0j),(-7.18954634201+0j),(2.19755668327+0j),(-7.48258877009+0j),(1.81924206448+0j),(-4.94783778451+0j),(3.48488228919+0j),(-8.30474558215+0j),(-0.602663087176+0j),(1.27662823541+0j),(-0.743587240937+0j),(-0.471898692387+0j),(-1.63943397156+0j),(-0.726251020855+0j),(3.5844436191+0j),(-5.01806164783+0j),(-2.97056078156+0j),(1.58654822386+0j),(2.91476882988+0j),(0.124348011883+0j),(2.70288091981+0j),(-1.62047656659+0j),(-1.1073259804+0j),(-1.46442649785+0j),(0.419630843411+0j),(0.481393128476+0j),(-1.25375996604+0j),(-0.66912438796+0j),(0.62260902097+0j),(-2.64067495873+0j),(-0.394397546987+0j),(-1.11470573511+0j),(0.36849115211+0j),(0.464208444216+0j),(-0.39035993532+0j),(-0.415277060693+0j),(0.0104337070479+0j),(0.148671341899+0j),(-0.202916287178+0j),(0.353063412084+0j),(-0.0713656841892+0j),(-0.91684258047+0j),(-0.00282112686932+0j),(-0.682329055877+0j),(-7.14706072102e-16+0j),(-1.79856129989e-14+0j),(-5.25968157916e-15+0j),(-5.03069808033e-16+0j),(1.23165366794e-14-5.39845945724e-15j),(1.23165366794e-14+5.39845945724e-15j),(1.06026298852e-14+4.19629608839e-15j),(1.06026298852e-14-4.19629608839e-15j),(1.90680804479e-14+0j),(-6.50868248186e-15+3.26128013484e-15j),(-6.50868248186e-15-3.26128013484e-15j),(-5.23192600355e-15+0j),(-2.35922392733e-15+0j),(-4.99600361081e-16+2.27595720048e-15j),(-4.99600361081e-16-2.27595720048e-15j),(3.98812927127e-15-2.22044604925e-16j),(3.98812927127e-15+2.22044604925e-16j),(3.28903571045e-15+0j),(5.91193760613e-15+1.49880108324e-15j),(5.91193760613e-15-1.49880108324e-15j),(6.95277169172e-15-2.69229083472e-15j),(6.95277169172e-15+2.69229083472e-15j),(-5.48866507799e-15+2.72004641033e-15j),(-5.48866507799e-15-2.72004641033e-15j),(1.48492329544e-15+4.45476988631e-15j),(1.48492329544e-15-4.45476988631e-15j),(2.29677388219e-15+5.37070388162e-15j),(2.29677388219e-15-5.37070388162e-15j)
(-17.8475660831+0j),(12.4237813171+0j),(15.9710378549+0j),(-6.12253699957+0j),(2.62984550659+0j),(-0.918095734591+0j),(-6.14157860731+0j),(8.99242452643+0j),(-4.81260222523+0j),(1.17490672206+0j),(-5.93627474357+0j),(1.83512103833+0j),(8.49456134642+0j),(-0.0690906889631+0j),(1.94657168681+0j),(-1.78424360349+0j),(1.92080474834+0j),(-1.06247860568+0j),(6.12527566622+0j),(-0.991480510935+0j),(2.52314742155+0j),(-0.420170582071+0j),(-1.22369862263+0j),(-0.64887000227+0j),(-0.242463472438+0j),(0.361199642419+0j),(1.05997050227+0j),(1.33553287802+0j),(-1.63248287795+0j),(-0.341690237085+0j),(-1.41176185812+0j),(-1.70745830642+0j),(0.00725955075973+0j),(0.912452750898+0j),(1.55498863032+0j),(-1.46320975087+0j),(-0.679861194361+0j),(-0.894094960491+0j),(0.628526592242+0j),(-0.756481791931+0j),(0.0486745544148+0j),(0.915109937809+0j),(0.406535640151+0j),(0.282519445923+0j),(0.112816140191+0j),(0.302483764438+0j),(0.0830792126905+0j),(6.25194340742e-15+0j),(-5.1486592767e-15+0j),(2.53963516883e-15+0j),(-1.95815585968e-14+0j),(-4.22925583443e-14-6.45317133063e-16j),(-4.22925583443e-14+6.45317133063e-16j),(1.18516307879e-14-3.6030206596e-15j),(1.18516307879e-14+3.6030206596e-15j),(-2.31065167e-14+0j),(7.64666108211e-15+2.01366701091e-14j),(7.64666108211e-15-2.01366701091e-14j),(-9.33975119466e-15+0j),(-6.80011602583e-15+0j),(4.10782519111e-15+9.90874049478e-15j),(4.10782519111e-15-9.90874049478e-15j),(3.48852891019e-15+1.76109127281e-14j),(3.48852891019e-15-1.76109127281e-14j),(-3.31679128607e-15+0j),(8.46545056277e-16-4.49640324973e-15j),(8.46545056277e-16+4.49640324973e-15j),(-1.26287869051e-15-1.35585986882e-14j),(-1.26287869051e-15+1.35585986882e-14j),(-6.24500451352e-16-5.48172618409e-15j),(-6.24500451352e-16+5.48172618409e-15j),(7.97972798949e-15+2.04003480775e-15j),(7.97972798949e-15-2.04003480775e-15j),(5.93275428784e-15-8.46545056277e-16j),(5.93275428784e-15+8.46545056277e-16j)
(-26.7598200416+0j),(-3.71924858186+0j),(14.449884329+0j),(-8.18573834585+0j),(-8.66707816579+0j),(-6.56768419871+0j),(3.00676487624+0j),(-4.48868643495+0j),(-0.107955087471+0j),(5.95067671629+0j),(-2.93580515638+0j),(0.48485476136+0j),(-2.26197343689+0j),(-0.146559169263+0j),(-1.43852036468+0j),(-1.04553821451+0j),(1.47210798126+0j),(2.33363848369+0j),(-2.77658709269+0j),(2.0143644322+0j),(-3.50667819179+0j),(-1.17070176116+0j),(0.102030897194+0j),(0.572879027599+0j),(-0.067072263061+0j),(-0.658146142672+0j),(1.56145726381+0j),(1.49163066066+0j),(-3.78954436916+0j),(1.99784385617+0j),(-1.49928767652+0j),(-1.42994588629+0j),(0.445912532282+0j),(-0.280748821904+0j),(-0.795081482254+0j),(0.279947114524+0j),(-0.41153602519+0j),(0.219192720671+0j),(0.230168647777+0j),(0.312555586644+0j),(-0.207175461759+0j),(-1.40121515397+0j),(0.492324193397+0j),(0.892402945283+0j),(0.75533021648+0j),(-0.0117525071593+0j),(0.0439405663772+0j),(-3.10029779627e-14+0j),(3.41393580072e-14+0j),(8.2822637637e-14+0j),(5.07927033766e-15+0j),(2.11497486191e-14+1.40165656859e-15j),(2.11497486191e-14-1.40165656859e-15j),(-4.28546087505e-14+6.48786580015e-15j),(-4.28546087505e-14-6.48786580015e-15j),(-3.00037772405e-14+0j),(-4.99600361081e-15+3.27515792264e-15j),(-4.99600361081e-15-3.27515792264e-15j),(1.98729921408e-14+0j),(6.88338275268e-15+0j),(5.88418203051e-15-9.43689570931e-15j),(5.88418203051e-15+9.43689570931e-15j),(1.37251321419e-14-9.43689570931e-15j),(1.37251321419e-14+9.43689570931e-15j),(4.99600361081e-16+0j),(-1.11022302463e-16-2.99760216649e-15j),(-1.11022302463e-16+2.99760216649e-15j),(-1.59473129147e-14+0j),(-1.59473129147e-14+0j),(-3.69149155688e-15+7.24420523568e-15j),(-3.69149155688e-15-7.24420523568e-15j),(1.88737914186e-15+2.49800180541e-15j),(1.88737914186e-15-2.49800180541e-15j),(4.82947015712e-15+1.05471187339e-15j),(4.82947015712e-15-1.05471187339e-15j)
(-12.7542881291+0j),(8.43754045304+0j),(20.102089682+0j),(-1.68533461153+0j),(3.19215717861+0j),(-10.2174510726+0j),(6.91316651464+0j),(5.00734355295+0j),(0.621788591508+0j),(2.63392470269+0j),(0.251340979157+0j),(4.33725074535+0j),(2.74204535496+0j),(1.65983316559+0j),(2.60001362411+0j),(-3.4389438053+0j),(3.39575946535+0j),(2.34256153917+0j),(5.3131371587+0j),(1.88368927681+0j),(0.0308332009011+0j),(0.938132961862+0j),(1.18833069938+0j),(-0.414476623643+0j),(-1.19096688664+0j),(1.43701079239+0j),(-1.37774841651+0j),(-4.25218952487+0j),(2.09458417687+0j),(3.11742892877+0j),(1.0333771049+0j),(0.864830907511+0j),(-0.599790339856+0j),(-1.18682984883+0j),(-0.759213466855+0j),(0.88706550205+0j),(0.921786995166+0j),(0.747073036857+0j),(0.432101916128+0j),(0.0987119882146+0j),(-0.0498768255311+0j),(-0.311273943446+0j),(-0.168233025097+0j),(-0.0173929782164+0j),(-0.13649127748+0j),(-0.0498976631334+0j),(-0.0755511338273+0j),(-3.61863317089e-14+0j),(5.37070388162e-15+0j),(-2.47996068126e-14+0j),(-2.4261842535e-14+0j),(-2.1878332479e-14+5.66213742559e-15j),(-2.1878332479e-14-5.66213742559e-15j),(2.63677968348e-14+5.84081394361e-15j),(2.63677968348e-14-5.84081394361e-15j),(1.52655665886e-16+0j),(7.70217223334e-15+6.93889390391e-17j),(7.70217223334e-15-6.93889390391e-17j),(-5.13478148889e-16+0j),(-1.48492329544e-15+0j),(8.32667268469e-17+1.83186799063e-15j),(8.32667268469e-17-1.83186799063e-15j),(2.71137279295e-15+4.27435864481e-15j),(2.71137279295e-15-4.27435864481e-15j),(-2.67841304691e-15+0j),(-2.80331313718e-15+2.70616862252e-15j),(-2.80331313718e-15-2.70616862252e-15j),(2.92821322745e-15-1.0325074129e-14j),(2.92821322745e-15+1.0325074129e-14j),(-1.66880398389e-15+2.63677968348e-15j),(-1.66880398389e-15-2.63677968348e-15j),(1.76247905159e-15-3.7331249203e-15j),(1.76247905159e-15+3.7331249203e-15j),(-2.28983498829e-16-2.51187959321e-15j),(-2.28983498829e-16+2.51187959321e-15j)
(-12.7997334545+0j),(28.1228414933+0j),(6.73062691522+0j),(7.6757225373+0j),(4.59663412792+0j),(10.7822570987+0j),(-1.12864097904+0j),(1.43173686912+0j),(9.30311947329+0j),(3.29264991869+0j),(2.2253117869+0j),(0.800635305233+0j),(0.843689617488+0j),(0.385901315359+0j),(-4.95881961113+0j),(-0.829145549765+0j),(0.685837092686+0j),(1.50142766183+0j),(-1.10675913253+0j),(0.482276473304+0j),(0.186842066104+0j),(-0.088399171619+0j),(3.00708888208+0j),(-5.34832994172+0j),(-1.85294150113+0j),(3.27521376105+0j),(0.446256348097+0j),(0.108692625719+0j),(-0.629067263989+0j),(-1.16227461084+0j),(-0.526480548209+0j),(-0.217379232375+0j),(1.57800156604+0j),(-0.605352654417+0j),(-0.210435835543+0j),(0.255902586584+0j),(-1.54994963869+0j),(-0.00764696664196+0j),(-0.0890268961283+0j),(0.0696239612079+0j),(-0.166433928481+0j),(-0.218440610106+0j),(-0.396413552552+0j),(0.496030195903+0j),(-0.95591143024+0j),(-0.0640575138912+0j),(-0.155120826137+0j),(6.47884523808e-14+0j),(2.8380076067e-14+0j),(-1.63619118254e-14+0j),(2.93064184032e-14+0j),(4.16264245295e-14+3.20576898361e-15j),(4.16264245295e-14-3.20576898361e-15j),(2.22044604925e-15+3.55097895532e-15j),(2.22044604925e-15-3.55097895532e-15j),(-4.14390743941e-14+0j),(2.42861286637e-15-4.34374758385e-15j),(2.42861286637e-15+4.34374758385e-15j),(-7.50788320403e-15+0j),(-8.520961714e-15+0j),(3.24740234703e-15+5.70377078901e-15j),(3.24740234703e-15-5.70377078901e-15j),(-2.78423117894e-15+6.10622663544e-16j),(-2.78423117894e-15-6.10622663544e-16j),(-6.34214902817e-15+0j),(-2.74780198595e-15+5.6898930012e-15j),(-2.74780198595e-15-5.6898930012e-15j),(2.42861286637e-15+4.82947015712e-15j),(2.42861286637e-15-4.82947015712e-15j),(-2.78249645547e-15-9.63118473862e-15j),(-2.78249645547e-15+9.63118473862e-15j),(1.65145674913e-15+7.74380559676e-15j),(1.65145674913e-15-7.74380559676e-15j),(3.65679708736e-15+4.31599200823e-15j),(3.65679708736e-15-4.31599200823e-15j)
(-42.4681041996+0j),(1.8125874129+0j),(7.80388006313+0j),(-10.0104065629+0j),(-17.9499553323+0j),(14.4558743536+0j),(-2.37570317167+0j),(3.50216650248+0j),(3.08134731295+0j),(5.35496422001+0j),(-0.606020702806+0j),(-0.447133529214+0j),(-0.870309295927+0j),(-0.468151671408+0j),(1.74631267919+0j),(-1.67262229023+0j),(-1.90151334296+0j),(-6.95713175236+0j),(2.0822712902+0j),(1.70129446121+0j),(-0.363392923828+0j),(1.86919108393+0j),(-0.989430763165+0j),(1.60156226836+0j),(0.690240754215+0j),(1.62604389795+0j),(-0.560016864173+0j),(0.0054119960073+0j),(0.198481880597+0j),(-0.65631979823+0j),(0.976937611416+0j),(-1.26416689891+0j),(-0.408141816295+0j),(0.0366109803509+0j),(-0.553227352871+0j),(-0.304342771628+0j),(0.169854549736+0j),(1.57045725428+0j),(-1.099166811+0j),(-0.101100736744+0j),(0.636533472284+0j),(-0.00581021296806+0j),(-1.0209313822+0j),(0.0295610039247+0j),(0.548519740273+0j),(-0.258414497102+0j),(-0.0289149418002+0j),(1.72015179878e-14+0j),(2.9462543516e-14+0j),(2.58282978338e-14+0j),(-5.10702591328e-15+0j),(9.19750386963e-15+3.25954541136e-15j),(9.19750386963e-15-3.25954541136e-15j),(-2.25236496121e-14-7.23032744787e-15j),(-2.25236496121e-14+7.23032744787e-15j),(2.35922392733e-14+0j),(5.49560397189e-15+1.26287869051e-15j),(5.49560397189e-15-1.26287869051e-15j),(1.40165656859e-15+0j),(3.87190279838e-15+0j),(-9.32587340685e-15+9.64506252643e-16j),(-9.32587340685e-15-9.64506252643e-16j),(-2.60902410787e-15-1.1735404315e-15j),(-2.60902410787e-15+1.1735404315e-15j),(1.28369537222e-15+0j),(2.16493489802e-15+7.53563877964e-15j),(2.16493489802e-15-7.53563877964e-15j),(-1.16573417586e-15-9.71445146547e-17j),(-1.16573417586e-15+9.71445146547e-17j),(-1.22957199977e-14-3.58046925442e-15j),(-1.22957199977e-14+3.58046925442e-15j),(2.16493489802e-15+7.07767178199e-15j),(2.16493489802e-15-7.07767178199e-15j),(4.46864767412e-15+6.27276008913e-15j),(4.46864767412e-15-6.27276008913e-15j)
(-57.7236927425+0j),(-28.0164178225+0j),(1.69017057936+0j),(16.67358241+0j),(0.351841322552+0j),(-2.11059798655+0j),(5.8499001967+0j),(3.91757591892+0j),(-7.27877420007+0j),(7.97343744568+0j),(9.45071839869+0j),(-2.46586691696+0j),(-3.92506144655+0j),(-1.37484266211+0j),(-3.94469005278+0j),(1.75751266273+0j),(3.61387128054+0j),(2.10197611367+0j),(1.4865844799+0j),(0.51616079512+0j),(-3.33467549134+0j),(0.741344271551+0j),(-3.36400928936+0j),(1.01633186869+0j),(-1.96198331666+0j),(0.119598341991+0j),(-1.31498438102+0j),(-0.949706996494+0j),(1.04952339246+0j),(-1.73491086822+0j),(-0.708231515415+0j),(-1.67046338186+0j),(-0.39575358159+0j),(1.30925209386+0j),(-0.422171142884+0j),(-0.467103615392+0j),(-0.248934784675+0j),(-1.19647734533+0j),(-0.0994449035564+0j),(-0.154164414949+0j),(-0.100472955173+0j),(0.397232801401+0j),(-0.468091320831+0j),(0.0941513170769+0j),(-0.0507077289881+0j),(-0.000278391084287+0j),(-0.127912513754+0j),(2.57016630201e-14+0j),(-1.49324996812e-14+0j),(2.22044604925e-15+0j),(2.91433543964e-14+0j),(1.36557432029e-14-1.7111312367e-14j),(1.36557432029e-14+1.7111312367e-14j),(-6.88338275268e-15-1.33226762955e-15j),(-6.88338275268e-15+1.33226762955e-15j),(5.66213742559e-15+0j),(-1.66533453694e-15+3.88578058619e-15j),(-1.66533453694e-15-3.88578058619e-15j),(9.99200722163e-16+0j),(4.4408920985e-16+0j),(-2.33146835171e-15+3.95516952523e-15j),(-2.33146835171e-15-3.95516952523e-15j),(1.11022302463e-16+2.58126853225e-15j),(1.11022302463e-16-2.58126853225e-15j),(3.5527136788e-15+0j),(8.21565038223e-15+3.49720252757e-15j),(8.21565038223e-15-3.49720252757e-15j),(-9.15933995316e-15-5.16253706451e-15j),(-9.15933995316e-15+5.16253706451e-15j),(-1.02695629778e-14+1.7763568394e-15j),(-1.02695629778e-14-1.7763568394e-15j),(7.16093850883e-15+9.65894031424e-15j),(7.16093850883e-15-9.65894031424e-15j),(-2.33146835171e-15-7.77156117238e-16j),(-2.33146835171e-15+7.77156117238e-16j)
