(-50.1252700005+0j),(-17.4055004026+0j),(3.65982059391+0j),(0.188495620494+0j),(-2.34482244459+0j),(2.03146745203+0j),(4.68005423609+0j),(8.07319470877+0j),(1.47548970653+0j),(3.41315340773+0j),(1.76638032825+0j),(-2.131350292+0j),(5.19736691448+0j),(-4.96782508895+0j),(-6.72181611525+0j),(0.211106547709+0j),(-2.78138052302+0j),(3.2941105061+0j),(0.954777947926+0j),(0.0125694130196+0j),(-0.0358327460828+0j),(0.0288935661272+0j),(0.869147008516+0j),(-2.6732684283+0j),(0.824505222834+0j),(-0.375637487159+0j),(0.394796351305+0j),(0.421198758466+0j),(-0.111477007415+0j),(-0.165686257796+0j),(-1.05536878946+0j),(-0.196842441417+0j),(-1.09086289087+0j),(0.408366001025+0j),(0.90373705285+0j),(-1.80298274466+0j),(1.13458109607+0j),(0.78898821658+0j),(0.753703220801+0j),(1.04924964748+0j),(-0.680167613014+0j),(0.693002171341+0j),(0.225604646843+0j),(-0.964193446117+0j),(0.147532485147+0j),(0.600208808972+0j),(0.0192301846038+0j),(-6.53643805748e-14+0j),(-5.63160629241e-14+0j),(4.75938732869e-14+0j),(1.33226762955e-14+0j),(1.67643676718e-14+0j),(9.47852907274e-15+0j),(1.84297022088e-14+0j),(7.72992780895e-15-1.22818422099e-15j),(7.72992780895e-15+1.22818422099e-15j),(-1.0033640585e-14+2.75335310107e-14j),(-1.0033640585e-14-2.75335310107e-14j),(1.72015179878e-14+6.0004085034e-15j),(1.72015179878e-14-6.0004085034e-15j),(2.16493489802e-15+0j),(4.1161518638e-14+0j),(-4.35519675879e-14+0j),(-2.6575963652e-15+1.00058850094e-14j),(-2.6575963652e-15-1.00058850094e-14j),(-3.25850457727e-14+0j),(-1.32567568034e-14+0j),(-1.18516307879e-14+1.83360271411e-15j),(-1.18516307879e-14-1.83360271411e-15j),(2.00117700189e-14+0j),(3.47083473073e-14-9.29811783124e-16j),(3.47083473073e-14+9.29811783124e-16j),(-3.87190279838e-15+0j),(-8.68055627379e-15-4.8884507553e-15j),(-8.68055627379e-15+4.8884507553e-15j)
(-32.2815288369+0j),(0.907214596363+0j),(-10.5766744211+0j),(0.73192508822+0j),(-13.5480959872+0j),(6.02220591906+0j),(-3.49384609473+0j),(-7.58520476693+0j),(2.75685109011+0j),(-6.37670758998+0j),(4.22651509467+0j),(-5.77959696623+0j),(1.41891024652+0j),(-2.01849396327+0j),(-5.0960947955+0j),(2.65258176926+0j),(-0.394532347933+0j),(-2.4229623626+0j),(-2.04255949166+0j),(2.28549888347+0j),(0.642872839939+0j),(1.73733312312+0j),(-0.182430307029+0j),(1.14316970407+0j),(-0.772340473897+0j),(-1.57138657642+0j),(2.69394953642+0j),(-1.80762451827+0j),(-1.30054831122+0j),(-1.2359814883+0j),(-0.943106825045+0j),(-2.55695666254+0j),(-0.155100813181+0j),(0.300640951442+0j),(1.36399825606+0j),(1.52941949121+0j),(-1.03729388956+0j),(-0.1227445575+0j),(0.25171000446+0j),(-0.293302143495+0j),(0.714562349444+0j),(-1.16973449113+0j),(-0.123254692686+0j),(-0.700611270552+0j),(0.259407854549+0j),(-0.0694001197113+0j),(0.0112220838358+0j),(6.29774010719e-14+0j),(6.91530166463e-14+0j),(4.68444727453e-14+0j),(4.72746841673e-14+0j),(-4.61575222488e-14+0j),(-2.25652829755e-14+0j),(-2.20656826144e-15+0j),(-2.11081152557e-14-4.03149735817e-15j),(-2.11081152557e-14+4.03149735817e-15j),(-1.90819582357e-14-3.99680288865e-15j),(-1.90819582357e-14+3.99680288865e-15j),(2.05460648495e-14+4.98732999343e-15j),(2.05460648495e-14-4.98732999343e-15j),(-4.16333634234e-17+0j),(1.22957199977e-14+0j),(-2.2312013348e-14+0j),(-7.20951076616e-15+5.54417622922e-15j),(-7.20951076616e-15-5.54417622922e-15j),(-2.07750483483e-14+0j),(-4.90232854311e-15+0j),(1.32532873565e-14-5.44182754414e-15j),(1.32532873565e-14+5.44182754414e-15j),(4.24660306919e-15+0j),(6.80011602583e-16-5.13478148889e-16j),(6.80011602583e-16+5.13478148889e-16j),(5.5094817597e-15+0j),(-3.31679128607e-15-9.61036805691e-16j),(-3.31679128607e-15+9.61036805691e-16j)
(-11.0465681929+0j),(10.51713824+0j),(-6.88497445938+0j),(-11.9289082364+0j),(2.61192968458+0j),(-10.0933741282+0j),(-2.07082427833+0j),(2.5615365458+0j),(0.703717707156+0j),(-2.40850794489+0j),(1.84038489644+0j),(-2.22753144398+0j),(3.20317202619+0j),(0.724254867856+0j),(-5.50470500348+0j),(-0.153290625369+0j),(-0.602495557136+0j),(-5.05210230941+0j),(-0.230042020213+0j),(3.62217386318+0j),(-2.10052232799+0j),(2.25498115616+0j),(0.893385218127+0j),(-0.193532778494+0j),(3.53957572972+0j),(2.77360622937+0j),(1.00284976151+0j),(0.370807260443+0j),(0.760738468813+0j),(-0.144206565002+0j),(1.31601731971+0j),(-0.262233508307+0j),(-1.11060608737+0j),(1.71783596508+0j),(0.715558630116+0j),(-0.757192576506+0j),(-0.0154732328738+0j),(0.687332628476+0j),(0.187286877657+0j),(0.151211191008+0j),(0.47443860032+0j),(0.564095213016+0j),(0.36265626007+0j),(1.44970126124+0j),(-0.317749361641+0j),(-0.350112468577+0j),(-0.00459558539766+0j),(1.40443212615e-14+0j),(-3.63736818443e-14+0j),(-1.22381271783e-13+0j),(-6.6502359175e-14+0j),(5.27217158819e-14+0j),(1.90750193418e-14+0j),(-1.386391002e-14+0j),(-1.0977330156e-14-2.15105711021e-15j),(-1.0977330156e-14+2.15105711021e-15j),(2.40640840588e-14-4.19386747552e-14j),(2.40640840588e-14+4.19386747552e-14j),(-2.82621148706e-14-1.23321491907e-14j),(-2.82621148706e-14+1.23321491907e-14j),(-9.10382880193e-15+0j),(-4.42562653191e-14+0j),(5.91783566595e-14+0j),(3.40005801291e-16-3.51177420477e-14j),(3.40005801291e-16+3.51177420477e-14j),(5.35543831504e-14+0j),(1.45196354939e-14+0j),(-7.34134975033e-15+5.45570533195e-15j),(-7.34134975033e-15-5.45570533195e-15j),(7.02216063075e-15+0j),(-3.11556336285e-14+7.88258347484e-15j),(-3.11556336285e-14-7.88258347484e-15j),(-2.86853873988e-14+0j),(-4.85722573274e-16+2.0507900933e-14j),(-4.85722573274e-16-2.0507900933e-14j)
(40.8808596868+0j),(-17.9439127517+0j),(-1.73241141062+0j),(-9.68911418818+0j),(-13.1768776647+0j),(-4.06044090158+0j),(5.6251062772+0j),(-2.79802817881+0j),(10.8184644956+0j),(7.62881644045+0j),(0.952157606332+0j),(-2.59948040296+0j),(10.6937829174+0j),(-3.14218312334+0j),(6.62948282727+0j),(5.32320764496+0j),(3.95740179663+0j),(-3.00597154999+0j),(-2.07893615823+0j),(0.815478646572+0j),(-1.92817100659+0j),(-4.54755364028+0j),(-2.76034249456+0j),(-0.579077297504+0j),(0.622585755254+0j),(-0.541322252784+0j),(-0.0100537250383+0j),(-0.113315239061+0j),(-0.627138095597+0j),(1.41743103915+0j),(0.646950279406+0j),(0.30909029918+0j),(0.471374000277+0j),(0.0357496429549+0j),(0.121305567706+0j),(-0.386804994706+0j),(-0.209190518108+0j),(0.216765102603+0j),(-0.043736911152+0j),(0.0698573182401+0j),(-0.121145397207+0j),(-0.119875151555+0j),(-0.0972501450733+0j),(0.0253332808438+0j),(-0.0579831781521+0j),(0.00692044916809+0j),(-0.000551729721884+0j),(4.99322805325e-14+0j),(7.03603841856e-15+0j),(-4.01692568097e-14+0j),(-4.74620343027e-14+0j),(-2.38142838782e-14+0j),(-1.90125692967e-14+0j),(-5.49560397189e-15+0j),(3.11278780529e-14+1.34267597041e-14j),(3.11278780529e-14-1.34267597041e-14j),(1.07275299754e-14+1.91513471748e-14j),(1.07275299754e-14-1.91513471748e-14j),(4.37150315946e-16-9.88792381307e-17j),(4.37150315946e-16+9.88792381307e-17j),(2.4480417693e-14+0j),(-1.39471767469e-14+0j),(-4.43742265155e-15+0j),(9.02056207508e-17-2.95596880306e-15j),(9.02056207508e-17+2.95596880306e-15j),(-7.23032744787e-15+0j),(-3.04270497686e-15+0j),(-4.01068067646e-15-4.01241539993e-15j),(-4.01068067646e-15+4.01241539993e-15j),(-1.84019466332e-14+0j),(-1.0033640585e-14+7.95197241388e-15j),(-1.0033640585e-14-7.95197241388e-15j),(1.40581990493e-14+0j),(7.42461647718e-15-8.36136715421e-16j),(7.42461647718e-15+8.36136715421e-16j)
(18.7555638706+0j),(10.4393450495+0j),(6.65711506174+0j),(-14.5860482443+0j),(3.83291191037+0j),(11.2214341804+0j),(4.44162533575+0j),(-3.89385926133+0j),(-1.78806019505+0j),(2.37147838776+0j),(2.87269328985+0j),(1.19289806141+0j),(0.271126263255+0j),(-1.36124063131+0j),(0.731608419722+0j),(-3.29526069821+0j),(1.05388573275+0j),(-2.42055345628+0j),(4.25666515413+0j),(2.05336688359+0j),(-1.01666758393+0j),(2.64466212105+0j),(-0.933533971599+0j),(-2.17939216361+0j),(-4.14302948964+0j),(0.715628730092+0j),(0.273193834201+0j),(-0.801014911817+0j),(-0.0821005912449+0j),(1.88364811341+0j),(-0.873039294353+0j),(1.53240576382+0j),(-0.0833581575393+0j),(-0.174237532213+0j),(0.667466683092+0j),(1.20685437989+0j),(0.108594373999+0j),(0.00354540150185+0j),(1.59171029452+0j),(-0.298187801635+0j),(-0.107775704014+0j),(0.0999514175297+0j),(0.0750083056271+0j),(-0.20309251796+0j),(-1.50708953112+0j),(0.0911714177622+0j),(-0.00849231796929+0j),(-8.33777491493e-14+0j),(-2.96707103331e-14+0j),(2.97470381661e-14+0j),(3.28348459533e-14+0j),(-8.80406858528e-14+0j),(-5.26106935794e-14+0j),(1.40998324127e-14+0j),(4.65599780952e-14+1.19348975147e-15j),(4.65599780952e-14-1.19348975147e-15j),(1.73472347598e-15+4.46864767412e-14j),(1.73472347598e-15-4.46864767412e-14j),(-1.97689087322e-14+5.50080814232e-15j),(-1.97689087322e-14-5.50080814232e-15j),(4.99600361081e-16+0j),(-1.5959455979e-15+0j),(-5.42864364572e-14+0j),(-3.76851327921e-14+9.36750677027e-15j),(-3.76851327921e-14-9.36750677027e-15j),(-5.11396480718e-14+0j),(-3.84588194624e-14+0j),(-3.3653635434e-14-1.37476835471e-14j),(-3.3653635434e-14+1.37476835471e-14j),(1.93456362041e-14+0j),(2.56600296566e-14+1.36141098395e-14j),(2.56600296566e-14-1.36141098395e-14j),(4.95437024739e-15+0j),(-6.70297151117e-15-1.26183785643e-14j),(-6.70297151117e-15+1.26183785643e-14j)
(36.3952963309+0j),(-9.99460069823+0j),(11.0961969757+0j),(-8.13385407782+0j),(-10.3010861251+0j),(-2.75102993696+0j),(-7.64338791145+0j),(-0.230370136568+0j),(2.28529640769+0j),(4.79801118195+0j),(0.854962330563+0j),(1.36274908698+0j),(-1.24059619313+0j),(-0.420045199585+0j),(2.20285766248+0j),(-5.40563350016+0j),(-9.10953089243+0j),(0.288759439035+0j),(-2.27473494785+0j),(1.46577439888+0j),(0.338266814083+0j),(1.75319885891+0j),(-2.79851985771+0j),(0.764763477724+0j),(0.953184639089+0j),(-1.56580221788+0j),(2.27678576865+0j),(-1.39207295557+0j),(2.25397479735+0j),(2.147142502+0j),(-1.49702256257+0j),(-0.223347133626+0j),(-0.611777683331+0j),(-1.74159753035+0j),(-0.676697745957+0j),(0.298310705747+0j),(0.0365838871041+0j),(1.46166106789+0j),(-1.21421789476+0j),(0.0361532347919+0j),(0.24568301067+0j),(0.0850583023606+0j),(0.188209792898+0j),(0.0653747881243+0j),(0.0713108736388+0j),(-0.011619066178+0j),(0.000990971489308+0j),(-5.09037256791e-14+0j),(-5.03763697424e-15+0j),(5.4588278342e-14+0j),(8.64586180427e-14+0j),(-3.11278780529e-14+0j),(3.10862446895e-14+0j),(6.10622663544e-16+0j),(1.76664238793e-14-1.20736753928e-15j),(1.76664238793e-14+1.20736753928e-15j),(1.82770465429e-14-9.39526234589e-15j),(1.82770465429e-14+9.39526234589e-15j),(-2.43208231332e-14-1.4658413372e-15j),(-2.43208231332e-14+1.4658413372e-15j),(-2.25652829755e-14+0j),(-1.4294121442e-15+0j),(-6.21377949095e-15+0j),(1.0616507673e-15-2.42861286637e-15j),(1.0616507673e-15+2.42861286637e-15j),(-2.35922392733e-16+0j),(1.47763745684e-14+0j),(2.51881848712e-14+4.73926453637e-15j),(2.51881848712e-14-4.73926453637e-15j),(-2.57849297469e-14+0j),(-2.96984659087e-15+5.39845945724e-15j),(-2.96984659087e-15-5.39845945724e-15j),(1.63341562498e-14+0j),(1.32671651443e-14-7.38645256071e-15j),(1.32671651443e-14+7.38645256071e-15j)
(31.7407105627+0j),(-1.79970625453+0j),(13.4015708061+0j),(-15.1055812509+0j),(-5.95626303159+0j),(4.19701519288+0j),(-5.40795589222+0j),(2.56838915512+0j),(-8.13432830676+0j),(-2.31851546024+0j),(-2.70018467663+0j),(-1.62792173743+0j),(4.67160341816+0j),(-0.00281085253304+0j),(0.820091439873+0j),(0.383332660265+0j),(-2.17431392785+0j),(-0.00134867099667+0j),(-0.748763108736+0j),(-0.12740519797+0j),(-0.397324428959+0j),(-0.235342278045+0j),(1.67942341481+0j),(0.0120065620279+0j),(-1.84488313484+0j),(1.57819028993+0j),(1.49658300969+0j),(-0.217346420447+0j),(1.27403319873+0j),(0.214138974339+0j),(-1.68300513146+0j),(-1.02561736134+0j),(1.34589137747+0j),(1.60902393123+0j),(-1.01205108075+0j),(-0.202857182239+0j),(0.237082515032+0j),(-1.84774424622+0j),(0.128082847187+0j),(0.4986298214+0j),(0.0484334551995+0j),(-0.0194121810794+0j),(-1.8993290664+0j),(0.551100882855+0j),(0.295126006243+0j),(0.543247072635+0j),(0.0107121543559+0j),(1.60649271663e-13+0j),(6.4628857821e-14+0j),(5.33947885906e-14+0j),(8.86513085163e-14+0j),(3.85802501057e-15+0j),(2.36893837879e-14+0j),(9.29811783124e-15+0j),(9.67281810205e-15+1.43635103811e-15j),(9.67281810205e-15-1.43635103811e-15j),(1.51406664983e-14-4.4408920985e-16j),(1.51406664983e-14+4.4408920985e-16j),(1.46480050311e-14+6.74980904503e-15j),(1.46480050311e-14-6.74980904503e-15j),(4.63518112781e-15+0j),(1.48492329544e-15+0j),(1.40755462841e-14+0j),(1.00544572668e-14+2.38004060904e-14j),(1.00544572668e-14-2.38004060904e-14j),(5.25968157916e-15+0j),(-3.21444260099e-14+0j),(-2.31897834269e-14-4.00721122951e-16j),(-2.31897834269e-14+4.00721122951e-16j),(9.72832925328e-15+0j),(1.91791027504e-14-3.34177130412e-14j),(1.91791027504e-14+3.34177130412e-14j),(-1.2420620088e-14+0j),(4.0800696155e-15+2.18956797138e-14j),(4.0800696155e-15-2.18956797138e-14j)
(-8.13191449674+0j),(13.2432643471+0j),(-13.7677656999+0j),(-18.0292067826+0j),(-5.86820485782+0j),(-5.34535070625+0j),(-0.142819544893+0j),(2.66936315355+0j),(-4.42899579848+0j),(3.90257503824+0j),(4.19086426538+0j),(2.5789441987+0j),(-1.29404703652+0j),(0.709175586585+0j),(1.68962106461+0j),(0.887961569947+0j),(-2.47488683429+0j),(-1.27036535176+0j),(1.00756197915+0j),(0.398782220073+0j),(-2.59249349073+0j),(-0.935000497162+0j),(2.39719707187+0j),(1.24350071278+0j),(0.147598459491+0j),(-0.845494616888+0j),(-0.906332668974+0j),(0.918313191881+0j),(-1.45818538768+0j),(0.164927869532+0j),(-0.980138125519+0j),(-1.351821528+0j),(1.37846749576+0j),(-1.4288656954+0j),(1.08929805894+0j),(-0.302543871595+0j),(2.26254781228+0j),(-1.1396974997+0j),(0.216268583988+0j),(-1.30143392747+0j),(0.660020794727+0j),(1.09614590736+0j),(0.0175893561746+0j),(-0.522885831417+0j),(0.383800708449+0j),(-0.587977704549+0j),(0.0180542223958+0j),(-5.24302823379e-14+0j),(-4.13974410307e-14+0j),(-8.64447402549e-14+0j),(9.50628464835e-15+0j),(7.81041897824e-14+0j),(2.49522624785e-14+0j),(1.90819582357e-14+0j),(6.84174938925e-15-6.23112672571e-15j),(6.84174938925e-15+6.23112672571e-15j),(3.14887005359e-14+3.33066907388e-16j),(3.14887005359e-14-3.33066907388e-16j),(-2.39391839685e-15+8.50621656445e-15j),(-2.39391839685e-15-8.50621656445e-15j),(-2.08999484386e-14+0j),(5.82450754294e-14+0j),(-6.10032857562e-14+0j),(7.2858385991e-16+1.73888681232e-14j),(7.2858385991e-16-1.73888681232e-14j),(-5.9355298454e-14+0j),(2.26173246798e-14+0j),(6.4122318566e-14+3.95863897218e-15j),(6.4122318566e-14-3.95863897218e-15j),(-5.44286837822e-14+0j),(-3.12597170371e-14+3.40005801291e-15j),(-3.12597170371e-14-3.40005801291e-15j),(3.48471251854e-14+0j),(2.47024622979e-14-6.33174068732e-15j),(2.47024622979e-14+6.33174068732e-15j)
(46.5201117831+0j),(-7.30871184364+0j),(13.7570736618+0j),(2.85920239803+0j),(-12.7845525182+0j),(-6.1464544304+0j),(-5.31747157591+0j),(3.21542933397+0j),(6.07915292152+0j),(2.70301547153+0j),(3.51578069846+0j),(-0.554567680118+0j),(-8.85090682733+0j),(-2.21899409963+0j),(-2.31961457565+0j),(0.0858201857163+0j),(3.22938085639+0j),(-1.23645834813+0j),(0.173332880564+0j),(-2.0744111424+0j),(-0.135208080499+0j),(0.777444094752+0j),(0.429886085478+0j),(-1.1161603045+0j),(-0.526272179008+0j),(0.682186301766+0j),(-2.15032309892+0j),(-2.98824078352+0j),(-0.403601233809+0j),(-1.13814468504+0j),(-0.750401851333+0j),(-1.92805601434+0j),(1.24197390525+0j),(2.16466830371+0j),(-0.983327342366+0j),(-0.579846490221+0j),(-0.806827675068+0j),(-0.122036983475+0j),(-1.14548700893+0j),(0.458508024391+0j),(-0.241391993243+0j),(0.946612316911+0j),(-0.0999423910516+0j),(-0.515008173055+0j),(-0.614035122274+0j),(-0.394786292319+0j),(-0.0153402921195+0j),(1.07330810906e-13+0j),(4.40897318654e-14+0j),(-1.41761602457e-14+0j),(-3.72896158396e-14+0j),(-7.93809462607e-15+0j),(-1.15879528195e-14+0j),(-3.21964677141e-15+0j),(5.38319389065e-14+1.34545152797e-14j),(5.38319389065e-14-1.34545152797e-14j),(4.41313652288e-14+2.58681964738e-14j),(4.41313652288e-14-2.58681964738e-14j),(-1.90750193418e-14-1.13971332372e-15j),(-1.90750193418e-14+1.13971332372e-15j),(-3.35842464949e-14+0j),(-6.31439345256e-15+0j),(2.52332876816e-14+0j),(-8.61116733475e-15+3.9135361618e-15j),(-8.61116733475e-15-3.9135361618e-15j),(1.4585554986e-14+0j),(-7.77503061933e-15+0j),(-5.06539254985e-15-3.03576608296e-16j),(-5.06539254985e-15+3.03576608296e-16j),(-1.3794521081e-14+0j),(-3.03923552991e-15-7.91033905045e-16j),(-3.03923552991e-15+7.91033905045e-16j),(1.5959455979e-15+0j),(5.06539254985e-15+1.38430933383e-15j),(5.06539254985e-15-1.38430933383e-15j)
(64.0104509579+0j),(-39.7007073752+0j),(-13.5346064757+0j),(6.20033607105+0j),(-0.665741393048+0j),(-8.86180635645+0j),(17.1592786676+0j),(-6.17412580526+0j),(-7.32354601098+0j),(-2.71013447654+0j),(-3.90293566383+0j),(-1.77546977034+0j),(-1.79036408532+0j),(1.31750420297+0j),(-3.55246677906+0j),(-4.27934070327+0j),(-4.17250300922+0j),(-3.32531047766+0j),(2.39583641095+0j),(1.96830543431+0j),(3.51926071893+0j),(-6.75138377087+0j),(0.387224653662+0j),(-0.339499317654+0j),(-0.718877054129+0j),(0.574023711591+0j),(-0.787992586533+0j),(-0.886165791359+0j),(-0.606657658812+0j),(-0.787938364114+0j),(0.0771506683743+0j),(-0.0184562891156+0j),(-0.0172132252528+0j),(0.214427421302+0j),(0.0120480077553+0j),(0.112378591618+0j),(-0.274624447515+0j),(0.0554677667446+0j),(-0.0729519923331+0j),(-0.0796208767628+0j),(-0.0290571538016+0j),(-0.025107113849+0j),(0.072236746154+0j),(-0.045274889846+0j),(-0.00252315431853+0j),(-0.00966390173749+0j),(0.000282726694442+0j),(1.487698853e-14+0j),(2.18713935851e-14+0j),(2.10942374679e-14+0j),(-2.35367281221e-14+0j),(-4.37427871702e-14+0j),(-3.88578058619e-14+0j),(4.99600361081e-15+0j),(2.73114864058e-14+7.66053886991e-15j),(2.73114864058e-14-7.66053886991e-15j),(1.22124532709e-14+1.24344978758e-14j),(1.22124532709e-14-1.24344978758e-14j),(-6.10622663544e-15+5.49560397189e-15j),(-6.10622663544e-15-5.49560397189e-15j),(-4.88498130835e-15+0j),(-3.5527136788e-15+0j),(-6.2172489379e-15+0j),(-1.05471187339e-14+1.37667655054e-14j),(-1.05471187339e-14-1.37667655054e-14j),(-1.42108547152e-14+0j),(-8.10462807976e-15+0j),(3.9135361618e-15-9.07607322631e-15j),(3.9135361618e-15+9.07607322631e-15j),(-2.14273043753e-14+0j),(-8.32667268469e-16+6.43929354283e-15j),(-8.32667268469e-16-6.43929354283e-15j),(2.43138842393e-14+0j),(6.88338275268e-15-1.60843560693e-14j),(6.88338275268e-15+1.60843560693e-14j)
(65.0215302804+0j),(-32.6560693934+0j),(-8.96992692619+0j),(9.22512770351+0j),(-5.18188479484+0j),(-10.9894139539+0j),(20.1565762894+0j),(-7.3442682799+0j),(-5.01859682737+0j),(-2.153332753+0j),(-0.249993536881+0j),(0.255138614224+0j),(0.672540785538+0j),(1.22477638742+0j),(0.607575158108+0j),(2.31979031239+0j),(2.00404031484+0j),(3.68816871592+0j),(-2.05412530695+0j),(-2.77469659702+0j),(-2.69209688013+0j),(8.38302660171+0j),(-0.209976661816+0j),(0.401993913889+0j),(0.637202779522+0j),(-0.456173648845+0j),(0.312826726783+0j),(0.551935787039+0j),(0.723428994094+0j),(0.180782409651+0j),(-0.315530729505+0j),(-0.213901014585+0j),(-0.10137389148+0j),(-0.300970078587+0j),(-0.131947723706+0j),(-0.0603537166679+0j),(0.36085825836+0j),(-0.119912739008+0j),(0.0785013654884+0j),(0.0461543670854+0j),(0.0736001515224+0j),(0.0436460496628+0j),(-0.0565409927924+0j),(0.0307752686733+0j),(0.0265174583075+0j),(0.00373105664028+0j),(0.000298428804227+0j),(-8.70414851306e-14+0j),(4.0217829067e-14+0j),(7.30526750203e-14+0j),(1.55431223448e-14+0j),(4.77395900589e-14+0j),(3.44169137634e-14+0j),(7.1054273576e-15+0j),(1.97619698383e-14+1.66533453694e-15j),(1.97619698383e-14-1.66533453694e-15j),(2.17603712827e-14+9.7699626167e-15j),(2.17603712827e-14-9.7699626167e-15j),(5.21804821574e-15+6.49480469406e-15j),(5.21804821574e-15-6.49480469406e-15j),(8.881784197e-16+0j),(-7.9936057773e-15+0j),(7.18869408445e-15+0j),(4.66293670343e-15+1.80966353014e-14j),(4.66293670343e-15-1.80966353014e-14j),(-1.55431223448e-15+0j),(-1.12132525487e-14+0j),(-3.10862446895e-15+4.13558076673e-15j),(-3.10862446895e-15-4.13558076673e-15j),(-5.99520433298e-15+0j),(4.99600361081e-15-1.44328993201e-14j),(4.99600361081e-15+1.44328993201e-14j),(4.4408920985e-16+0j),(8.60422844084e-15+8.99280649946e-15j),(8.60422844084e-15-8.99280649946e-15j)
