(45.2934077311+0j),(4.69162092488+0j),(-5.47368345701+0j),(4.25157481323+0j),(-11.5623793792+0j),(-4.36965393568+0j),(-6.95811789541+0j),(4.369364266+0j),(5.87422984577+0j),(6.01578277679+0j),(-2.832406805+0j),(-3.65722032434+0j),(-6.97199849424+0j),(0.598765662452+0j),(0.114845992698+0j),(-0.384197403495+0j),(-0.814819107021+0j),(3.33557979908+0j),(1.19887489593+0j),(1.18038187466+0j),(0.725542286389+0j),(0.0564541355108+0j),(2.65385140591+0j),(-2.44641493372+0j),(-0.832835477397+0j),(0.633432259027+0j),(2.13920901073+0j),(-1.94021602092+0j),(-0.807480209096+0j),(-0.0613470970008+0j),(-1.68157828721+0j),(-0.429673948134+0j),(1.06133255169+0j),(-0.592876825508+0j),(-1.57479847434+0j),(-1.33724601258+0j),(1.0214218777+0j),(-0.268020213583+0j),(2.37068539701+0j),(0.177163479544+0j),(0.165483201951+0j),(0.572742038176+0j),(0.104723492916+0j),(-0.748315724666+0j),(-0.517463297355+0j),(-0.167634940223+0j),(-0.680341100686+0j),(-3.33066907388e-15+0j),(2.08999484386e-14+0j),(5.00294250472e-14+0j),(7.87564458093e-15+0j),(-2.79585382623e-14+0j),(-2.79776202206e-14+0j),(1.87627691162e-14+0j),(2.44110287539e-14+0j),(1.98174809896e-14+0j),(1.22263310587e-14+1.08246744901e-14j),(1.22263310587e-14-1.08246744901e-14j),(-2.74225087082e-14+0j),(-2.54241072639e-14+0j),(-2.20379270388e-14+0j),(-1.86517468137e-14+0j),(5.16253706451e-15+1.50990331349e-14j),(5.16253706451e-15-1.50990331349e-14j),(-5.21804821574e-15-1.37667655054e-14j),(-5.21804821574e-15+1.37667655054e-14j),(5.13478148889e-16+0j),(5.21804821574e-15-4.13558076673e-15j),(5.21804821574e-15+4.13558076673e-15j),(8.881784197e-15+2.34361141604e-15j),(8.881784197e-15-2.34361141604e-15j),(-1.49880108324e-15+3.17801340799e-15j),(-1.49880108324e-15-3.17801340799e-15j),(1.36869682255e-14-2.46330733589e-16j),(1.36869682255e-14+2.46330733589e-16j)
(16.5386137318+0j),(-14.8388170115+0j),(-8.11033631303+0j),(-7.00788902428+0j),(-5.35109152984+0j),(7.25849375896+0j),(8.0785584801+0j),(2.52206025835+0j),(-7.41175414237+0j),(-7.51907250328+0j),(0.474388012097+0j),(0.851633531351+0j),(-4.73744698637+0j),(-0.745149834194+0j),(3.01379778228+0j),(0.404019552746+0j),(1.63438767417+0j),(-1.32400390531+0j),(5.06222641721+0j),(1.42074223588+0j),(-0.646191154324+0j),(0.753543120418+0j),(3.45492483958+0j),(-1.40170441216+0j),(-0.760430003278+0j),(-0.976238041566+0j),(-0.0313780628078+0j),(1.35888561126+0j),(-0.455751283113+0j),(2.39216498198+0j),(0.258693285259+0j),(1.04566680753+0j),(-0.182446172768+0j),(-0.295953916376+0j),(-0.829827325831+0j),(0.284715198631+0j),(1.52663347921+0j),(0.690818143601+0j),(0.259107510758+0j),(0.0132808699577+0j),(-0.496924675113+0j),(0.550971190593+0j),(0.443770403104+0j),(1.73150087365+0j),(0.725791914271+0j),(0.46922505465+0j),(-0.371082388804+0j),(1.93733917797e-14+0j),(-3.04201108747e-14+0j),(-5.63438184997e-15+0j),(-3.21132009873e-14+0j),(2.42306175124e-14+0j),(-4.64073224293e-14+0j),(-7.07767178199e-16+0j),(1.2490009027e-14+0j),(2.77555756156e-15+0j),(-2.17742490705e-14+5.88418203051e-15j),(-2.17742490705e-14-5.88418203051e-15j),(-1.3572476476e-14+0j),(-1.98799310347e-14+0j),(-1.36834987785e-14+0j),(-3.83026943496e-15+0j),(-2.31759056391e-14-1.12514164652e-14j),(-2.31759056391e-14+1.12514164652e-14j),(-9.35015953551e-15+8.29891710907e-15j),(-9.35015953551e-15-8.29891710907e-15j),(-1.85962356625e-15+0j),(9.82547376793e-15+9.61036805691e-16j),(9.82547376793e-15-9.61036805691e-16j),(-6.85562717706e-15-1.31838984174e-15j),(-6.85562717706e-15+1.31838984174e-15j),(-3.33066907388e-15+1.37390099297e-15j),(-3.33066907388e-15-1.37390099297e-15j),(7.99880994773e-15+3.7261860264e-15j),(7.99880994773e-15-3.7261860264e-15j)
(14.5359028276+0j),(-14.8289926283+0j),(-8.49242205024+0j),(-6.69922606438+0j),(-7.80269925785+0j),(10.1138752+0j),(2.87771009536+0j),(3.92942869356+0j),(-6.67924298953+0j),(-7.36787688831+0j),(-0.528154295407+0j),(-1.62566542497+0j),(-5.6613323077+0j),(-0.387243801276+0j),(1.86434770362+0j),(0.358175610825+0j),(1.05710681564+0j),(-0.802578886791+0j),(3.51696072526+0j),(-0.149932854935+0j),(-0.672107132284+0j),(0.234562061836+0j),(3.88782965466+0j),(-0.0688319950528+0j),(-0.081028423211+0j),(-0.835440402721+0j),(-1.68440278481+0j),(1.26036759954+0j),(0.166181122906+0j),(1.48138763957+0j),(1.16643190078+0j),(0.409790517905+0j),(1.3550016713+0j),(0.702786932103+0j),(0.605992409485+0j),(0.116755722796+0j),(-1.52180197721+0j),(-0.781776329137+0j),(-0.940803440768+0j),(0.0546390027804+0j),(1.08461620438+0j),(-0.204389345469+0j),(-0.70823123832+0j),(-1.73976561678+0j),(-0.520136437915+0j),(-0.464089490436+0j),(0.322617893931+0j),(1.55431223448e-14+0j),(4.06341627013e-14+0j),(2.48689957516e-14+0j),(1.60149671302e-14+0j),(-1.58484336765e-14+0j),(8.71525074331e-15+0j),(-1.3142265054e-14+0j),(1.99840144433e-14+0j),(1.55431223448e-14+0j),(3.4083846856e-14+6.77236045021e-15j),(3.4083846856e-14-6.77236045021e-15j),(-2.81719092499e-15+0j),(1.92901250529e-14+0j),(1.93456362041e-14+0j),(4.99600361081e-15+0j),(1.03528297046e-14-1.80411241502e-16j),(1.03528297046e-14+1.80411241502e-16j),(-1.45369827287e-15-2.0219936836e-14j),(-1.45369827287e-15+2.0219936836e-14j),(7.71605002114e-15+0j),(1.38777878078e-14-3.46250805805e-15j),(1.38777878078e-14+3.46250805805e-15j),(-5.30131494259e-15+1.48353551666e-14j),(-5.30131494259e-15-1.48353551666e-14j),(-1.487698853e-14-9.33281230076e-16j),(-1.487698853e-14+9.33281230076e-16j),(1.12132525487e-14+8.22258927613e-15j),(1.12132525487e-14-8.22258927613e-15j)
(35.4616895144+0j),(-3.51418490758+0j),(-9.11398443673+0j),(1.98163168708+0j),(-16.0849938987+0j),(-0.769761978133+0j),(-3.71273690023+0j),(4.70502973156+0j),(-0.0273311596977+0j),(-3.96781998576+0j),(3.89420887336+0j),(-0.755932946174+0j),(7.51591282421+0j),(1.9570593356+0j),(-2.79928922831+0j),(-3.37783240714+0j),(0.297491952159+0j),(3.22291219995+0j),(-0.753103917323+0j),(3.47637175593+0j),(-1.91622281525+0j),(0.539884508+0j),(1.36481398404+0j),(-1.30425770286+0j),(-7.01536646369+0j),(0.74608721876+0j),(0.788459718361+0j),(-1.01570081607+0j),(0.613809506338+0j),(-3.38190443213+0j),(2.60948228986+0j),(-0.358380321689+0j),(-1.87697552147+0j),(0.524328236644+0j),(-0.146556430015+0j),(-0.0135191210048+0j),(-0.510997722305+0j),(0.921685837407+0j),(-0.747575668893+0j),(-0.141843810275+0j),(0.164017178616+0j),(0.174024165954+0j),(-0.177044564092+0j),(0.200597091757+0j),(-0.031152276414+0j),(-0.126400989825+0j),(0.0247426562031+0j),(-6.91113832829e-14+0j),(-6.55031584529e-14+0j),(-7.68829444553e-14+0j),(6.50035580918e-14+0j),(-1.66186508999e-14+0j),(5.02931030155e-14+0j),(-2.07611705605e-14+0j),(2.98649993624e-14+0j),(4.70734562441e-14+0j),(-6.05071548421e-15+3.21964677141e-15j),(-6.05071548421e-15-3.21964677141e-15j),(-7.77156117238e-16+0j),(3.99680288865e-15+0j),(2.6645352591e-15+0j),(1.44328993201e-14+0j),(-2.64233079861e-14-2.46469511467e-14j),(-2.64233079861e-14+2.46469511467e-14j),(1.04360964315e-14+1.94289029309e-15j),(1.04360964315e-14-1.94289029309e-15j),(-5.1417203828e-15+0j),(7.91033905045e-15+5.93969318174e-15j),(7.91033905045e-15-5.93969318174e-15j),(-2.72004641033e-14-1.26010313295e-14j),(-2.72004641033e-14+1.26010313295e-14j),(-1.36973765663e-14-2.74780198595e-15j),(-1.36973765663e-14+2.74780198595e-15j),(-1.58761892521e-14-9.7699626167e-15j),(-1.58761892521e-14+9.7699626167e-15j)
(-28.7321298917+0j),(-2.43664719578+0j),(8.04139243541+0j),(6.74539312545+0j),(-1.83053190442+0j),(-5.55236385585+0j),(2.68753289898+0j),(-0.258412430996+0j),(-9.16181648095+0j),(4.18533183187+0j),(0.635437026949+0j),(-3.37216993587+0j),(5.12840885079+0j),(-3.17196936226+0j),(4.99709947747+0j),(8.34948744734+0j),(-8.04744366738+0j),(1.99947555111+0j),(-3.5569783738+0j),(1.45803260785+0j),(-0.354946266093+0j),(2.1743581758+0j),(3.65953253917+0j),(1.74273119926+0j),(-1.18473077422+0j),(1.67111844425+0j),(-1.67393512561+0j),(-0.887994850143+0j),(2.30214135348+0j),(1.00759753029+0j),(0.176257445882+0j),(-0.743245620252+0j),(1.52568093575+0j),(-1.15771332181+0j),(-0.296774692347+0j),(0.160323708301+0j),(-0.171744954991+0j),(0.381109733278+0j),(0.159453726616+0j),(0.417591167866+0j),(0.244450141186+0j),(-0.353918524996+0j),(0.198109571378+0j),(0.233235256301+0j),(-0.238556459521+0j),(0.265908587258+0j),(0.0219613774322+0j),(5.44009282066e-15+0j),(-2.63122856836e-14+0j),(-1.16157083951e-14+0j),(-5.05151476204e-14+0j),(2.11497486191e-14+0j),(2.13579154362e-14+0j),(3.05311331772e-15+0j),(-2.14828155265e-14+0j),(-1.96925808993e-14+0j),(-4.81559236931e-15+2.33146835171e-15j),(-4.81559236931e-15-2.33146835171e-15j),(-2.88657986403e-15+0j),(-7.88258347484e-15+0j),(-3.10862446895e-15+0j),(-1.11022302463e-15+0j),(-1.30173649637e-14+1.08246744901e-15j),(-1.30173649637e-14-1.08246744901e-15j),(-4.10782519111e-15-2.94209101526e-15j),(-4.10782519111e-15+2.94209101526e-15j),(6.43929354283e-15+0j),(1.45022882592e-15+8.32667268469e-16j),(1.45022882592e-15-8.32667268469e-16j),(-1.04360964315e-14+3.88578058619e-15j),(-1.04360964315e-14-3.88578058619e-15j),(-2.8449465006e-16+5.55111512313e-16j),(-2.8449465006e-16-5.55111512313e-16j),(-8.881784197e-15-2.77555756156e-17j),(-8.881784197e-15+2.77555756156e-17j)
(-50.6542121837+0j),(38.210434551+0j),(-49.2096539145+0j),(-14.0961994266+0j),(13.6507676509+0j),(-5.15377799702+0j),(-9.45315367901+0j),(-0.443426540559+0j),(-7.68119567951+0j),(5.60868011784+0j),(5.84478099441+0j),(2.79605424359+0j),(-2.25615938246+0j),(5.21581753684+0j),(1.53437393609+0j),(3.03760554872+0j),(4.31264144612+0j),(3.37368350151+0j),(-1.23581157538+0j),(0.392419065803+0j),(-2.10689856543+0j),(-1.79318533512+0j),(-0.321353073384+0j),(1.26339796422+0j),(-0.181771210992+0j),(-0.654742726876+0j),(0.048171045707+0j),(-0.230842516427+0j),(0.436685567869+0j),(0.3137067704+0j),(-0.297271121871+0j),(0.220655017613+0j),(-0.111543544142+0j),(-0.0673568168823+0j),(0.158612487046+0j),(-0.0357740587043+0j),(-0.0425049688857+0j),(-0.0378784581487+0j),(-0.00431843411318+0j),(-0.0332249970759+0j),(-0.00269755425035+0j),(-0.0213286029328+0j),(0.0145453517899+0j),(0.0138960307282+0j),(0.00331914029439+0j),(-0.00730348960386+0j),(-0.010590727244+0j),(8.27116153346e-15+0j),(1.94289029309e-14+0j),(-4.55191440096e-15+0j),(2.20656826144e-14+0j),(3.44169137634e-15+0j),(-1.15463194561e-14+0j),(-3.88578058619e-15+0j),(-1.47659662275e-14+0j),(-8.93729534823e-15+0j),(-1.72639680329e-14-6.32827124036e-15j),(-1.72639680329e-14+6.32827124036e-15j),(9.71445146547e-15+0j),(7.21644966006e-16+0j),(5.66213742559e-15+0j),(8.65973959208e-15+0j),(-8.32667268469e-16-1.68753899743e-14j),(-8.32667268469e-16+1.68753899743e-14j),(9.10382880193e-15-8.32667268469e-16j),(9.10382880193e-15+8.32667268469e-16j),(8.881784197e-15+0j),(1.47659662275e-14+2.85882428841e-15j),(1.47659662275e-14-2.85882428841e-15j),(-5.44009282066e-15-7.41073868937e-15j),(-5.44009282066e-15+7.41073868937e-15j),(-5.74540415244e-15+6.10622663544e-16j),(-5.74540415244e-15-6.10622663544e-16j),(4.4408920985e-15-4.77395900589e-15j),(4.4408920985e-15+4.77395900589e-15j)
(-6.83289132198+0j),(-22.7138403695+0j),(-6.07161823434+0j),(-13.3899039522+0j),(-5.49334629893+0j),(11.5271991072+0j),(-4.47998492631+0j),(-0.734225675756+0j),(4.94102634443+0j),(5.80537847557+0j),(-5.0506953121+0j),(1.5562940847+0j),(3.20977387744+0j),(3.89813805918+0j),(-1.5322381243+0j),(2.05760626973+0j),(-0.728142492087+0j),(-1.17630270976+0j),(0.51703207018+0j),(-1.75992507426+0j),(0.6307200026+0j),(0.143352566912+0j),(1.10633084522+0j),(0.0886624336177+0j),(-0.415643818006+0j),(0.0577828855413+0j),(-0.346396430082+0j),(-1.29750884583+0j),(0.788580569561+0j),(-1.07592417998+0j),(0.473349820613+0j),(-0.104092148975+0j),(0.454534575273+0j),(1.59865843623+0j),(-1.16146640467+0j),(0.210747787528+0j),(-1.25695450935+0j),(-3.29504885124+0j),(0.456970178268+0j),(1.3381559519+0j),(-0.54737494415+0j),(0.0799347928432+0j),(-0.66314980694+0j),(0.436162796933+0j),(0.808019347585+0j),(0.604638128474+0j),(0.191769293127+0j),(5.2929882699e-14+0j),(4.71844785466e-15+0j),(-1.84297022088e-14+0j),(-2.35367281221e-14+0j),(3.44863027024e-14+0j),(2.32591723659e-14+0j),(2.38004060904e-15+0j),(-5.6898930012e-15+0j),(7.59114993087e-15+0j),(1.44328993201e-14+2.09554595898e-15j),(1.44328993201e-14-2.09554595898e-15j),(-2.71102584826e-14+0j),(-1.68753899743e-14+0j),(-1.12132525487e-14+0j),(-3.69149155688e-15+0j),(-4.8017145815e-15-1.65423230669e-14j),(-4.8017145815e-15+1.65423230669e-14j),(5.49560397189e-15+2.33840724562e-15j),(5.49560397189e-15-2.33840724562e-15j),(-4.4478309924e-15+0j),(6.10622663544e-15+4.05925293379e-16j),(6.10622663544e-15-4.05925293379e-16j),(-6.63358257214e-15+2.42861286637e-15j),(-6.63358257214e-15-2.42861286637e-15j),(-7.38298311376e-15+5.03416752728e-15j),(-7.38298311376e-15-5.03416752728e-15j),(1.42108547152e-14+3.99680288865e-15j),(1.42108547152e-14-3.99680288865e-15j)
(21.0421907811+0j),(-12.5367339663+0j),(-10.0927298354+0j),(2.67903693371+0j),(-8.94709409261+0j),(8.04847604832+0j),(-3.53256832725+0j),(13.6541899428+0j),(-4.01845147799+0j),(-6.91860340398+0j),(-2.78537598178+0j),(-6.29010134519+0j),(-0.393170590896+0j),(7.56917576318+0j),(-3.44593915878+0j),(5.54014647225+0j),(-1.02691118756+0j),(-2.88933485948+0j),(-5.38076236743+0j),(2.29919905111+0j),(1.33587226435+0j),(2.43904724722+0j),(-5.41782789502+0j),(-0.65567720906+0j),(1.96590770293+0j),(-0.140079328984+0j),(-0.693595352852+0j),(0.433129637537+0j),(-2.31815195027+0j),(-0.185606673276+0j),(-1.43097195703+0j),(-0.000650432763022+0j),(-0.211237766815+0j),(-1.06433113683+0j),(-0.428661236524+0j),(0.310349409702+0j),(0.0282690746663+0j),(0.202932379186+0j),(0.0546571040746+0j),(-0.32988691972+0j),(0.094513933112+0j),(0.145283004132+0j),(0.139589922097+0j),(0.0174108392523+0j),(0.0126351100813+0j),(0.0215107303197+0j),(0.0961614568528+0j),(3.94129173742e-15+0j),(-4.31599200823e-15+0j),(4.48373976836e-14+0j),(-7.64666108211e-15+0j),(-1.87072579649e-14+0j),(-4.54636328584e-14+0j),(-1.13797860024e-14+0j),(-3.24185123191e-14+0j),(-3.61932706028e-14+0j),(-1.47104550763e-14-1.25455201783e-14j),(-1.47104550763e-14+1.25455201783e-14j),(-1.46549439251e-14+0j),(-1.74305014866e-14+0j),(-1.22124532709e-14+0j),(-3.51108031538e-15+0j),(1.59872115546e-14+1.87072579649e-14j),(1.59872115546e-14-1.87072579649e-14j),(-9.24260668e-15-6.82787160144e-15j),(-9.24260668e-15+6.82787160144e-15j),(-7.35522753814e-15+0j),(1.22124532709e-15-7.49400541622e-16j),(1.22124532709e-15+7.49400541622e-16j),(1.07414077632e-14+1.94289029309e-15j),(1.07414077632e-14-1.94289029309e-15j),(-2.10942374679e-15+3.33066907388e-16j),(-2.10942374679e-15-3.33066907388e-16j),(1.44884104714e-14-1.80411241502e-15j),(1.44884104714e-14+1.80411241502e-15j)
(11.885928282+0j),(-24.1181642552+0j),(-11.2770942501+0j),(3.8329784658+0j),(0.0664940615438+0j),(-1.77155953488+0j),(19.6787921749+0j),(1.43133387721+0j),(-4.55701183918+0j),(-2.89697791532+0j),(0.695978768223+0j),(6.65427760713+0j),(-4.20638723268+0j),(0.279268958724+0j),(1.89911464105+0j),(-0.497594200276+0j),(-3.68011378971+0j),(-2.73618990335+0j),(1.33923021169+0j),(-0.985613457645+0j),(-1.75130267583+0j),(-2.18084204671+0j),(-0.986673844119+0j),(3.05636645977+0j),(1.81137628438+0j),(1.10592445137+0j),(0.0190288026709+0j),(-4.09081369655+0j),(-0.102443558225+0j),(-2.93250732437+0j),(-0.124184641697+0j),(-0.632114996978+0j),(-2.14007547202+0j),(-0.023129113773+0j),(0.50890680665+0j),(-1.60515619428+0j),(-1.10956430297+0j),(0.569908464241+0j),(0.848039210689+0j),(-0.125401329177+0j),(-1.14910093526+0j),(-0.213730777836+0j),(0.319140189214+0j),(-0.355604453533+0j),(-0.160014550262+0j),(0.126118059668+0j),(0.0120078415693+0j),(-6.87574996938e-14+0j),(-2.57849297469e-14+0j),(-1.0325074129e-14+0j),(4.81559236931e-14+0j),(-2.88727375342e-14+0j),(7.62723217917e-14+0j),(8.21565038223e-15+0j),(1.53488333154e-14+0j),(2.81996648255e-14+0j),(2.36477504245e-14-2.49800180541e-15j),(2.36477504245e-14+2.49800180541e-15j),(-9.43689570931e-15+0j),(-1.2490009027e-14+0j),(-1.40443212615e-14+0j),(-3.21964677141e-15+0j),(3.74700270811e-15+2.09832151654e-14j),(3.74700270811e-15-2.09832151654e-14j),(5.93969318174e-15-1.27953203588e-14j),(5.93969318174e-15+1.27953203588e-14j),(1.61468061144e-14+0j),(1.11854969731e-14-1.69309011255e-15j),(1.11854969731e-14+1.69309011255e-15j),(-1.84574577844e-14+1.45716771982e-15j),(-1.84574577844e-14-1.45716771982e-15j),(-1.21014309684e-14+1.68615121865e-15j),(-1.21014309684e-14-1.68615121865e-15j),(-2.20656826144e-14-4.05231403988e-15j),(-2.20656826144e-14+4.05231403988e-15j)
(-10.9843621313+0j),(-18.7187635568+0j),(2.31492044356+0j),(-0.472962765522+0j),(7.77935381391+0j),(-20.3814305915+0j),(12.0647767626+0j),(-3.53993232275+0j),(3.44559335403+0j),(-1.64954830345+0j),(1.67154827055+0j),(5.01714186224+0j),(-0.722581813425+0j),(3.50755595563+0j),(0.55664761625+0j),(1.4113280106+0j),(-1.48338900976+0j),(-2.29593912276+0j),(-1.41703796695+0j),(-2.60182524198+0j),(-2.53048483617+0j),(-0.0338498286669+0j),(0.277107254007+0j),(-1.92598334922+0j),(-0.245206240287+0j),(-1.44849087941+0j),(-0.124766768424+0j),(0.545439512271+0j),(-1.28651014516+0j),(-1.84046814258+0j),(0.0366490627752+0j),(0.0276086099277+0j),(0.370203946239+0j),(-0.794635380744+0j),(-0.700742522206+0j),(1.27760441474+0j),(0.199123974916+0j),(-1.05444031144+0j),(0.183767664058+0j),(-1.12219280735+0j),(2.09135457788+0j),(0.938833251367+0j),(-0.9841385029+0j),(0.6102571215+0j),(-0.326590076638+0j),(-0.0471051092774+0j),(-0.208683047581+0j),(5.34572386357e-14+0j),(2.27595720048e-14+0j),(1.61815005839e-14+0j),(-4.21884749358e-14+0j),(4.25146029492e-14+0j),(-6.92779167366e-14+0j),(9.49240686055e-15+0j),(2.22044604925e-14+0j),(1.85407245112e-14+0j),(-2.28705943073e-14+9.10382880193e-15j),(-2.28705943073e-14-9.10382880193e-15j),(1.1768364061e-14+0j),(1.55431223448e-14+0j),(9.21485110439e-15+0j),(-7.82707232361e-15+0j),(-1.31561428418e-14-1.94844140822e-14j),(-1.31561428418e-14+1.94844140822e-14j),(-1.83186799063e-15+6.05071548421e-15j),(-1.83186799063e-15-6.05071548421e-15j),(-6.88338275268e-15+0j),(-1.19348975147e-15-2.57432963835e-15j),(-1.19348975147e-15+2.57432963835e-15j),(6.68909372337e-15-3.60822483003e-16j),(6.68909372337e-15+3.60822483003e-16j),(3.50414142147e-15-1.09634523682e-15j),(3.50414142147e-15+1.09634523682e-15j),(1.92346139016e-14+4.19109191796e-15j),(1.92346139016e-14-4.19109191796e-15j)
(-13.8523672916+0j),(-18.6702965093+0j),(2.99207642392+0j),(-3.10506097798+0j),(7.5497215598+0j),(-20.2774247687+0j),(8.54100936937+0j),(0.378485648464+0j),(5.24910429305+0j),(-1.74482657743+0j),(1.19587429626+0j),(-1.70922334786+0j),(-0.902240728699+0j),(3.72067009958+0j),(-2.15779073368+0j),(-0.729012305343+0j),(2.28925684697+0j),(0.710341131756+0j),(-1.03541721803+0j),(-0.451485270591+0j),(-1.68948960586+0j),(1.41965948053+0j),(1.60166946454+0j),(-2.96060384066+0j),(0.510335616235+0j),(-0.506885854142+0j),(-0.436173540263+0j),(2.00383988584+0j),(-0.0594348355014+0j),(-0.0856565717836+0j),(-0.863645897115+0j),(-0.0224619406958+0j),(0.293075597327+0j),(-0.575064157007+0j),(-0.953322958255+0j),(-0.847300888436+0j),(-0.719260658169+0j),(0.322756334061+0j),(-1.04804007089+0j),(2.53024007693+0j),(-0.491470247298+0j),(-0.301568523556+0j),(1.64955765179+0j),(-0.329009615833+0j),(0.078701687109+0j),(-0.119937904135+0j),(0.302467236311+0j),(-1.21985754831e-13+0j),(-1.65978342181e-14+0j),(5.55111512313e-16+0j),(5.17086373719e-14+0j),(-2.62984078958e-15+0j),(5.38458166943e-14+0j),(-2.85882428841e-14+0j),(-2.33146835171e-14+0j),(-3.44169137634e-15+0j),(-1.44328993201e-15-2.0650148258e-14j),(-1.44328993201e-15+2.0650148258e-14j),(3.07531777821e-14+0j),(2.87547763378e-14+0j),(1.09912079438e-14+0j),(2.27595720048e-15+0j),(-7.16093850883e-15-3.60822483003e-15j),(-7.16093850883e-15+3.60822483003e-15j),(1.71529457305e-14-1.27675647832e-15j),(1.71529457305e-14+1.27675647832e-15j),(2.72004641033e-15+0j),(-1.32602262504e-14+3.05311331772e-16j),(-1.32602262504e-14-3.05311331772e-16j),(1.2490009027e-15-4.24660306919e-15j),(1.2490009027e-15+4.24660306919e-15j),(1.18030585305e-14+4.260480857e-15j),(1.18030585305e-14-4.260480857e-15j),(-4.71844785466e-15+3.24740234703e-15j),(-4.71844785466e-15-3.24740234703e-15j)
