(32.4285890367+0j),(-3.01308498898+0j),(-13.3697501673+0j),(2.00392434572+0j),(-3.63847446226+0j),(-2.00936134334+0j),(-8.60040928597+0j),(1.73250397899+0j),(-11.6458956391+0j),(2.30844563854+0j),(-7.10341894661+0j),(3.15500031191+0j),(3.28981887213+0j),(-1.28112587109+0j),(-0.256617014941+0j),(-8.81236514233+0j),(-3.72906917177+0j),(-5.18286622177+0j),(4.90683680765+0j),(-1.76150499479+0j),(2.51151923277+0j),(-3.72112549382+0j),(-4.61520562716+0j),(8.52338816568+0j),(3.96072445616+0j),(-0.910674317592+0j),(0.696646579421+0j),(0.35547109957+0j),(-0.069671953104+0j),(1.07384953548+0j),(-0.303066139611+0j),(1.40691496733+0j),(1.87960992835+0j),(-0.800116015965+0j),(-0.411112661769+0j),(0.0658347073485+0j),(0.0387228364224+0j),(0.759378915488+0j),(-0.176494063356+0j),(0.155887291013+0j),(0.261622041309+0j),(-0.223506850118+0j),(0.148385744552+0j),(0.203302657265+0j),(0.0156818711102+0j),(0.0638157916461+0j),(-0.0206817134633+0j),(5.06816810741e-14+0j),(2.7436386496e-14+0j),(-2.4983487501e-14+0j),(1.34892097492e-14+0j),(-2.5993096564e-14+0j),(1.11716191853e-15+0j),(-3.26058624545e-14+0j),(1.61606839022e-14+0j),(-2.82551759767e-14+0j),(-2.83245649157e-14+0j),(-2.76688394418e-15+0j),(1.79162240599e-14+0j),(2.93307045318e-14+0j),(4.63656890659e-14+0j),(4.57134330389e-14+0j),(-1.91999194321e-14-2.56999282966e-14j),(-1.91999194321e-14+2.56999282966e-14j),(-2.86888568457e-14+5.67254576644e-15j),(-2.86888568457e-14-5.67254576644e-15j),(3.67969543724e-14+0j),(-3.24740234703e-14+0j),(-1.5595164049e-15+5.70377078901e-15j),(-1.5595164049e-15-5.70377078901e-15j),(6.84868828316e-15+0j),(-2.08166817117e-16+0j),(1.32047150991e-14+1.30243038576e-14j),(1.32047150991e-14-1.30243038576e-14j),(-9.64506252643e-16-7.86176679313e-15j)
(52.7328244128+0j),(35.5644208516+0j),(4.04587547543+0j),(-1.378033056+0j),(13.4915682503+0j),(11.927464709+0j),(8.07670882852+0j),(0.480957302387+0j),(-7.70508093454+0j),(-2.22039435657+0j),(8.69981596073+0j),(5.66967149308+0j),(-2.55106255414+0j),(-2.25151573878+0j),(2.7506010403+0j),(4.47183401608+0j),(-1.68672925345+0j),(0.989921570001+0j),(0.651657190782+0j),(1.19436920865+0j),(-4.87183115721+0j),(0.0345783267358+0j),(-0.949981895698+0j),(5.75270145106+0j),(-2.52206409278+0j),(1.48302179943+0j),(-4.8586328294+0j),(-5.79725105276+0j),(0.991331373763+0j),(0.485919292175+0j),(-1.81250934507+0j),(-1.84668679818+0j),(-1.57257363665+0j),(0.438094544107+0j),(-1.45290094565+0j),(-0.981484768708+0j),(-0.557744296165+0j),(-0.710058284187+0j),(-0.00249987256776+0j),(0.482114261821+0j),(-0.229660995083+0j),(0.210407180512+0j),(-0.175136957427+0j),(-0.226778533154+0j),(-0.119916768827+0j),(-0.0173924555432+0j),(0.0183313832342+0j),(-4.63518112781e-14+0j),(-2.38836728172e-14+0j),(-1.37702349523e-14+0j),(-3.17801340799e-15+0j),(-2.7436386496e-14+0j),(-2.99274494076e-14+0j),(4.94743135349e-15+0j),(-3.24115734252e-14+0j),(-1.41900380335e-14+0j),(2.35922392733e-16+0j),(2.81528272916e-14+0j),(-7.84095011142e-15+0j),(1.86448079198e-14+0j),(7.06379399418e-15+0j),(-2.18436380095e-14+0j),(7.16787740274e-15+8.52269643747e-15j),(7.16787740274e-15-8.52269643747e-15j),(1.96058447255e-14-3.54230533794e-15j),(1.96058447255e-14+3.54230533794e-15j),(-2.70408695435e-14+0j),(-4.82947015712e-15+0j),(-2.39218367337e-15-8.74300631892e-16j),(-2.39218367337e-15+8.74300631892e-16j),(-6.0298988025e-15+0j),(-9.85322934355e-16+0j),(-6.11316552934e-15-1.80619408319e-14j),(-6.11316552934e-15+1.80619408319e-14j),(-1.00128239033e-14+6.51562137577e-15j)
(48.5468615597+0j),(24.3409360412+0j),(-5.03788219955+0j),(0.935912032776+0j),(14.1642991346+0j),(6.48571006101+0j),(-4.27391669135+0j),(6.37503854683+0j),(-3.00256322845+0j),(-1.60633772605+0j),(9.67804333017+0j),(0.243953268379+0j),(3.39872131645+0j),(-11.1699836132+0j),(1.09430693267+0j),(-0.915606789835+0j),(-2.00761873266+0j),(-5.8308920347+0j),(1.27946420514+0j),(-0.268745820599+0j),(-6.57461666082+0j),(-1.10294801961+0j),(3.71502881969+0j),(-0.225396841824+0j),(-3.19828171273+0j),(-0.089033448191+0j),(2.91072597809+0j),(5.47698353949+0j),(0.355627364713+0j),(-3.53066803736+0j),(1.91998581806+0j),(1.57510879797+0j),(1.12259701802+0j),(1.36744869237+0j),(-0.234026259654+0j),(0.641636476789+0j),(-0.694063175105+0j),(0.346949487721+0j),(-0.529456563876+0j),(-0.0530972024264+0j),(-0.274870059442+0j),(0.162763395477+0j),(0.140952318345+0j),(-0.10910495823+0j),(0.254176020561+0j),(0.0569344288592+0j),(0.00901736622465+0j),(9.43689570931e-15+0j),(-3.67761376907e-15+0j),(3.68802210993e-15+0j),(4.32848201726e-14+0j),(1.10328413072e-14+0j),(-2.29677388219e-15+0j),(-2.20864992961e-14+0j),(1.77705072879e-14+0j),(-1.75762182586e-14+0j),(-2.65204525007e-14+0j),(1.44415729375e-14+0j),(2.56877852323e-14+0j),(1.33434929772e-14+0j),(7.67441665772e-15+0j),(-1.52655665886e-15+0j),(1.42733047603e-14-5.09141340199e-15j),(1.42733047603e-14+5.09141340199e-15j),(-2.347080863e-14+2.3973878438e-15j),(-2.347080863e-14-2.3973878438e-15j),(1.45924938799e-14+0j),(2.19269047363e-15+0j),(2.66956595718e-14+5.39845945724e-15j),(2.66956595718e-14-5.39845945724e-15j),(2.11705653008e-14+0j),(2.78943534937e-15+0j),(9.36750677027e-16-3.5457747849e-15j),(9.36750677027e-16+3.5457747849e-15j),(2.19060880546e-14+3.53883589099e-16j)
(41.7513642165+0j),(12.5863956615+0j),(-11.619267587+0j),(3.45099308578+0j),(5.39567372289+0j),(-1.99729371354+0j),(-8.63980542973+0j),(5.13478859462+0j),(-2.08447854425+0j),(5.15847906487+0j),(1.43555288732+0j),(7.77231977688+0j),(-6.65727110031+0j),(4.8850720332+0j),(-5.1029628008+0j),(2.29615236079+0j),(0.0141355730302+0j),(-1.80501021377+0j),(-0.169063365918+0j),(-1.11435310979+0j),(-1.36883922956+0j),(2.09146594316+0j),(3.44936654077+0j),(-0.855227273438+0j),(-0.278490225053+0j),(0.456299314966+0j),(-0.246591490941+0j),(-0.381292026739+0j),(0.41560434869+0j),(2.97282323805+0j),(-0.359094254246+0j),(2.52392066398+0j),(1.28706268731+0j),(0.343356945524+0j),(-0.125569113122+0j),(2.40175682864+0j),(2.89634384906+0j),(-1.52348235297+0j),(2.52289525118+0j),(-1.11032123572+0j),(2.72863302945+0j),(0.0165836987894+0j),(-0.00988579589405+0j),(-0.162748463499+0j),(0.185464442545+0j),(0.275890431094+0j),(-0.021479686258+0j),(-2.92821322745e-14+0j),(-3.63459262687e-14+0j),(-2.57606436183e-14+0j),(1.26246235688e-13+0j),(-3.71785935371e-14+0j),(-4.45130043936e-14+0j),(4.1668057893e-14+0j),(-5.93275428784e-15+0j),(-6.76333988814e-14+0j),(-4.74481565149e-14+0j),(2.31151903174e-14+0j),(2.50771625687e-14+0j),(-5.45466449786e-14+0j),(-7.12832570748e-14+0j),(-6.40598685209e-14+0j),(-4.15639744844e-14-1.649895498e-14j),(-4.15639744844e-14+1.649895498e-14j),(-1.70592706628e-14+9.75955427585e-15j),(-1.70592706628e-14-9.75955427585e-15j),(1.6105172751e-14+0j),(3.18078896555e-14+0j),(5.35630567677e-14-8.77770078844e-15j),(5.35630567677e-14+8.77770078844e-15j),(4.93147189751e-14+0j),(4.10921296989e-14+0j),(1.6535384173e-14+2.56739074445e-16j),(1.6535384173e-14-2.56739074445e-16j),(-1.0616507673e-15+8.99974539337e-15j)
(-92.0525999963+0j),(55.2273246152+0j),(-22.1343141546+0j),(-34.0371042971+0j),(2.00273563621+0j),(-7.70390355576+0j),(1.04157683198+0j),(-6.96550016042+0j),(-3.91542976489+0j),(15.1778818932+0j),(9.25447242597+0j),(-10.7847512992+0j),(-7.90458036449+0j),(0.359594234375+0j),(-4.30526327141+0j),(-3.63161270817+0j),(-0.327456327016+0j),(1.18608123005+0j),(-3.44288823911+0j),(-1.69726115439+0j),(-3.0372760802+0j),(2.75383826454+0j),(-2.09844744886+0j),(1.06249473444+0j),(2.29259637846+0j),(1.10710922081+0j),(-0.581182456933+0j),(0.516581846779+0j),(-1.62267776463+0j),(-1.66927799716+0j),(0.225979488863+0j),(-0.5326178332+0j),(0.774239092145+0j),(-1.09589773627+0j),(0.525618813722+0j),(-0.30090199022+0j),(0.581495481397+0j),(-0.136640938149+0j),(-0.523262162562+0j),(0.270173602646+0j),(0.000569940027864+0j),(0.200712286024+0j),(-0.304447362853+0j),(-0.025613622618+0j),(-0.0542830278772+0j),(-0.0536501386683+0j),(0.00490089124153+0j),(-4.31512464649e-15+0j),(4.4408920985e-15+0j),(-8.07687250415e-15+0j),(9.32587340685e-15+0j),(1.87627691162e-14+0j),(-1.03805852802e-14+0j),(4.03566069451e-14+0j),(3.83026943496e-14+0j),(-1.49880108324e-14+0j),(6.08402217495e-14+0j),(-5.10702591328e-14+0j),(-5.55111512313e-14+0j),(-6.27831120426e-14+0j),(-3.9857006584e-14+0j),(-1.65423230669e-14+0j),(1.61537450083e-14+2.6645352591e-15j),(1.61537450083e-14-2.6645352591e-15j),(5.82867087928e-16+2.09554595898e-15j),(5.82867087928e-16-2.09554595898e-15j),(1.08801856413e-14+0j),(-2.57294185957e-14+0j),(-2.84217094304e-14+6.75848266241e-15j),(-2.84217094304e-14-6.75848266241e-15j),(-2.6645352591e-14+0j),(-2.22044604925e-16+0j),(-1.33226762955e-14+1.38222766566e-14j),(-1.33226762955e-14-1.38222766566e-14j),(2.96429547575e-14-1.18169363184e-14j)
(-80.2880347522+0j),(52.4704470313+0j),(-14.4570097171+0j),(-19.071825134+0j),(0.0918206772969+0j),(-3.35293161941+0j),(-3.93807087978+0j),(-3.5029833044+0j),(1.65594924359+0j),(0.00248208400752+0j),(-9.82456255522+0j),(8.4731827064+0j),(9.78674576798+0j),(-3.23190668862+0j),(-2.69198030563+0j),(2.74127969625+0j),(1.91769663123+0j),(0.614238368506+0j),(1.93450382272+0j),(5.02831882035+0j),(3.53756328675+0j),(1.33917013472+0j),(0.0809018729008+0j),(0.642594576007+0j),(-3.81548040946+0j),(-1.33271832349+0j),(-0.85932556269+0j),(0.676641215644+0j),(1.23515231738+0j),(-2.40203691893+0j),(-0.0788297838848+0j),(-0.21780217293+0j),(1.39903811636+0j),(1.12782834815+0j),(1.15199781835+0j),(-2.33194553814+0j),(0.733330295541+0j),(-0.129128808309+0j),(2.24104901484+0j),(1.39343702358+0j),(0.292906356106+0j),(1.047309774+0j),(-0.706313805786+0j),(0.0551145832018+0j),(-0.312747314993+0j),(-0.250615588247+0j),(-0.0391727989497+0j),(-1.1869671912e-13+0j),(-4.90163465372e-14+0j),(8.5931262106e-14+0j),(-5.56221735337e-14+0j),(-3.32581184814e-14+0j),(-7.20534742982e-14+0j),(5.37347943919e-14+0j),(7.12485626053e-14+0j),(1.07691633389e-14+0j),(2.8088642523e-14+0j),(-6.12565553837e-14+0j),(-5.66213742559e-14+0j),(3.05866443284e-14+0j),(2.85327317329e-14+0j),(-3.81916720471e-14+0j),(-2.99760216649e-15+5.09314812547e-15j),(-2.99760216649e-15-5.09314812547e-15j),(4.79616346638e-14+2.1371793224e-15j),(4.79616346638e-14-2.1371793224e-15j),(-4.07937572611e-14+0j),(-3.13638004457e-15+0j),(-6.06181771445e-14+1.34892097492e-14j),(-6.06181771445e-14-1.34892097492e-14j),(-6.32272012524e-14+0j),(-4.07313072159e-14+0j),(-2.02060590482e-14+2.46885845101e-14j),(-2.02060590482e-14-2.46885845101e-14j),(1.08801856413e-14-1.32394095687e-14j)
(-63.9482813968+0j),(22.040861498+0j),(16.1911801462+0j),(24.9996030016+0j),(-1.99783012959+0j),(18.3630802606+0j),(-6.30675981047+0j),(1.42336762031+0j),(-2.09595159224+0j),(4.7963374971+0j),(1.2483973269+0j),(1.66133384095+0j),(-3.36815560897+0j),(-2.03719660962+0j),(-5.13316792268+0j),(-0.249125384874+0j),(-1.22011310671+0j),(4.69337557415+0j),(3.25819025677+0j),(-0.94278833891+0j),(2.20676200662+0j),(0.0711524471525+0j),(-0.0686931872656+0j),(-0.444321565397+0j),(-0.92729711037+0j),(-1.38326834416+0j),(1.47645453192+0j),(-2.45711380036+0j),(2.16165029574+0j),(-2.23569763282+0j),(3.13196497674+0j),(1.09950148942+0j),(-0.0574742477509+0j),(-0.980900992256+0j),(-0.023435983824+0j),(-0.469322344013+0j),(2.08554948518+0j),(-0.620587856656+0j),(-0.306188030339+0j),(-1.15797606773+0j),(-1.88887050257+0j),(-1.2387360553+0j),(1.46146687307+0j),(0.407195611693+0j),(-1.1107989364+0j),(0.185418762739+0j),(-0.0194244666754+0j),(2.82329715162e-13+0j),(-1.19362852935e-13+0j),(-7.01695646033e-14+0j),(-2.19366191878e-13+0j),(2.71310751643e-14+0j),(9.85947434806e-14+0j),(-1.66464064755e-14+0j),(-4.06272238074e-14+0j),(8.70345462367e-14+0j),(5.17502707353e-14+0j),(-5.48363437991e-14+0j),(-2.39391839685e-14+0j),(-2.50285903114e-14+0j),(2.16215934046e-14+0j),(8.30169266663e-14+0j),(5.61356516826e-15-9.71271674199e-15j),(5.61356516826e-15+9.71271674199e-15j),(-3.81812637062e-14+5.38111222248e-15j),(-3.81812637062e-14-5.38111222248e-15j),(5.21735432635e-14+0j),(-5.83422199441e-14+0j),(2.21524187882e-15+1.0685896612e-15j),(2.21524187882e-15-1.0685896612e-15j),(8.43075609325e-15+0j),(1.99423810798e-14+0j),(1.33018596138e-14+1.17475473793e-14j),(1.33018596138e-14-1.17475473793e-14j),(-1.02626240839e-14-2.42167397246e-15j)
(5.52829026928+0j),(-21.7567651776+0j),(10.3146099023+0j),(-13.1781203368+0j),(5.15541219886+0j),(12.3712139334+0j),(-14.0780944943+0j),(5.26755962006+0j),(2.06865462931+0j),(-1.59630927915+0j),(-2.90514688585+0j),(0.199178564625+0j),(0.755392551868+0j),(1.99631419754+0j),(2.38215763602+0j),(-1.91420214484+0j),(8.67596577053+0j),(3.90862925197+0j),(-0.0541586530983+0j),(-0.523404480671+0j),(-0.682850233909+0j),(-3.95831251387+0j),(4.57864834023+0j),(0.728430033394+0j),(4.21847035779+0j),(-2.16900744692+0j),(-0.712171139282+0j),(-1.39966150366+0j),(-0.125287437992+0j),(-2.72727260721+0j),(0.535990362419+0j),(-0.575495811094+0j),(0.500129334545+0j),(-0.124582051939+0j),(-0.542078537691+0j),(-1.15596113667+0j),(1.07328159463+0j),(-1.88768182454+0j),(-2.50602918385+0j),(-0.940744794285+0j),(0.977678194411+0j),(1.61825292962+0j),(-1.04293476765+0j),(0.543501382377+0j),(0.439562544651+0j),(-0.194142842228+0j),(-0.00141218156883+0j),(-1.59178226156e-13+0j),(-4.45893322265e-14+0j),(-1.86552162607e-14+0j),(1.68795533106e-13+0j),(5.17502707353e-14+0j),(2.21281326596e-14+0j),(-2.02268757299e-14+0j),(-3.63528651626e-14+0j),(-1.20604914944e-13+0j),(-2.99205105136e-14+0j),(-8.18147632975e-14+0j),(-6.28663787694e-15+0j),(-9.16627884706e-15+0j),(-1.75831571525e-14+0j),(2.13995487996e-14+0j),(-1.7257029139e-14-2.46851150631e-15j),(-1.7257029139e-14+2.46851150631e-15j),(4.59181304091e-14-1.0758754998e-14j),(4.59181304091e-14+1.0758754998e-14j),(-3.02605163149e-14+0j),(-3.71924713249e-15+0j),(-2.78093520434e-14-8.61810622865e-15j),(-2.78093520434e-14+8.61810622865e-15j),(-1.77843850757e-14+0j),(-1.04777297949e-14+0j),(8.15320033709e-15-5.04457586814e-15j),(8.15320033709e-15+5.04457586814e-15j),(-2.33632557745e-14+1.04152797498e-14j)
(11.3430396127+0j),(-25.9022594549+0j),(-11.7055062925+0j),(-4.44290978186+0j),(-18.3362012289+0j),(8.19903143652+0j),(11.4246802696+0j),(7.66324583475+0j),(3.52986612841+0j),(-0.91415757185+0j),(8.68199401718+0j),(-0.466253804158+0j),(-3.48564223958+0j),(0.569918321941+0j),(-4.14681000845+0j),(7.57586746582+0j),(-0.324198003713+0j),(0.0127075817817+0j),(-1.01898071189+0j),(-3.38888255699+0j),(4.60631439971+0j),(0.854953010472+0j),(2.67895707886+0j),(5.7075751258+0j),(1.10404490929+0j),(-2.68298396171+0j),(2.92021115194+0j),(2.01152019349+0j),(-2.40533116078+0j),(1.26239166587+0j),(-0.379075858347+0j),(-0.010329630423+0j),(-1.99924571674+0j),(3.1899326874+0j),(2.32755342112+0j),(-2.17227633324+0j),(-0.259300697221+0j),(0.354900780495+0j),(0.0822026022434+0j),(-0.307170567601+0j),(0.0515620478632+0j),(0.525670728072+0j),(0.0821749394183+0j),(-0.0950406311678+0j),(-0.300721259431+0j),(-0.0585136475634+0j),(0.000226575920566+0j),(-7.77156117238e-15+0j),(-4.23966417529e-14+0j),(-3.9860476031e-14+0j),(-9.42163014273e-14+0j),(-3.48193696098e-14+0j),(3.97251675999e-14+0j),(3.3285874057e-14+0j),(-8.853334732e-14+0j),(6.81329992425e-14+0j),(3.41254802194e-14+0j),(3.94215909916e-14+0j),(7.75768338457e-15+0j),(2.50285903114e-14+0j),(1.36141098395e-14+0j),(-4.89885909616e-14+0j),(-3.85733112118e-14+8.55045201309e-15j),(-3.85733112118e-14-8.55045201309e-15j),(3.34107741473e-15-8.81586470491e-15j),(3.34107741473e-15+8.81586470491e-15j),(9.48546796664e-15+0j),(-9.14268660779e-14+0j),(-4.32483909796e-14+2.34950947586e-14j),(-4.32483909796e-14-2.34950947586e-14j),(-4.67750838062e-14+0j),(-4.40619762898e-14+0j),(-2.94833601977e-14-3.51801920928e-15j),(-2.94833601977e-14+3.51801920928e-15j),(-7.51482209793e-15+1.51198498166e-14j)
(-12.91898293+0j),(-32.2233132064+0j),(2.15719306648+0j),(-2.04750666231+0j),(7.76361717745+0j),(6.29829959676+0j),(18.4508141003+0j),(20.6734432034+0j),(6.81591354105+0j),(6.89473141545+0j),(-5.74554729584+0j),(-5.00001951397+0j),(-0.676432075337+0j),(2.5412468272+0j),(1.33518039587+0j),(-2.33982892893+0j),(-4.92107314986+0j),(-0.938510446939+0j),(0.302295618485+0j),(1.44320094441+0j),(-2.49696390505+0j),(-1.63369324722+0j),(1.43800395726+0j),(-0.60729389611+0j),(-0.0415995554447+0j),(2.25331563453+0j),(0.61880178395+0j),(0.321377849327+0j),(2.74626563892+0j),(0.362422350294+0j),(-3.39674334433+0j),(-0.975076385676+0j),(1.52256206333+0j),(-1.72302686779+0j),(1.18384936063+0j),(-1.89371467554+0j),(0.363926443229+0j),(0.173309789239+0j),(1.66062633601+0j),(-0.787542504319+0j),(-1.0345798514+0j),(1.19759179859+0j),(0.778622832684+0j),(1.33688095471+0j),(0.510993406719+0j),(0.113267211298+0j),(-0.04349528885+0j),(-8.65973959208e-15+0j),(5.87030424271e-15+0j),(7.11895820071e-14+0j),(-1.22554744131e-13+0j),(6.27137231035e-14+0j),(-4.1737446832e-14+0j),(-1.93942084614e-14+0j),(7.05616121088e-14+0j),(1.38986044895e-14+0j),(1.92762472651e-14+0j),(-7.52228140888e-14+0j),(-3.73728825664e-14+0j),(9.43897737749e-14+0j),(1.44370626565e-13+0j),(1.33643096589e-13+0j),(2.1663226768e-14+1.01047642476e-14j),(2.1663226768e-14-1.01047642476e-14j),(-7.5391082266e-15-6.87991330572e-15j),(-7.5391082266e-15+6.87991330572e-15j),(7.48706652232e-15+0j),(9.15933995316e-15+0j),(1.8266638202e-15-3.26128013484e-15j),(1.8266638202e-15+3.26128013484e-15j),(9.62424584472e-15+0j),(1.23373533611e-14+0j),(1.60912949632e-14+1.08593689596e-14j),(1.60912949632e-14-1.08593689596e-14j),(-4.07313072159e-15-1.82145964978e-14j)
(-101.200074588+0j),(30.9712677853+0j),(-17.5646952851+0j),(-17.8759305341+0j),(2.35488967288+0j),(-2.78140661185+0j),(-11.3544944238+0j),(4.89290320786+0j),(-8.00290762165+0j),(-13.81172298+0j),(3.60921629511+0j),(-9.79194793397+0j),(-6.367074303+0j),(7.61402586024+0j),(7.93368585697+0j),(-1.28083537289+0j),(-1.10388644864+0j),(-0.719036212749+0j),(4.01018224408+0j),(0.578975332271+0j),(2.87692662887+0j),(-4.51962768431+0j),(1.96876550528+0j),(-1.34877656653+0j),(-2.99166539961+0j),(-1.57713929436+0j),(0.912518469794+0j),(-0.711028465453+0j),(1.89942502855+0j),(2.12551025799+0j),(-0.340455459203+0j),(0.643250275218+0j),(-0.999919952646+0j),(1.48317840862+0j),(-0.698920594629+0j),(0.424372935347+0j),(-0.873157533102+0j),(0.229129007715+0j),(0.707395292416+0j),(-0.346187558367+0j),(-0.0983834283016+0j),(-0.304427190327+0j),(0.414820517227+0j),(0.0150411996674+0j),(0.0760205860075+0j),(0.0666872236494+0j),(-0.00686234883698+0j),(7.54951656745e-15+0j),(-5.13478148889e-14+0j),(2.2315482795e-14+0j),(-3.24740234703e-14+0j),(-8.40993941154e-15+0j),(2.09832151654e-14+0j),(2.81996648255e-14+0j),(1.67921232475e-14+0j),(6.7446048746e-15+0j),(5.29576382746e-14+0j),(-3.14193115969e-14+0j),(-4.41868763801e-14+0j),(-5.49560397189e-14+0j),(-5.24580379135e-14+0j),(-3.75255382323e-14+0j),(6.88338275268e-15-1.94289029309e-15j),(6.88338275268e-15+1.94289029309e-15j),(1.26010313295e-14+2.55351295664e-15j),(1.26010313295e-14-2.55351295664e-15j),(-4.4408920985e-16+0j),(-1.25455201783e-14+0j),(-3.54161144855e-14+1.55431223448e-15j),(-3.54161144855e-14-1.55431223448e-15j),(-3.90798504668e-14+0j),(-2.46469511467e-14+0j),(-2.3758772727e-14+3.16413562018e-15j),(-2.3758772727e-14-3.16413562018e-15j),(4.88498130835e-15-2.10942374679e-15j)
