(27.2266902077+0j),(27.2110624067+0j),(-27.5447794263+0j),(13.8332116777+0j),(0.0211786064305+0j),(-3.27923642908+0j),(-7.25017274723+0j),(-12.1275950901+0j),(7.40404901643+0j),(3.62703777757+0j),(-2.56099817727+0j),(-0.574700677543+0j),(1.77644282813+0j),(8.21300206449+0j),(-6.8393319907+0j),(1.98186846906+0j),(2.05568483594+0j),(-5.47561859249+0j),(0.832041318825+0j),(-1.65640843824+0j),(-2.25270449353+0j),(-0.724431339076+0j),(3.82598854309+0j),(3.561014053+0j),(-2.16839161546+0j),(1.47613634905+0j),(1.2286805536+0j),(-1.66420568054+0j),(0.571223965379+0j),(-1.23435738542+0j),(1.0667794147+0j),(-0.415151402237+0j),(-0.207664122376+0j),(-0.00542456754591+0j),(-0.360044417542+0j),(0.756184862814+0j),(-0.450266362047+0j),(0.323266148633+0j),(-1.23645422691+0j),(-1.75275731236+0j),(0.523962433715+0j),(-0.320896159003+0j),(1.01133060145+0j),(-0.164944460034+0j),(-0.48022428298+0j),(-0.20024069313+0j),(-0.0002218421951+0j),(1.94218556168e-14+0j),(-1.55914777616e-14+2.86175163428e-15j),(-1.55914777616e-14-2.86175163428e-15j),(1.39272274269e-14+0j),(1.06572736747e-14+0j),(-2.44561315643e-14+0j),(-1.21604115666e-15-1.9732371119e-14j),(-1.21604115666e-15+1.9732371119e-14j),(1.61867047543e-14+0j),(-3.03880184904e-14+0j),(1.63146406107e-14+0j),(2.57762561295e-14+0j),(-4.17200995972e-15+1.5903077466e-14j),(-4.17200995972e-15-1.5903077466e-14j),(-3.34485043829e-14-2.71462539947e-15j),(-3.34485043829e-14+2.71462539947e-15j),(-3.99506816517e-15-4.81494184801e-15j),(-3.99506816517e-15+4.81494184801e-15j),(1.08784509179e-14+0j),(-1.18897947043e-14+0j),(1.27849120179e-15+3.80901907238e-15j),(1.27849120179e-15-3.80901907238e-15j),(-2.30197805262e-14+2.49800180541e-16j),(-2.30197805262e-14-2.49800180541e-16j),(-8.43769498715e-15+6.55985682441e-15j),(-8.43769498715e-15-6.55985682441e-15j),(2.02997341159e-14+0j),(-2.0004831125e-14+0j)
(52.0552176414+0j),(10.7176276456+0j),(-22.0286290171+0j),(6.43993531926+0j),(15.5367396831+0j),(6.12393557257+0j),(5.50158714293+0j),(2.66181366807+0j),(-7.94441137617+0j),(11.8060499291+0j),(-1.04409167453+0j),(1.95859332603+0j),(-0.809994644902+0j),(7.36624615819+0j),(11.9205021429+0j),(1.83294419686+0j),(-1.39947315577+0j),(1.50822119777+0j),(-5.41629308629+0j),(-1.16623310355+0j),(-1.36552678123+0j),(0.152003829703+0j),(-1.79641135585+0j),(-3.06610739522+0j),(-0.916529535293+0j),(2.56000941085+0j),(1.51103354492+0j),(-1.96986271837+0j),(-1.55741908385+0j),(-0.685737431151+0j),(2.65607255755+0j),(0.411886336267+0j),(-0.256841538853+0j),(-0.221658020846+0j),(-0.204325309331+0j),(0.237326794429+0j),(1.11592010419+0j),(-0.333555149073+0j),(0.226674992197+0j),(0.0406009223197+0j),(0.403443162588+0j),(-0.0375466834248+0j),(-0.159482886918+0j),(0.0255998003098+0j),(-0.0260420262771+0j),(-0.0751726530409+0j),(5.63050801293e-05+0j),(5.26651205285e-15+0j),(2.41545065199e-14+1.68505617446e-14j),(2.41545065199e-14-1.68505617446e-14j),(4.9010275005e-14+0j),(7.41620306832e-14+0j),(-1.59629254259e-14+0j),(-1.66013036651e-15-3.5331004615e-14j),(-1.66013036651e-15+3.5331004615e-14j),(3.46164069631e-14+0j),(-2.8611661651e-14+0j),(1.18737485122e-14+0j),(2.12850570502e-15+0j),(-4.03323208165e-15+2.82265530394e-14j),(-4.03323208165e-15-2.82265530394e-14j),(5.35379032773e-15+8.05453793939e-15j),(5.35379032773e-15-8.05453793939e-15j),(-1.28213412109e-14-3.74832543476e-14j),(-1.28213412109e-14+3.74832543476e-14j),(5.42881711807e-14+0j),(-2.93480517666e-14+0j),(-1.06841618885e-14+1.40785820502e-14j),(-1.06841618885e-14-1.40785820502e-14j),(1.19522447495e-14+2.1371793224e-15j),(1.19522447495e-14-2.1371793224e-15j),(-6.91113832829e-15+3.18729417859e-14j),(-6.91113832829e-15-3.18729417859e-14j),(1.61919089248e-14+0j),(-1.30104260698e-14+0j)
(74.8602147482+0j),(-16.9005240645+0j),(3.28908446172+0j),(-9.24230496647+0j),(-2.34583442512+0j),(15.3717954336+0j),(0.24996583771+0j),(-8.40511829754+0j),(-4.06017910905+0j),(-4.1193002579+0j),(2.86954156093+0j),(-0.723260228194+0j),(0.706722744369+0j),(-1.95357100562+0j),(4.29850456152+0j),(2.05369313695+0j),(-0.9526182461+0j),(-5.1176344136+0j),(4.12107125565+0j),(1.58908337342+0j),(-0.186981742035+0j),(0.0973856325338+0j),(2.91746249713+0j),(-2.47517440941+0j),(0.131148906679+0j),(-0.520410152792+0j),(-0.2730510757+0j),(-0.445168111861+0j),(0.13200797875+0j),(0.853683181669+0j),(-0.444282618783+0j),(-0.586709139987+0j),(-1.50943288594+0j),(1.07778614542+0j),(0.00561580265296+0j),(-0.0246907769471+0j),(0.603353622845+0j),(0.440885099851+0j),(-0.311692756572+0j),(0.14007285201+0j),(0.254324791693+0j),(-0.158399338452+0j),(-0.030290553568+0j),(0.0062084065287+0j),(-0.0146863629374+0j),(-0.0149259607271+0j),(-0.130978052732+0j),(2.84321069292e-13+0j),(-5.74699792963e-13-3.48468324508e-13j),(-5.74699792963e-13+3.48468324508e-13j),(3.13687444076e-13+0j),(6.78789489894e-13+0j),(-1.55301119187e-12+0j),(-8.68078178784e-13-9.08421558463e-14j),(-8.68078178784e-13+9.08421558463e-14j),(-2.29061561385e-13+0j),(2.54273165023e-13+0j),(-1.75864964952e-13+0j),(5.59743223993e-14+0j),(5.41003006282e-13+2.98676881838e-13j),(5.41003006282e-13-2.98676881838e-13j),(-2.45001501725e-13+3.20353552713e-14j),(-2.45001501725e-13-3.20353552713e-14j),(2.18715670575e-13+2.62435472659e-14j),(2.18715670575e-13-2.62435472659e-14j),(-1.6442576467e-13+0j),(1.35620681352e-14+0j),(8.00210592233e-14+1.61988044506e-13j),(8.00210592233e-14-1.61988044506e-13j),(1.39877692762e-13+6.91113832829e-15j),(1.39877692762e-13-6.91113832829e-15j),(2.54352094942e-13+3.84035685197e-13j),(2.54352094942e-13-3.84035685197e-13j),(-3.63771512912e-14+0j),(4.49432158156e-14+0j)
(74.8441478345+0j),(-16.8647742853+0j),(3.2298039514+0j),(-9.24214090868+0j),(-2.3029638301+0j),(15.4418140796+0j),(0.243312902896+0j),(-8.45410219221+0j),(-4.08282124596+0j),(-4.07369964228+0j),(2.94336089603+0j),(-0.712019913563+0j),(0.700037924686+0j),(-1.99111711138+0j),(4.29905405993+0j),(2.0021986238+0j),(-0.961353685848+0j),(-5.16392516854+0j),(4.14555756658+0j),(1.60337198676+0j),(-0.181791217112+0j),(0.106212278871+0j),(2.96051282757+0j),(-2.52021575506+0j),(0.147990148247+0j),(-0.520650813773+0j),(-0.30041847128+0j),(-0.488160037312+0j),(0.135975237179+0j),(0.877918034525+0j),(-0.450340552296+0j),(-0.618008508093+0j),(-1.51208963842+0j),(1.1152712914+0j),(0.0308583639688+0j),(-0.0378586289415+0j),(0.622466217746+0j),(0.454020125236+0j),(-0.307276947941+0j),(0.133992975552+0j),(0.266010487072+0j),(-0.144094024314+0j),(-0.00454321244372+0j),(0.0342776410759+0j),(-0.0327165628168+0j),(-0.00751709991292+0j),(0.130020708644+0j),(-1.95184255043e-13+0j),(5.90590293684e-13+3.7373175301e-13j),(5.90590293684e-13-3.7373175301e-13j),(-2.93826594999e-13+0j),(-6.62581968458e-13+0j),(1.58625543256e-12+0j),(8.81633308025e-13+9.26777101243e-14j),(8.81633308025e-13-9.26777101243e-14j),(2.7431355798e-13+0j),(-2.77967752982e-13+0j),(2.23260212401e-13+0j),(-2.49609360958e-14+0j),(-5.75437267281e-13-2.76418644918e-13j),(-5.75437267281e-13+2.76418644918e-13j),(2.08580114985e-13-3.55772269284e-14j),(2.08580114985e-13+3.55772269284e-14j),(-2.40694617015e-13-4.3589480983e-14j),(-2.40694617015e-13+4.3589480983e-14j),(1.80742573685e-13+0j),(-2.57398269365e-14+0j),(-1.08827877265e-13-1.73354820082e-13j),(-1.08827877265e-13+1.73354820082e-13j),(-1.39898509444e-13+7.13318293322e-15j),(-1.39898509444e-13-7.13318293322e-15j),(-2.98538971322e-13-3.72248239178e-13j),(-2.98538971322e-13+3.72248239178e-13j),(3.17905424208e-14+0j),(-4.62060945061e-14+0j)
(-41.5595595345+0j),(-5.89368018768+0j),(13.8038116081+0j),(5.03026058778+0j),(4.13426737794+0j),(-0.42968467525+0j),(-7.93177942249+0j),(-3.07583773507+0j),(-6.56438515084+0j),(-5.23492144242+0j),(-5.21559206658+0j),(2.19723067156+0j),(-7.8273418021+0j),(-0.196778887808+0j),(2.59661058969+0j),(-1.91572326962+0j),(3.01017261062+0j),(7.26763311095+0j),(6.85837903008+0j),(-7.75781650858+0j),(-8.1208630109+0j),(0.423151992239+0j),(1.34582683674+0j),(0.564898841787+0j),(-0.333861724341+0j),(1.32656641205+0j),(-0.582491461651+0j),(0.367829425193+0j),(-0.893487220596+0j),(1.0764747502+0j),(0.304603852706+0j),(-0.237058622854+0j),(-1.23963503986+0j),(-0.793964046194+0j),(0.134605073817+0j),(0.0484572911123+0j),(-0.0530323065359+0j),(-0.710841634119+0j),(-0.198884290162+0j),(-0.0226497413125+0j),(-0.172147518609+0j),(-0.0485168960255+0j),(-0.0427308934685+0j),(0.0538276091245+0j),(0.0296713044602+0j),(-0.0153180148304+0j),(0.000145619028962+0j),(-2.48760430657e-14+0j),(-3.26800218831e-15-1.08495027198e-14j),(-3.26800218831e-15+1.08495027198e-14j),(-1.53826604232e-14+0j),(-1.04369637932e-14+0j),(-4.58313942353e-15+0j),(-9.65373614381e-15+1.12983624193e-14j),(-9.65373614381e-15-1.12983624193e-14j),(-2.7334037811e-14+0j),(2.62333557655e-14+0j),(1.32662977825e-15+0j),(-4.25527668657e-15+0j),(-1.80497977675e-14-2.58413082599e-14j),(-1.80497977675e-14+2.58413082599e-14j),(2.00087342528e-14-3.83157047756e-16j),(2.00087342528e-14+3.83157047756e-16j),(2.17898615817e-14-1.30386153263e-15j),(2.17898615817e-14+1.30386153263e-15j),(4.24486834572e-15+0j),(4.8884507553e-15+0j),(-1.20996962449e-14-1.30247375385e-14j),(-1.20996962449e-14+1.30247375385e-14j),(-4.96477858825e-15-5.49560397189e-15j),(-4.96477858825e-15+5.49560397189e-15j),(-1.9206858326e-14-2.30830979331e-14j),(-1.9206858326e-14+2.30830979331e-14j),(-1.23859256185e-15+0j),(4.30905311433e-15+0j)
(-43.6039566208+0j),(5.75019458252+0j),(12.6522423013+0j),(-1.18792452063+0j),(6.16545776793+0j),(5.82128414664+0j),(-4.52832616824+0j),(-7.89111922679+0j),(-15.5100767341+0j),(-14.7801863644+0j),(-2.34363969401+0j),(-0.674430298536+0j),(2.02991139743+0j),(5.66831108895+0j),(1.08758193885+0j),(-1.31115889891+0j),(1.93575414437+0j),(0.908917401956+0j),(-0.997612146233+0j),(-2.72232694765+0j),(4.09277579764+0j),(-0.953032868402+0j),(-1.815673014+0j),(1.20251004014+0j),(-0.899402203663+0j),(-0.0383519400284+0j),(1.14095147459+0j),(0.233719504168+0j),(-0.848413327226+0j),(-2.90579010692+0j),(-1.34279055736+0j),(2.15779445144+0j),(3.25720903985+0j),(3.06610015355+0j),(-0.256835701797+0j),(-0.418024857482+0j),(0.496850592052+0j),(1.75851337869+0j),(-0.0240027411133+0j),(0.328811727947+0j),(0.387254121367+0j),(0.261404451909+0j),(0.198513373066+0j),(0.0791842776006+0j),(-0.103770048692+0j),(-0.0103428850298+0j),(2.90089786909e-06+0j),(-2.72075114174e-14+0j),(-1.35930763173e-14+2.02908436581e-15j),(-1.35930763173e-14-2.02908436581e-15j),(2.36971900436e-14+0j),(-5.32993787994e-15+0j),(-1.97758476261e-16+0j),(-4.32466562561e-15+5.24764693505e-15j),(-4.32466562561e-15-5.24764693505e-15j),(-5.79571113324e-15+0j),(5.63871865866e-15+0j),(-6.55595369659e-15+0j),(1.33417582537e-14+0j),(2.4374599561e-14-3.1372474063e-15j),(2.4374599561e-14+3.1372474063e-15j),(-2.07919619022e-14+5.72306958768e-15j),(-2.07919619022e-14-5.72306958768e-15j),(4.16507106582e-15+4.74685395158e-15j),(4.16507106582e-15-4.74685395158e-15j),(-1.99302380155e-14+0j),(4.93008411873e-15+0j),(6.21898366138e-15-6.17995238317e-16j),(6.21898366138e-15+6.17995238317e-16j),(-1.43461631463e-14+7.29971638691e-15j),(-1.43461631463e-14-7.29971638691e-15j),(1.17943849132e-14-1.36436001386e-15j),(1.17943849132e-14+1.36436001386e-15j),(5.20070098098e-15+0j),(-2.98372437868e-16+0j)
(3.49128490429+0j),(29.3370387567+0j),(-13.0385298947+0j),(-1.9738439892+0j),(-17.950740914+0j),(-5.92439534228+0j),(-7.78466596189+0j),(0.924628598515+0j),(-13.0663465812+0j),(4.66008401135+0j),(4.83135395104+0j),(-6.75357773785+0j),(-11.2687011294+0j),(0.716510854084+0j),(-0.802059499612+0j),(3.67313489158+0j),(-0.19805395254+0j),(-1.24173364807+0j),(0.97055913059+0j),(-0.0860279144475+0j),(2.99206823652+0j),(-2.54930114015+0j),(-3.69505447256+0j),(1.80485723653+0j),(-0.503558452622+0j),(-1.85285808932+0j),(0.892246181339+0j),(-0.839943017368+0j),(2.28065137461+0j),(4.13003347195+0j),(2.46993287973+0j),(0.00715648598442+0j),(0.656952365913+0j),(1.33181104418+0j),(0.702148308686+0j),(-0.47592292368+0j),(-0.911486064956+0j),(0.108553856077+0j),(-0.603140995704+0j),(0.677234593906+0j),(-0.592144042729+0j),(-0.0563182402716+0j),(-0.0306257530906+0j),(0.101666473979+0j),(0.0506420953924+0j),(-0.0161055618728+0j),(-3.66898994191e-05+0j),(5.43383697413e-14+0j),(-1.93662360454e-14-6.40861062134e-15j),(-1.93662360454e-14+6.40861062134e-15j),(-3.27021396074e-14+0j),(-2.06510156198e-14+0j),(-2.08513761812e-15+0j),(-5.21284404531e-15+4.85906887643e-15j),(-5.21284404531e-15-4.85906887643e-15j),(6.74980904503e-15+0j),(-5.96311194867e-15+0j),(1.56485067959e-14+0j),(3.17714604625e-14+0j),(-7.33614557991e-15+8.13151629364e-15j),(-7.33614557991e-15-8.13151629364e-15j),(-2.82859673184e-14-1.11523203866e-14j),(-2.82859673184e-14+1.11523203866e-14j),(1.80428588736e-14+5.80156582497e-15j),(1.80428588736e-14-5.80156582497e-15j),(-1.19366322382e-14+0j),(8.64933125122e-15+0j),(-2.60208521397e-17+3.25390756006e-15j),(-2.60208521397e-17-3.25390756006e-15j),(-1.52759749295e-14-5.93969318174e-15j),(-1.52759749295e-14+5.93969318174e-15j),(-2.69229083472e-15-2.37743852383e-15j),(-2.69229083472e-15+2.37743852383e-15j),(2.7582103268e-15+0j),(-1.07552855511e-15+0j)
(-22.4318041747+0j),(21.9614267025+0j),(13.1973476219+0j),(-6.87371797111+0j),(-4.40768169665+0j),(-5.32661000894+0j),(8.41912095917+0j),(-3.87792059994+0j),(-0.457656398522+0j),(3.95309861845+0j),(3.81355791171+0j),(10.9756620439+0j),(-3.51037760713+0j),(-4.1570299116+0j),(-0.195867448861+0j),(3.36026296245+0j),(-2.36839662846+0j),(0.808401123687+0j),(0.741628778126+0j),(-1.90501829457+0j),(3.17805890006+0j),(1.82149318403+0j),(0.6122399849+0j),(-1.5518716317+0j),(-2.74824866964+0j),(0.487336911318+0j),(-2.15519541659+0j),(2.11751969111+0j),(0.939767299082+0j),(-2.13415523976+0j),(1.43350894098+0j),(-0.691846148838+0j),(-0.19637601728+0j),(-0.00900771170593+0j),(0.591408296615+0j),(0.114777599145+0j),(-0.100761039077+0j),(-0.449981016303+0j),(0.210729294216+0j),(0.389872763271+0j),(0.464562932599+0j),(1.98869313496+0j),(1.73461642107+0j),(-0.0120743657373+0j),(-0.347021874273+0j),(0.19708347902+0j),(-0.00070142330297+0j),(8.10947446347e-14+0j),(-4.90091908029e-14+9.49269959513e-14j),(-4.90091908029e-14-9.49269959513e-14j),(7.51005160837e-14+0j),(9.34799113117e-14+0j),(-6.20024864784e-14+0j),(1.47711703979e-14-2.61994202375e-14j),(1.47711703979e-14+2.61994202375e-14j),(-5.42569461581e-14+0j),(1.03710443011e-14+0j),(-7.36134243839e-14+0j),(-4.49449505391e-14+0j),(2.82759926584e-16+5.3955971635e-14j),(2.82759926584e-16-5.3955971635e-14j),(2.30618475705e-14+8.38760484678e-15j),(2.30618475705e-14-8.38760484678e-15j),(-2.49227721794e-14-2.83735708539e-15j),(-2.49227721794e-14+2.83735708539e-15j),(6.32653651689e-15+0j),(3.13984949152e-15+0j),(-4.97865637605e-16+2.49448899037e-14j),(-4.97865637605e-16-2.49448899037e-14j),(2.51534904017e-15+9.82547376793e-15j),(2.51534904017e-15-9.82547376793e-15j),(-1.07969189145e-14+5.57427368153e-14j),(-1.07969189145e-14-5.57427368153e-14j),(-6.90072998744e-15+0j),(4.63518112781e-15+0j)
(26.4062651837+0j),(26.7803760621+0j),(-26.0056052164+0j),(11.5507214836+0j),(-2.03507585824+0j),(-7.72520381337+0j),(-3.83326946971+0j),(-14.46674217+0j),(7.47012816627+0j),(-2.5098634794+0j),(-0.248989287187+0j),(0.460172840242+0j),(3.61085108372+0j),(0.168836476956+0j),(-1.43697367595+0j),(-0.187324226563+0j),(-0.429781177148+0j),(1.3204576642+0j),(0.913734765851+0j),(0.97095900501+0j),(-1.00773866049+0j),(-1.29521173354+0j),(1.80719014328+0j),(0.675665886326+0j),(-0.614296070887+0j),(-0.826229849832+0j),(-0.0878324722223+0j),(0.371282090604+0j),(-0.701631906543+0j),(-1.12290088064+0j),(2.13023262869+0j),(-0.818429599134+0j),(-0.0964388239632+0j),(0.385895780291+0j),(-0.276574661401+0j),(1.07244902528+0j),(-0.0708445985727+0j),(0.620514743777+0j),(3.07135719441+0j),(2.91328604418+0j),(-0.871830972461+0j),(0.695267228572+0j),(-1.15981208+0j),(0.0612163446591+0j),(0.627166882462+0j),(0.264913634273+0j),(0.0003381892421+0j),(1.27280022459e-13+0j),(-1.38062304644e-15+6.10929492759e-14j),(-1.38062304644e-15-6.10929492759e-14j),(5.48953243973e-15+0j),(1.11013628845e-14+0j),(1.15098902631e-13+0j),(9.20426929119e-14-1.23493880053e-14j),(9.20426929119e-14+1.23493880053e-14j),(6.64798077699e-14+0j),(-5.59231480568e-14+0j),(-1.05698869796e-13+0j),(-1.24992030615e-13+0j),(-3.27602528438e-14+2.61171292926e-14j),(-3.27602528438e-14-2.61171292926e-14j),(1.67612885377e-13-3.04769230686e-15j),(1.67612885377e-13+3.04769230686e-15j),(-3.48592682498e-14-4.04808565141e-14j),(-3.48592682498e-14+4.04808565141e-14j),(5.3399992761e-14+0j),(-3.26509652648e-14+0j),(-1.61242547092e-14+1.13030244886e-14j),(-1.61242547092e-14-1.13030244886e-14j),(7.24593995916e-14+2.1663226768e-14j),(7.24593995916e-14-2.1663226768e-14j),(-9.60342916301e-15+2.46564921258e-14j),(-9.60342916301e-15-2.46564921258e-14j),(-2.90496793287e-14+0j),(2.72351585728e-14+0j)
(31.7933579122+0j),(22.5362090336+0j),(-23.6340214837+0j),(11.9565598501+0j),(1.69732014214+0j),(-8.45175716954+0j),(-2.52003390868+0j),(-8.96085897606+0j),(9.02290802454+0j),(-3.47266372864+0j),(-1.16483695776+0j),(1.75157514725+0j),(2.68501523838+0j),(-4.3861147063+0j),(2.75566610362+0j),(-3.69398050016+0j),(-0.862797803201+0j),(0.468896726077+0j),(2.04374060108+0j),(2.44786994512+0j),(-2.01624853499+0j),(3.8861394803+0j),(-8.11802418989+0j),(-2.14959259059+0j),(-4.65382148163+0j),(-4.12653395191+0j),(-0.683099789564+0j),(-0.299575281516+0j),(-1.63123679875+0j),(1.06197576854+0j),(-1.38115959507+0j),(0.966902154574+0j),(0.359586487311+0j),(0.0649535369412+0j),(1.05054846969+0j),(-0.410379897578+0j),(-0.041086498687+0j),(-0.331558331591+0j),(-1.19613976553+0j),(-0.527286702738+0j),(0.263443799957+0j),(-0.29971782026+0j),(0.185173510971+0j),(-0.147729872118+0j),(-0.182327096318+0j),(-0.00722278784032+0j),(-1.21388798233e-05+0j),(-4.90233938513e-14+0j),(1.97136144214e-14+7.5246883377e-15j),(1.97136144214e-14-7.5246883377e-15j),(-5.35743324703e-14+0j),(-4.88584867009e-15+0j),(-2.26797747249e-14+0j),(-2.99239799606e-15-1.55135236254e-14j),(-2.99239799606e-15+1.55135236254e-14j),(-4.01935429384e-15+0j),(-1.89952220619e-16+0j),(8.03745091316e-14+0j),(8.63944332741e-14+0j),(-4.72712147204e-15-4.08293190923e-14j),(-4.72712147204e-15+4.08293190923e-14j),(-9.45107707373e-14-8.82085203491e-15j),(-9.45107707373e-14+8.82085203491e-15j),(2.57589088948e-14+1.45781824112e-15j),(2.57589088948e-14-1.45781824112e-15j),(1.3681764055e-14+0j),(1.37563571645e-14+0j),(-3.6897568334e-15-2.66666029536e-14j),(-3.6897568334e-15+2.66666029536e-14j),(-4.28372615158e-14+1.97064586871e-15j),(-4.28372615158e-14-1.97064586871e-15j),(-1.16295861829e-14-3.58506627163e-14j),(-1.16295861829e-14+3.58506627163e-14j),(1.71911096469e-14+0j),(-1.72015179878e-14+0j)
(-24.3711226031+0j),(25.5974573155+0j),(8.36844853921+0j),(-12.6431137944+0j),(-10.7720008717+0j),(1.47924894654+0j),(9.70794156326+0j),(-2.53652061145+0j),(-0.40537882569+0j),(-1.15606690043+0j),(-3.27060804387+0j),(10.0604344685+0j),(-2.95233813576+0j),(2.18648612187+0j),(0.752873149981+0j),(-1.7379292243+0j),(0.913034367552+0j),(-3.16658382395+0j),(2.07557817568+0j),(3.1729194751+0j),(0.0499405950189+0j),(-2.9939066974+0j),(-2.58126948919+0j),(3.11864257833+0j),(1.86740591151+0j),(-0.0929815818865+0j),(1.19337805453+0j),(-0.903906029269+0j),(-1.48118713993+0j),(0.645366100623+0j),(-1.17516832385+0j),(1.10973154947+0j),(-0.228107626857+0j),(-1.31366909984+0j),(-1.53142795652+0j),(1.17552602693+0j),(1.03986598118+0j),(-1.58134519391+0j),(1.59367414086+0j),(-0.580788607065+0j),(-0.436649447072+0j),(0.523438399075+0j),(-0.861239135217+0j),(-0.165968545379+0j),(-1.28523355829+0j),(-0.633609504864+0j),(0.000209930088694+0j),(-1.30791319615e-13+0j),(-6.18877778885e-14-8.59560903357e-14j),(-6.18877778885e-14+8.59560903357e-14j),(5.98904606464e-14+0j),(-3.06430228414e-14+0j),(-7.40622840834e-14+0j),(-6.42767089554e-14-1.85250035797e-14j),(-6.42767089554e-14+1.85250035797e-14j),(8.63718818689e-15+0j),(-5.49239473346e-14+0j),(-1.39341663208e-15+0j),(1.04551783897e-14+0j),(2.82048689959e-14-1.69395747429e-15j),(2.82048689959e-14+1.69395747429e-15j),(-3.827797454e-14+1.0608050896e-14j),(-3.827797454e-14-1.0608050896e-14j),(9.79945291579e-15+1.57935730466e-14j),(9.79945291579e-15-1.57935730466e-14j),(-2.6536065012e-14+0j),(1.39228906182e-14+0j),(1.7654280815e-14+1.39428399382e-15j),(1.7654280815e-14-1.39428399382e-15j),(-3.07219527595e-14-3.78863607153e-15j),(-3.07219527595e-14+3.78863607153e-15j),(1.97515614975e-14-6.40199698809e-15j),(1.97515614975e-14+6.40199698809e-15j),(6.38725183855e-15+0j),(-6.70991040508e-15+0j)
