(-7.06176150361+0j),(17.7925118785+0j),(-6.93570643533+0j),(-8.92447639172+0j),(4.57267442272+0j),(-2.59317949531+0j),(9.70036845648+0j),(1.25581925339+0j),(1.24452643875+0j),(-4.17744599393+0j),(2.37159830929+0j),(1.49185450761+0j),(-6.11433663399+0j),(1.64859577107+0j),(2.24669507714+0j),(0.69393215091+0j),(-2.64187909256+0j),(0.575073146284+0j),(-0.324365057168+0j),(-1.00090932343+0j),(1.47769074812+0j),(-2.11236752951+0j),(0.106970457464+0j),(2.01277383985+0j),(-3.67520989854+0j),(-2.37417048478+0j),(1.59634771943+0j),(0.641000162902+0j),(-4.02310127815+0j),(-1.21149188889+0j),(-0.0492269230462+0j),(0.643162034238+0j),(0.671062930886+0j),(0.452791122814+0j),(-0.0135020060798+0j),(0.205876601631+0j),(1.98410850151+0j),(0.800778592582+0j),(-0.243908336151+0j),(1.74237365094+0j),(1.77706960984+0j),(0.604677616563+0j),(-0.227463165673+0j),(1.01351858654+0j),(-0.755942268666+0j),(-0.359997658706+0j),(-0.0460861300534+0j),(2.12390868781e-14+0j),(-2.23801012444e-14+6.04117450509e-16j),(-2.23801012444e-14-6.04117450509e-16j),(-3.3746009459e-14+0j),(-8.19830314747e-14+0j),(-1.4794155484e-14+0j),(-4.24497676593e-14+0j),(-4.7765610911e-15+0j),(2.85552831381e-14+0j),(1.46705564363e-14+1.71945790939e-14j),(1.46705564363e-14-1.71945790939e-14j),(-7.06379399418e-15-3.91337353148e-15j),(-7.06379399418e-15+3.91337353148e-15j),(3.05444400648e-15-4.7444687068e-15j),(3.05444400648e-15+4.7444687068e-15j),(6.81095804755e-16+2.19702728232e-15j),(6.81095804755e-16-2.19702728232e-15j),(-2.34022870527e-14+0j),(1.65562008547e-14+0j),(9.69710423071e-15+0j),(3.35061839385e-15+1.18603044053e-14j),(3.35061839385e-15-1.18603044053e-14j),(1.34441069388e-14-2.23172175184e-15j),(1.34441069388e-14+2.23172175184e-15j),(1.80064296806e-15-6.70470623465e-15j),(1.80064296806e-15+6.70470623465e-15j),(5.39249634529e-15+3.71057351511e-15j),(5.39249634529e-15-3.71057351511e-15j)
(-14.1166358003+0j),(18.7321856373+0j),(-12.8360058254+0j),(-5.3631056685+0j),(-7.65625550477+0j),(7.954522962+0j),(9.74840555629+0j),(6.04437500646+0j),(-1.87668884194+0j),(2.80029743426+0j),(-0.573007226446+0j),(2.97241065975+0j),(0.640891561617+0j),(1.38193286713+0j),(-6.32559006867+0j),(4.18959585731+0j),(1.4996023358+0j),(1.94529422495+0j),(0.853214160039+0j),(0.23007720422+0j),(1.73216475776+0j),(0.621383726036+0j),(2.15011703881+0j),(0.583673198493+0j),(-3.66359105686+0j),(-0.836335595579+0j),(0.365960646345+0j),(-0.803195916479+0j),(0.506554949974+0j),(0.718414440112+0j),(-0.65758646792+0j),(0.074396453954+0j),(-0.240206986807+0j),(0.454961140039+0j),(0.440193569821+0j),(-0.335525625034+0j),(1.16786808177+0j),(-0.413765889295+0j),(-0.197622963384+0j),(0.16785165283+0j),(-0.370240178238+0j),(-1.77919472885+0j),(0.473766179947+0j),(0.955310448024+0j),(1.00651129167+0j),(0.942137191504+0j),(0.122794542687+0j),(-6.71077776682e-15+0j),(3.89770681009e-14-1.01685153353e-14j),(3.89770681009e-14+1.01685153353e-14j),(-4.29747383512e-14+0j),(8.45504222191e-14+0j),(4.3187241977e-14+0j),(5.37510574244e-14+0j),(-9.4435743947e-14+0j),(-9.01275581944e-14+0j),(4.07139599812e-15-4.30627755676e-14j),(4.07139599812e-15+4.30627755676e-14j),(2.91294766086e-14+6.37673507747e-16j),(2.91294766086e-14-6.37673507747e-16j),(1.52668972774e-14+1.38240113801e-14j),(1.52668972774e-14-1.38240113801e-14j),(1.6525409513e-15+1.69742692124e-15j),(1.6525409513e-15-1.69742692124e-15j),(-3.39979780439e-14+0j),(1.51822998617e-14+0j),(1.26530730338e-14+0j),(1.60765498136e-14-2.01748340256e-15j),(1.60765498136e-14+2.01748340256e-15j),(4.09047795635e-15-1.71364658574e-14j),(4.09047795635e-15+1.71364658574e-14j),(-5.25621213221e-15-2.11115847026e-15j),(-5.25621213221e-15+2.11115847026e-15j),(-8.30141077407e-15-2.13197515198e-15j),(-8.30141077407e-15+2.13197515198e-15j)
(0.208618676006+0j),(16.4075908857+0j),(1.23115178977+0j),(-8.55644460166+0j),(11.426152218+0j),(-4.55414587892+0j),(-1.05995322736+0j),(-0.46112625223+0j),(-2.42906644344+0j),(-1.96400164259+0j),(3.26728636011+0j),(-8.19439220778+0j),(-0.462689768293+0j),(-0.439129811445+0j),(-5.19956319634+0j),(1.38935245177+0j),(3.58376715216+0j),(2.44438341347+0j),(0.214570894926+0j),(1.72961242683+0j),(1.06314535175+0j),(-1.27221594124+0j),(-1.65803323557+0j),(0.930250794171+0j),(-1.4083816155+0j),(-1.09225279006+0j),(-0.322268410974+0j),(-0.25622477167+0j),(-0.365674608681+0j),(-0.285869650064+0j),(-0.772988632212+0j),(1.21622611724+0j),(0.395541977028+0j),(-0.154094330396+0j),(0.0143875167216+0j),(-0.786594438959+0j),(0.0121721031337+0j),(-0.0799523289577+0j),(-1.046389875+0j),(0.0887535554617+0j),(-0.693385931346+0j),(-0.524450917443+0j),(-0.119259668051+0j),(-0.865651252882+0j),(0.0828510654832+0j),(-0.26343050088+0j),(-1.04355863617+0j),(-4.20991366767e-14+0j),(-8.25541891791e-14+6.6426465023e-14j),(-8.25541891791e-14-6.6426465023e-14j),(7.42093018979e-14+0j),(-1.61835822521e-13+0j),(-1.62096898404e-14+0j),(-8.13630846724e-14+0j),(5.3168407177e-14+0j),(5.86284493176e-14+0j),(2.27474289405e-14+3.9135361618e-15j),(2.27474289405e-14-3.9135361618e-15j),(-5.88556980929e-14-2.04681107133e-15j),(-5.88556980929e-14+2.04681107133e-15j),(1.60440533946e-14+1.8015103298e-14j),(1.60440533946e-14-1.8015103298e-14j),(7.48121183058e-15-7.64232427342e-15j),(7.48121183058e-15+7.64232427342e-15j),(1.68016642266e-14+0j),(1.73472347598e-15+0j),(-2.0435042547e-15+0j),(-4.12950923456e-15+1.4691373118e-14j),(-4.12950923456e-15-1.4691373118e-14j),(1.86083787268e-14+1.1285243573e-14j),(1.86083787268e-14-1.1285243573e-14j),(1.11750886322e-14-4.93528828915e-15j),(1.11750886322e-14+4.93528828915e-15j),(1.54608313999e-14+7.22165383049e-15j),(1.54608313999e-14-7.22165383049e-15j)
(-0.064866324403+0j),(16.1808355464+0j),(1.39477092935+0j),(-8.4808950733+0j),(11.5701096612+0j),(-4.80986958942+0j),(-1.1935667901+0j),(-0.649967130277+0j),(-2.45277189173+0j),(-1.75533204553+0j),(3.2038628893+0j),(-8.13282680898+0j),(-0.0467263806967+0j),(-0.539386959467+0j),(-5.09981680078+0j),(1.42534232926+0j),(3.36159952812+0j),(2.21548182066+0j),(0.633760797842+0j),(2.10291501551+0j),(0.810795537067+0j),(-0.990954686623+0j),(-1.76802426429+0j),(0.944615438474+0j),(-1.27115186956+0j),(-0.807431578355+0j),(-0.408476290611+0j),(-0.0997077034936+0j),(-0.457655914253+0j),(-0.566349203974+0j),(-0.53715905339+0j),(0.949284989171+0j),(0.473611501578+0j),(-0.402049532765+0j),(-0.040139451762+0j),(-0.874126756427+0j),(-0.177928688034+0j),(0.182020055042+0j),(-1.2205537418+0j),(0.343414505527+0j),(-0.693133319022+0j),(-0.0345203701585+0j),(-0.404449990406+0j),(-0.815627065059+0j),(-0.0629215034527+0j),(-0.46233044594+0j),(1.03178979211+0j),(-1.32619609738e-15+0j),(2.95228251568e-14-6.56206859684e-14j),(2.95228251568e-14+6.56206859684e-14j),(-5.59088365881e-14+0j),(1.48880907602e-13+0j),(2.21610924056e-16+0j),(5.31959459121e-14+0j),(-3.5871479398e-14+0j),(-4.59961929655e-14+0j),(-2.6463206626e-14+1.23928645124e-14j),(-2.6463206626e-14-1.23928645124e-14j),(7.7479689331e-14-3.62394576153e-16j),(7.7479689331e-14+3.62394576153e-16j),(-2.50897096678e-14-1.74287667631e-14j),(-2.50897096678e-14+1.74287667631e-14j),(-9.72724505111e-15+2.23336973915e-14j),(-9.72724505111e-15-2.23336973915e-14j),(-2.46651657432e-14+0j),(3.66373598126e-15+0j),(3.22658566532e-16+0j),(6.41760949938e-15-6.12530859367e-15j),(6.41760949938e-15+6.12530859367e-15j),(-1.49047441056e-14-1.46939752033e-14j),(-1.49047441056e-14+1.46939752033e-14j),(-5.5892790396e-15-2.98545910216e-15j),(-5.5892790396e-15+2.98545910216e-15j),(4.42799009265e-15-2.02095284951e-15j),(4.42799009265e-15+2.02095284951e-15j)
(17.9241108142+0j),(20.2679090185+0j),(3.85890533744+0j),(-0.557311657497+0j),(16.531850029+0j),(-0.0158730135359+0j),(-1.79985907625+0j),(5.60688198505+0j),(-4.8041348816+0j),(4.76936861653+0j),(1.96843300578+0j),(-0.0749899071627+0j),(0.866476470872+0j),(3.63901929478+0j),(-0.452786829266+0j),(5.12509927925+0j),(-1.57302189431+0j),(-1.52274456152+0j),(-1.34324675569+0j),(-2.55704198068+0j),(-3.13957196265+0j),(-1.69587098793+0j),(-0.78710011271+0j),(-0.901310493765+0j),(1.2516508863+0j),(0.412721486857+0j),(1.19588012938+0j),(0.980549253063+0j),(0.239938438151+0j),(-1.4618690778+0j),(0.665256744472+0j),(-6.90294289613+0j),(2.75235119191+0j),(1.13122288862+0j),(-0.149106715833+0j),(0.0134432595818+0j),(0.262726157037+0j),(-0.98314448969+0j),(-0.0637438640691+0j),(0.122587753197+0j),(0.0129641512755+0j),(-0.111708639252+0j),(-0.083912193664+0j),(-0.177097700631+0j),(0.0323880487152+0j),(-0.0343202056876+0j),(-0.0172835166333+0j),(-1.35441137472e-13+0j),(1.56172817734e-14+1.45374164096e-14j),(1.56172817734e-14-1.45374164096e-14j),(3.55457850654e-14+0j),(-1.59733337668e-14+0j),(2.95870099254e-14+0j),(-3.59196179744e-15+0j),(4.98472790822e-15+0j),(1.61762964135e-14+0j),(4.92141050135e-15+2.3321622411e-14j),(4.92141050135e-15-2.3321622411e-14j),(1.41969769274e-14-1.97395268534e-15j),(1.41969769274e-14+1.97395268534e-15j),(5.56442201073e-16-7.29798166343e-15j),(5.56442201073e-16+7.29798166343e-15j),(-1.15764602765e-14+1.06069666939e-14j),(-1.15764602765e-14-1.06069666939e-14j),(-1.753198281e-14+0j),(2.99621438771e-14+0j),(2.44214370948e-14+0j),(-8.57734022697e-15-2.2603446892e-15j),(-8.57734022697e-15+2.2603446892e-15j),(7.87564458093e-16-1.20476545407e-15j),(7.87564458093e-16+1.20476545407e-15j),(-3.11903280981e-15-1.14231540893e-14j),(-3.11903280981e-15+1.14231540893e-14j),(6.6484361419e-15+8.97025509428e-15j),(6.6484361419e-15-8.97025509428e-15j)
(20.8205144358+0j),(19.9866675706+0j),(5.75639542216+0j),(0.528690817444+0j),(15.9595883322+0j),(1.81493330913+0j),(-3.81851338889+0j),(6.0716506525+0j),(-6.06042733001+0j),(5.29119375046+0j),(2.31239325142+0j),(2.35031811891+0j),(-0.794015417926+0j),(3.86855284822+0j),(0.227184482515+0j),(5.14574247367+0j),(-2.61035182157+0j),(-1.58924284369+0j),(0.0479564467045+0j),(-2.73117062142+0j),(-2.2494125856+0j),(-0.72612668976+0j),(0.367562351348+0j),(-0.748284960598+0j),(-0.235368998601+0j),(-0.191395763907+0j),(0.847553581861+0j),(0.110697660379+0j),(0.372739773021+0j),(-0.0717502084157+0j),(-0.0237622462236+0j),(3.34072303385+0j),(-1.54677130436+0j),(-1.10570243022+0j),(0.210650533929+0j),(-0.535556636774+0j),(0.367896534353+0j),(2.27096993545+0j),(0.16522601462+0j),(-0.801513710729+0j),(-1.2385967241+0j),(1.65585434282+0j),(0.823691885329+0j),(0.0100151371409+0j),(-0.316788431945+0j),(0.711710814677+0j),(-0.0105505752641+0j),(1.6334763403e-13+0j),(9.20574380614e-15-8.45807798799e-15j),(9.20574380614e-15+8.45807798799e-15j),(-4.83038088694e-14+0j),(4.13835632429e-14+0j),(2.83063503193e-15+0j),(1.6017352375e-14+0j),(-2.32149369173e-14+0j),(-4.51080145458e-14+0j),(-1.51389317748e-14-4.03704847329e-14j),(-1.51389317748e-14+4.03704847329e-14j),(1.87350135405e-15+4.01084330678e-15j),(1.87350135405e-15-4.01084330678e-15j),(-3.87247369859e-16-2.02459576881e-14j),(-3.87247369859e-16+2.02459576881e-14j),(-2.0135585907e-14-4.97778901432e-15j),(-2.0135585907e-14+4.97778901432e-15j),(-1.78511719295e-14+0j),(-2.17881268583e-15+0j),(1.27640953362e-14+0j),(3.22571830358e-15+6.91981194567e-15j),(3.22571830358e-15-6.91981194567e-15j),(-4.02802791122e-15+1.14795326023e-14j),(-4.02802791122e-15-1.14795326023e-14j),(-1.34718625144e-14+2.41300035508e-15j),(-1.34718625144e-14-2.41300035508e-15j),(7.03701420052e-15-8.10289335629e-15j),(7.03701420052e-15+8.10289335629e-15j)
(29.46267559+0j),(6.66831200157+0j),(14.2070949027+0j),(9.77877664554+0j),(9.86266295476+0j),(9.25702389071+0j),(4.71316079915+0j),(3.16179740138+0j),(0.409039445205+0j),(-1.07346713491+0j),(-2.31419008248+0j),(3.40173980815+0j),(-10.4442308703+0j),(-2.04139994508+0j),(-2.77494102598+0j),(-2.46504407732+0j),(3.27622761823+0j),(5.70349998453+0j),(-1.30816668159+0j),(0.87990832604+0j),(1.27465177482+0j),(0.37822409365+0j),(0.575114814455+0j),(-2.62819716702+0j),(2.88969947275+0j),(2.04041079565+0j),(4.32409163548+0j),(2.41855977037+0j),(-0.657414805658+0j),(-1.52066709481+0j),(-0.331484257005+0j),(-0.0275633490597+0j),(-2.85150015611+0j),(-0.63761331284+0j),(-2.07163240622+0j),(0.028211643728+0j),(-0.669870698035+0j),(-1.80036251154+0j),(0.329599485784+0j),(-0.346387574645+0j),(-0.0388216523857+0j),(0.376158123233+0j),(-0.387413792708+0j),(0.0906598948871+0j),(0.237652528216+0j),(-0.0416195107396+0j),(0.000223896567028+0j),(-1.08157406642e-13+0j),(6.08311144512e-14-1.20385472424e-14j),(6.08311144512e-14+1.20385472424e-14j),(6.799205296e-14+0j),(7.11167236211e-14+0j),(5.78005525387e-14+0j),(5.40286131806e-14+0j),(8.64846388948e-15+0j),(5.04821878744e-14+0j),(2.24421176087e-14+5.54972734435e-14j),(2.24421176087e-14-5.54972734435e-14j),(-2.35506059099e-14-6.16157515634e-15j),(-2.35506059099e-14+6.16157515634e-15j),(1.56952071104e-15+3.06161346275e-14j),(1.56952071104e-15-3.06161346275e-14j),(2.84089158448e-14+1.06208444817e-14j),(2.84089158448e-14-1.06208444817e-14j),(2.25774260398e-15+0j),(-6.24500451352e-16+0j),(1.13208054042e-14+0j),(-1.56203175394e-14-6.3473531986e-15j),(-1.56203175394e-14+6.3473531986e-15j),(-8.52443116095e-15+8.78724176756e-15j),(-8.52443116095e-15-8.78724176756e-15j),(-9.96772109296e-15-4.40099345855e-15j),(-9.96772109296e-15+4.40099345855e-15j),(5.92679117589e-15+1.9064611001e-15j),(5.92679117589e-15-1.9064611001e-15j)
(20.4650179849+0j),(13.8627222656+0j),(8.13510861627+0j),(6.99264386838+0j),(13.0025697211+0j),(5.92574910861+0j),(-2.65030641581+0j),(5.178550139+0j),(-4.29309809417+0j),(4.74975520565+0j),(-1.53658120729+0j),(5.37719338513+0j),(-3.42449672242+0j),(-0.466608987005+0j),(1.9535834268+0j),(-2.87498365576+0j),(1.30907940616+0j),(-1.96898629092+0j),(0.645388218776+0j),(3.21272547161+0j),(4.83594911735+0j),(1.3711803502+0j),(-0.671980353632+0j),(1.75420015605+0j),(-1.67133106576+0j),(-0.9877067505+0j),(-3.21519484971+0j),(-1.28431290264+0j),(0.714171523652+0j),(-0.0637578418846+0j),(-0.887092914603+0j),(-0.052842688691+0j),(1.44107774231+0j),(-0.34954797283+0j),(0.663956976492+0j),(-0.735343772995+0j),(1.43657570789+0j),(0.447348963847+0j),(2.07968139984+0j),(-2.68261655397+0j),(1.07330817805+0j),(-0.0713486561024+0j),(0.0657593601499+0j),(-0.378269769364+0j),(0.378193025569+0j),(-0.624685182344+0j),(0.020229816989+0j),(-1.87983309474e-14+0j),(-1.57187630967e-14-1.24162832793e-15j),(-1.57187630967e-14+1.24162832793e-15j),(1.1093122948e-14+0j),(-1.95052307639e-14+0j),(-2.29820502906e-14+0j),(-1.37782580484e-14+0j),(-1.92181340286e-14+0j),(-3.23959609139e-14+0j),(-2.81493578447e-14-2.49938958419e-14j),(-2.81493578447e-14+2.49938958419e-14j),(1.98382976713e-14+3.44879290057e-15j),(1.98382976713e-14-3.44879290057e-15j),(-6.66000745899e-15+4.17894885363e-15j),(-6.66000745899e-15-4.17894885363e-15j),(-1.1753402071e-14+1.12843762112e-15j),(-1.1753402071e-14-1.12843762112e-15j),(-8.06646416329e-17+0j),(-1.13797860024e-14+0j),(-2.45393982912e-14+0j),(1.25377139226e-14-4.5709963592e-15j),(1.25377139226e-14+4.5709963592e-15j),(6.210310044e-16-9.19837123137e-15j),(6.210310044e-16+9.19837123137e-15j),(1.4727802311e-14+2.2603446892e-15j),(1.4727802311e-14-2.2603446892e-15j),(3.51205609733e-15-2.90219237531e-15j),(3.51205609733e-15+2.90219237531e-15j)
(34.4737429317+0j),(2.61094018866+0j),(22.2602654842+0j),(6.24428054854+0j),(-4.05107188768+0j),(3.25079292676+0j),(0.720229832484+0j),(-8.8312072845+0j),(-2.79939595864+0j),(0.413966058219+0j),(-5.94948045743+0j),(2.95280863968+0j),(-1.98060078407+0j),(-0.856649844445+0j),(-3.95810448589+0j),(1.06059585874+0j),(-2.75227302218+0j),(-2.04095659436+0j),(-0.0859905916401+0j),(-0.691429365015+0j),(-2.10431286234+0j),(-0.125863846689+0j),(-1.34687040723+0j),(0.546685647221+0j),(1.18250200798+0j),(-0.0595556168079+0j),(-3.08028366581+0j),(-0.141456200779+0j),(-0.549095622163+0j),(-2.90737872516+0j),(-1.05055904254+0j),(-1.31901423788+0j),(-2.49595106942+0j),(-1.32094142864+0j),(0.350003864882+0j),(-0.547756636128+0j),(-1.0957092595+0j),(2.75220112641+0j),(-1.06197813565+0j),(-0.562242034162+0j),(-0.288498196746+0j),(-1.44413358845+0j),(-0.655207026331+0j),(0.92190388034+0j),(-0.581231515515+0j),(-0.335977150625+0j),(-0.0305124471592+0j),(5.64045338214e-15+0j),(8.81716574752e-15-1.36344928403e-14j),(8.81716574752e-15+1.36344928403e-14j),(-1.52191627356e-14+0j),(6.2241878318e-15+0j),(2.16766708749e-14+0j),(2.706407147e-14+0j),(-1.03363498316e-14+0j),(2.28931457125e-14+0j),(2.35523406333e-14+1.48908663178e-14j),(2.35523406333e-14-1.48908663178e-14j),(-1.88876692064e-14-2.64355594706e-15j),(-1.88876692064e-14+2.64355594706e-15j),(-6.99307436638e-15+2.59948312875e-14j),(-6.99307436638e-15-2.59948312875e-14j),(5.64934383995e-15-7.0872127611e-15j),(5.64934383995e-15+7.0872127611e-15j),(-6.79057504671e-15+0j),(2.1302404285e-14+0j),(7.75421393762e-15+0j),(3.69756308904e-15-1.15706055848e-15j),(3.69756308904e-15+1.15706055848e-15j),(7.92074739131e-15-1.02843081273e-14j),(7.92074739131e-15+1.02843081273e-14j),(8.48279779753e-15-1.16729542698e-14j),(8.48279779753e-15+1.16729542698e-14j),(7.06476977613e-15+1.17041792924e-14j),(7.06476977613e-15-1.17041792924e-14j)
(54.2228793103+0j),(-16.0374810569+0j),(20.1550054201+0j),(6.23625775574+0j),(-15.6245253945+0j),(-16.5451224217+0j),(3.62152469218+0j),(0.28244445103+0j),(-11.2150266465+0j),(7.76901506826+0j),(-1.69453004888+0j),(1.25971302885+0j),(4.38789829715+0j),(1.35663363363+0j),(4.31574102963+0j),(-5.62931253359+0j),(-0.447485899324+0j),(9.08152603387+0j),(0.942040437197+0j),(-0.315003332992+0j),(-3.46167673642+0j),(-1.38501762074+0j),(-0.614052057635+0j),(1.8573076877+0j),(-3.2691747931+0j),(0.0111411620318+0j),(1.313854077+0j),(1.2079788957+0j),(1.16128312613+0j),(0.159777200305+0j),(-0.563119536349+0j),(-0.234030435376+0j),(0.107742433729+0j),(-0.108713047702+0j),(-0.0672928823062+0j),(-0.248665216211+0j),(0.312137091654+0j),(-0.0518986882357+0j),(-0.00230852392265+0j),(-0.400394803565+0j),(-0.0193670744349+0j),(0.0282382861675+0j),(0.10853145753+0j),(-0.0178508093216+0j),(-0.0358101178596+0j),(-0.0364616558335+0j),(0.00298271473266+0j),(2.32929994737e-14+0j),(2.98003809129e-14+1.36739577994e-15j),(2.98003809129e-14-1.36739577994e-15j),(2.30696538261e-14+0j),(3.41185413255e-14+0j),(8.21521670136e-15+0j),(-3.09236143636e-15+0j),(-1.6664621072e-14+0j),(8.41861302892e-15+0j),(-5.09141340199e-15-4.09394740331e-16j),(-5.09141340199e-15+4.09394740331e-16j),(-2.45636844198e-15+5.89968612158e-16j),(-2.45636844198e-15-5.89968612158e-16j),(-5.53780823552e-16-5.53376788837e-16j),(-5.53780823552e-16+5.53376788837e-16j),(9.82287168272e-17-6.31005664387e-15j),(9.82287168272e-17+6.31005664387e-15j),(3.13898212978e-15+0j),(5.96744875736e-16+0j),(-1.40755462841e-14+0j),(-1.24292937054e-15-6.23633089614e-15j),(-1.24292937054e-15+6.23633089614e-15j),(2.14758766326e-15+2.18141477104e-15j),(2.14758766326e-15-2.18141477104e-15j),(1.5088624794e-14-3.45730388762e-15j),(1.5088624794e-14+3.45730388762e-15j),(2.52673316298e-15+3.96037369566e-15j),(2.52673316298e-15-3.96037369566e-15j)
(38.206433818+0j),(-4.704903421+0j),(21.7809171218+0j),(8.62681497539+0j),(-8.41225995794+0j),(-0.609244860456+0j),(5.65017268353+0j),(-5.95152818609+0j),(-1.94947670982+0j),(-0.142659738762+0j),(-1.19453172246+0j),(-1.61847384045+0j),(1.40132566231+0j),(4.43074914836+0j),(1.63547359254+0j),(2.14829472006+0j),(1.08732068261+0j),(-4.58981691767+0j),(-0.0942565478863+0j),(2.14070719866+0j),(2.21559148174+0j),(0.112472275975+0j),(-1.65983440084+0j),(-1.30884202769+0j),(0.92816877094+0j),(0.523832358888+0j),(2.64161517712+0j),(0.161428379108+0j),(0.305243387788+0j),(-0.307410692013+0j),(6.53230909429+0j),(1.52243320305+0j),(1.03197986705+0j),(-2.17551968667+0j),(1.69426434174+0j),(-1.24377368522+0j),(1.40863610344+0j),(-1.66566683111+0j),(-0.651433539443+0j),(-0.381349332605+0j),(-0.111932908998+0j),(-0.264848635157+0j),(-0.16652368372+0j),(0.213674832399+0j),(-0.0873780895976+0j),(-0.0392637951323+0j),(-0.00977299595921+0j),(1.93517077363e-14+0j),(1.55756484099e-14-1.05362767122e-14j),(1.55756484099e-14+1.05362767122e-14j),(2.72329901685e-14+0j),(3.26197402423e-14+0j),(1.51957439687e-14+0j),(1.72524754899e-14+0j),(-4.07009495551e-14+0j),(-3.66026653431e-16+0j),(9.61904167429e-15-5.06539254985e-15j),(9.61904167429e-15+5.06539254985e-15j),(-1.52239332252e-14-2.56576444119e-16j),(-1.52239332252e-14+2.56576444119e-16j),(1.48783192187e-14+9.50801937183e-15j),(1.48783192187e-14-9.50801937183e-15j),(-3.89857417182e-15-1.6912686529e-14j),(-3.89857417182e-15+1.6912686529e-14j),(-1.62968596951e-14+0j),(3.34454686168e-15+0j),(1.78676518026e-15+0j),(6.23719825787e-15-4.92661467177e-16j),(6.23719825787e-15+4.92661467177e-16j),(6.22765727876e-15-6.33954694296e-15j),(6.22765727876e-15+6.33954694296e-15j),(5.60142210393e-15-1.73645819945e-15j),(5.60142210393e-15+1.73645819945e-15j),(-1.06710430423e-14+3.09301195767e-15j),(-1.06710430423e-14-3.09301195767e-15j)
